Frequency [Hz]	d axis	q axis
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (7.218615097942044656e+01-1.867369499924694480e+02j)	 (-4.026416352660670128e+01+1.993494032019356439e+02j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (9.792009685877897596e+01-2.050454005795515400e+02j)	 (-5.642162324905880411e+01+2.199122098967161492e+02j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (1.182662694418890652e+02-2.316745221400078663e+02j)	 (-6.632345301923967895e+01+2.414040727079399744e+02j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (1.311190709519645168e+02-2.640434030861941892e+02j)	 (-7.009460740596541939e+01+2.617675716418926299e+02j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (1.269625948211088229e+02-3.020607694488464290e+02j)	 (-6.853554239202607334e+01+2.807361683129245193e+02j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (1.067225471410692563e+02-3.445888161306094730e+02j)	 (-6.272408680679912152e+01+2.979715872913807289e+02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (7.908825068329778674e+01-3.715582562174856776e+02j)	 (-5.755836936213931665e+01+3.077655592896559256e+02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (3.360075572903541996e+01-3.814541942346470478e+02j)	 (-5.123536914843263901e+01+3.156657416746018043e+02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.866985313729670803e+00-3.742433088838049571e+02j)	 (-4.571104878620973722e+01+3.213815951301801874e+02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (-3.208309192956172495e+01-3.568147345280405602e+02j)	 (-4.186191492449030704e+01+3.253529867901056036e+02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.129549020230795264e+01-3.351306388797642057e+02j)	 (-3.940578799419433409e+01+3.285838567652225493e+02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (-6.241917533606027035e+01-3.132762883443194823e+02j)	 (-3.808504548868140915e+01+3.316373748646009858e+02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.788273845481386104e+01-2.932170657560736799e+02j)	 (-3.768074863872895008e+01+3.347541695529655499e+02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (-6.966296929098974999e+01-2.755520321902204728e+02j)	 (-3.796331013566266677e+01+3.381146758683098028e+02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.910500779476126354e+01-2.602213615475225765e+02j)	 (-3.868247545605249371e+01+3.418500578861729764e+02j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (-6.714013863510693625e+01-2.469564506368070340e+02j)	 (-3.968672936779756810e+01+3.459115553311856388e+02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.435021444677121849e+01-2.354590793821531065e+02j)	 (-4.090533401931850932e+01+3.503231772853705479e+02j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (-6.110602324807619112e+01-2.254364035086621243e+02j)	 (-4.225339222125231942e+01+3.550457017137100593e+02j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (-5.763336003318511302e+01-2.166326325403589408e+02j)	 (-4.365184626641455168e+01+3.600754140820399698e+02j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (-5.406761482305337552e+01-2.088063195104759586e+02j)	 (-4.499531394588661470e+01+3.654106674730290365e+02j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (-5.052076016322185836e+01-2.018105828123883327e+02j)	 (-4.631907649042308606e+01+3.709865873549937874e+02j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (-4.705108504947201453e+01-1.955142818477766582e+02j)	 (-4.761227522493206976e+01+3.768043514611392766e+02j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (-4.366528177059034732e+01-1.897869641793087965e+02j)	 (-4.878637660222323547e+01+3.828733198147288590e+02j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (-4.040065597148738874e+01-1.845392386360416026e+02j)	 (-4.983839525565532824e+01+3.891219489415266253e+02j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (-3.727099367467484825e+01-1.796995901018123334e+02j)	 (-5.079005726079286376e+01+3.955762177155678501e+02j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (-3.427160417553707816e+01-1.752156236204460811e+02j)	 (-5.164829087168160981e+01+4.021874988347151429e+02j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (-3.140324768787401055e+01-1.710352551416814606e+02j)	 (-5.238165363114470097e+01+4.089661401743112492e+02j)
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (-2.865882181901802994e+01-1.671009620984688127e+02j)	 (-5.291423660470084656e+01+4.159045765152845320e+02j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (-2.604623698170959400e+01-1.633913200506778196e+02j)	 (-5.332101200212151326e+01+4.229702607629244540e+02j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (-2.356229897590760913e+01-1.598834715369277717e+02j)	 (-5.361291162179604441e+01+4.301846163195436361e+02j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (-2.118666363974514155e+01-1.565423888070590124e+02j)	 (-5.371212406410753459e+01+4.375445980987087182e+02j)
 (1.650000000000000000e+01+0.000000000000000000e+00j)	 (-1.892550439394571526e+01-1.533475290185503468e+02j)	 (-5.363221153639275940e+01+4.449906183799567998e+02j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (-1.677613998908703863e+01-1.502818582517289769e+02j)	 (-5.339576645841391667e+01+4.525699279180331018e+02j)
 (1.750000000000000000e+01+0.000000000000000000e+00j)	 (-1.472660901548734458e+01-1.473363188324405542e+02j)	 (-5.303228615430219151e+01+4.602379466666200187e+02j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (-1.277352622251772196e+01-1.444956438577569315e+02j)	 (-5.250725060731805627e+01+4.680116681255615276e+02j)
 (1.850000000000000000e+01+0.000000000000000000e+00j)	 (-1.091053396002603648e+01-1.417385443367523976e+02j)	 (-5.174326158796144171e+01+4.758634285818211538e+02j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (-9.138531033684923699e+00-1.390625722943499625e+02j)	 (-5.082379087438813769e+01+4.837874275745800787e+02j)
 (1.950000000000000000e+01+0.000000000000000000e+00j)	 (-7.454078905431886781e+00-1.364631935633172475e+02j)	 (-4.975678847216365597e+01+4.918195029891528520e+02j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (-5.844966561013601236e+00-1.339259590621255995e+02j)	 (-4.846967992248274015e+01+4.999349149205442586e+02j)
 (2.050000000000000000e+01+0.000000000000000000e+00j)	 (-4.313681182924247182e+00-1.314436347765863786e+02j)	 (-4.698137983926307726e+01+5.080755370103429414e+02j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (-2.858079360916650380e+00-1.290109512506258511e+02j)	 (-4.530384745640969157e+01+5.163024048337979366e+02j)
 (2.150000000000000000e+01+0.000000000000000000e+00j)	 (-1.469770876123267733e+00-1.266262740417681556e+02j)	 (-4.348490182883448796e+01+5.245789903839448698e+02j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)	 (-1.470434523668888993e-01-1.242833195213036248e+02j)	 (-4.148177494740892968e+01+5.329194660124451275e+02j)
 (2.250000000000000000e+01+0.000000000000000000e+00j)	 (1.113257891026573354e+00-1.219715012084373171e+02j)	 (-3.922138860332497501e+01+5.412668695157087768e+02j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)	 (2.312007416606806753e+00-1.196916587214107466e+02j)	 (-3.678675798129928864e+01+5.496430388484180867e+02j)
 (2.350000000000000000e+01+0.000000000000000000e+00j)	 (3.451483907565363829e+00-1.174431679437990397e+02j)	 (-3.417546450932680813e+01+5.580951955060048704e+02j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)	 (4.538367965260805548e+00-1.152183404636492270e+02j)	 (-3.132913492104310293e+01+5.665744933544185642e+02j)
 (2.450000000000000000e+01+0.000000000000000000e+00j)	 (5.571857300164625215e+00-1.130138115023910785e+02j)	 (-2.827245992056424839e+01+5.750216899629706404e+02j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)	 (6.553406817287823927e+00-1.108279147849132613e+02j)	 (-2.500143926478589407e+01+5.835066874429369363e+02j)
 (2.550000000000000000e+01+0.000000000000000000e+00j)	 (7.488793381024285267e+00-1.086603027423639674e+02j)	 (-2.158053495944260902e+01+5.920092610950491689e+02j)
 (2.600000000000000000e+01+0.000000000000000000e+00j)	 (8.378849418696736606e+00-1.065078996136565905e+02j)	 (-1.795942694171989018e+01+6.005344933135256724e+02j)
 (2.650000000000000000e+01+0.000000000000000000e+00j)	 (9.225088896774767733e+00-1.043647009059156119e+02j)	 (-1.408102094688127082e+01+6.089941110499534034e+02j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)	 (1.002906391464167335e+01-1.022319825466671830e+02j)	 (-1.001853624766864748e+01+6.174388673548318138e+02j)
 (2.750000000000000000e+01+0.000000000000000000e+00j)	 (1.079240821800643246e+01-1.001100199696772535e+02j)	 (-5.753684531482851305e+00+6.259236143003920461e+02j)
 (2.800000000000000000e+01+0.000000000000000000e+00j)	 (1.151877595648453934e+01-9.799422977254286593e+01j)	 (-1.252383877520281796e+00+6.343791658000367306e+02j)
 (2.850000000000000000e+01+0.000000000000000000e+00j)	 (1.220828429608688559e+01-9.588285402632372723e+01j)	 (3.453102851457075406e+00+6.427459631920161200e+02j)
 (2.900000000000000000e+01+0.000000000000000000e+00j)	 (1.286201661611907454e+01-9.377554311698672507e+01j)	 (8.386706600849175075e+00+6.510971439404055445e+02j)
 (2.950000000000000000e+01+0.000000000000000000e+00j)	 (1.348400051582077275e+01-9.167209901293119856e+01j)	 (1.347300664891104383e+01+6.594368963291494765e+02j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)	 (1.407472320498176011e+01-8.957092760120380603e+01j)	 (1.876674774736652296e+01+6.677567860239392985e+02j)
 (3.050000000000000000e+01+0.000000000000000000e+00j)	 (1.463495977735027687e+01-8.746851266370654798e+01j)	 (2.429672563571926958e+01+6.759417835717737262e+02j)
 (3.100000000000000000e+01+0.000000000000000000e+00j)	 (1.516637457664371880e+01-8.536594663972918795e+01j)	 (3.001022576555362065e+01+6.840692432522090485e+02j)
 (3.150000000000000000e+01+0.000000000000000000e+00j)	 (1.567023077701236744e+01-8.326364182988506002e+01j)	 (3.594540928446226502e+01+6.921957011240308475e+02j)
 (3.200000000000000000e+01+0.000000000000000000e+00j)	 (1.614855722952364658e+01-8.115880654794828786e+01j)	 (4.210450708876612680e+01+7.002403998597304735e+02j)
 (3.250000000000000000e+01+0.000000000000000000e+00j)	 (1.660187721975936981e+01-7.905052036480891786e+01j)	 (4.844653709857764312e+01+7.081457675110220862e+02j)
 (3.300000000000000000e+01+0.000000000000000000e+00j)	 (1.703106902780464438e+01-7.693890725187092983e+01j)	 (5.501741991784598440e+01+7.159811212343449824e+02j)
 (3.350000000000000000e+01+0.000000000000000000e+00j)	 (1.743890588412982723e+01-7.482375109701447968e+01j)	 (6.174038066220705900e+01+7.237797996672157979e+02j)
 (3.400000000000000000e+01+0.000000000000000000e+00j)	 (1.782576377661254696e+01-7.270424848724304923e+01j)	 (6.866993971007489961e+01+7.315173442895600147e+02j)
