f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (8.350226146843797714e-01-6.894859618892325015e-01j)	 (-2.818651726247025646e-01-1.491577997378603360e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (5.526801313719515996e-01-6.013857854268193082e-01j)	 (-3.536482114444152169e-01-2.150568166070262743e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (4.278025590219904917e-01-4.770528488053753513e-01j)	 (-4.528908658401734066e-01-2.376191027108263409e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (3.868057096184190913e-01-3.971655663006236070e-01j)	 (-5.399948278829587167e-01-2.130297940607515650e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (3.717975199573014256e-01-3.407204995382498436e-01j)	 (-5.953776460059102549e-01-1.625379791352139780e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (3.590124215728517365e-01-3.051338311174258688e-01j)	 (-6.331502875564384292e-01-1.027239348078915482e-01j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (3.520171607012622106e-01-2.980850514666105178e-01j)	 (-6.511772329860037178e-01-5.688926640309321936e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (3.411045872101218235e-01-2.850030619417773248e-01j)	 (-6.540142556272114938e-01-7.406082736101826658e-03j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (3.354915032225981308e-01-2.797371065154845016e-01j)	 (-6.516448800500457272e-01+3.243849278923571777e-02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (3.264551074558892374e-01-2.773672890195322260e-01j)	 (-6.431130586779232328e-01+6.859493421679252467e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (3.166626798426379064e-01-2.768721462230298580e-01j)	 (-6.307141185896327773e-01+9.977828317398892977e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (3.061002334210849996e-01-2.774932226314476558e-01j)	 (-6.156892247506065008e-01+1.264416722453761688e-01j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (2.949789267448542640e-01-2.786688719496520084e-01j)	 (-5.989906780541086606e-01+1.489459352602158781e-01j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (2.833637933437713752e-01-2.800801252192792745e-01j)	 (-5.813692684227778074e-01+1.677179396409178014e-01j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (2.712659153266571699e-01-2.815132423284629759e-01j)	 (-5.633620933588880941e-01+1.832278976903497503e-01j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (2.589093455588267201e-01-2.826894741323739413e-01j)	 (-5.452873273772954610e-01+1.958784666924820450e-01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (2.463640058281417189e-01-2.835594529124375596e-01j)	 (-5.274744830550895935e-01+2.059666064272732688e-01j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (2.337406007015214449e-01-2.840847066389040054e-01j)	 (-5.101214087504181149e-01+2.138268394138058692e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (2.210573818779511535e-01-2.841858999222035553e-01j)	 (-4.933668911892447051e-01+2.197521853875878117e-01j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (2.083582852761043935e-01-2.837983270332377073e-01j)	 (-4.772656327505467311e-01+2.240895585541090862e-01j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (1.957823673187691904e-01-2.829352484345147856e-01j)	 (-4.618978566549524767e-01+2.269661324137446645e-01j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (1.833170794084096056e-01-2.816119318752220435e-01j)	 (-4.473317506201160421e-01+2.285571029812835941e-01j)
