f	max_sigma_G1	max_sigma_G2	max_sigma_G1_G2
1.000000000000000000e+00	2.467934401545841752e+02	5.276956539628633626e-03	1.263026859146275438e+00
1.500000000000000000e+00	2.491900761795798473e+02	4.629577262980689480e-03	1.096762654604149345e+00
2.000000000000000000e+00	2.515869299996808763e+02	4.164138094220094788e-03	9.757592076368500900e-01
2.500000000000000000e+00	2.539839954678000424e+02	3.850429259995190572e-03	8.929706196847188027e-01
3.000000000000000000e+00	2.563812666659282513e+02	3.619022029529842931e-03	8.320720839171064087e-01
3.500000000000000000e+00	2.587787378953080974e+02	3.418468223401874718e-03	7.814403992899433549e-01
4.000000000000000000e+00	2.611764036660334227e+02	3.338745804742538834e-03	7.602050154659487635e-01
4.500000000000000000e+00	2.635742586876881433e+02	3.247940180683584789e-03	7.406118853283798487e-01
5.000000000000000000e+00	2.659722978604147556e+02	3.222016303987154748e-03	7.357846119542185148e-01
5.500000000000000000e+00	2.683705162664625732e+02	3.203393150389419360e-03	7.346109244782618175e-01
6.000000000000000000e+00	2.707689091619430997e+02	3.197886526787806997e-03	7.370064470582928795e-01
6.500000000000000000e+00	2.731674719697746809e+02	3.200264519477977101e-03	7.413275886058563469e-01
7.000000000000000000e+00	2.755662002715693575e+02	3.206766497247593578e-03	7.465378560498262539e-01
7.500000000000000000e+00	2.779650898016445240e+02	3.214960533934188309e-03	7.520069834912750384e-01
8.000000000000000000e+00	2.803641364402043337e+02	3.223089892614968213e-03	7.572472434405086439e-01
8.500000000000000000e+00	2.827633362070498038e+02	3.230123846423433621e-03	7.620264015723160478e-01
9.000000000000000000e+00	2.851626852559542726e+02	3.235717229040676549e-03	7.663042065063224717e-01
9.500000000000000000e+00	2.875621798687308228e+02	3.239471049078769538e-03	7.700444566011382941e-01
1.000000000000000000e+01	2.899618164504903461e+02	3.241099657379639329e-03	7.731873506846006494e-01
1.050000000000000000e+01	2.923615915242535834e+02	3.240546822362153166e-03	7.756770063352068645e-01
1.100000000000000000e+01	2.947615017259698220e+02	3.238152511961908415e-03	7.776649436038467478e-01
1.150000000000000000e+01	2.971615438006814998e+02	3.234011269371856161e-03	7.792246890222046529e-01
1.200000000000000000e+01	2.995617145971950777e+02	3.227813344540301620e-03	7.802526279772522555e-01
1.250000000000000000e+01	3.019620110653190181e+02	3.219919125608206902e-03	7.808161509968986058e-01
1.300000000000000000e+01	3.043624302499234773e+02	3.210775465828439104e-03	7.810603297340014128e-01
1.350000000000000000e+01	3.067629692890132560e+02	3.200166319581439819e-03	7.809864575416609611e-01
