Frequency [Hz]	d axis	q axis
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (4.715272989333163522e-01+1.652107407947909778e-01j)	 (5.284727010666837588e-01-1.652107407947909778e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (4.710189940747372961e-01+1.804110727718907514e-01j)	 (5.289810059252628704e-01-1.804110727718907237e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (4.754839819649682719e-01+1.937294741148111454e-01j)	 (5.245160180350316725e-01-1.937294741148111454e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (4.846877426516980059e-01+2.039875721685686649e-01j)	 (5.153122573483018831e-01-2.039875721685686649e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (4.942027989817065481e-01+2.098837641461596126e-01j)	 (5.057972010182936184e-01-2.098837641461596404e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (5.069349377316810790e-01+2.115604474735949814e-01j)	 (4.930650622683189765e-01-2.115604474735949814e-01j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (5.178574483299849263e-01+2.111405563271176733e-01j)	 (4.821425516700149627e-01-2.111405563271177011e-01j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (5.266231843023008174e-01+2.068715363029600685e-01j)	 (4.733768156976990715e-01-2.068715363029600407e-01j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (5.344275621316589842e-01+2.031819057635991799e-01j)	 (4.655724378683409603e-01-2.031819057635992354e-01j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (5.408394274595120788e-01+1.978863093500573267e-01j)	 (4.591605725404877547e-01-1.978863093500572989e-01j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (5.460303380486251079e-01+1.921078462137737752e-01j)	 (4.539696619513747811e-01-1.921078462137737475e-01j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (5.502057539553094623e-01+1.860715698797882622e-01j)	 (4.497942460446905377e-01-1.860715698797882622e-01j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (5.534581769322720612e-01+1.799330587253914482e-01j)	 (4.465418230677279388e-01-1.799330587253914482e-01j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (5.559208089188968360e-01+1.737923994911487191e-01j)	 (4.440791910811029974e-01-1.737923994911487469e-01j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (5.577574371366152972e-01+1.676881154913950622e-01j)	 (4.422425628633845918e-01-1.676881154913950345e-01j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (5.590180400146317341e-01+1.616470313971731243e-01j)	 (4.409819599853682659e-01-1.616470313971731243e-01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (5.597678477784022721e-01+1.557077613948288919e-01j)	 (4.402321522215975613e-01-1.557077613948288919e-01j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (5.600638409332766576e-01+1.498715412950748227e-01j)	 (4.399361590667233424e-01-1.498715412950747949e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (5.599552971911069266e-01+1.441339940124955754e-01j)	 (4.400447028088931845e-01-1.441339940124955477e-01j)
