Frequency [Hz]	d axis	q axis
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (3.802798429785982393e+01-1.080510191058401404e+02j)	 (-4.956456454677860890e+00+1.270090676332575157e+02j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (4.441588545088087159e+01-1.130057524977906951e+02j)	 (-8.214304567816641978e+00+1.392703305468684789e+02j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (4.694256463634843612e+01-1.184509429684919866e+02j)	 (-8.530180743896462303e+00+1.500190787727878217e+02j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (4.662193991327864495e+01-1.224829642372098419e+02j)	 (-7.293665897333935000e+00+1.584597245768085259e+02j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (4.346602832761437440e+01-1.248040554331692817e+02j)	 (-5.417234042577959485e+00+1.652292601978464290e+02j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (3.946525419113098110e+01-1.259681501193561814e+02j)	 (-3.551923995084228736e+00+1.708892671946228461e+02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (3.624303347325604108e+01-1.245868123757764607e+02j)	 (-3.285313293038149673e+00+1.750172491529705781e+02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (3.201346655724290002e+01-1.220132015676697108e+02j)	 (-3.159711263038580853e+00+1.791811307506914090e+02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (2.883451410465525910e+01-1.181025086975999727e+02j)	 (-3.409282979153406501e+00+1.831118121407507431e+02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.611379962775839658e+01-1.135849781672996670e+02j)	 (-4.193110755651628274e+00+1.870686971788536823e+02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.401366091589676088e+01-1.085970951725303024e+02j)	 (-5.289959439778245454e+00+1.911118272040733927e+02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (2.247828737884189110e+01-1.033463829120618982e+02j)	 (-6.610572382125277535e+00+1.952965056508544421e+02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (2.142539798022335162e+01-9.798551579320756844e+01j)	 (-8.108395590640792960e+00+1.996173059763865467e+02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (2.076784849985544312e+01-9.261123190926919335e+01j)	 (-9.743786171541881203e+00+2.040858147656763606e+02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (2.042411297087809885e+01-8.727621702632866629e+01j)	 (-1.146776344739378040e+01+2.087276088760033588e+02j)
