Frequency [Hz]	0.0+det[I + L(s)]
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.137987803857612334e+00-2.599533456338022908e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (1.032458316625444628e+00-2.552209357808442047e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (9.677859355589651935e-01-2.274896628788183328e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (9.330602072245556267e-01-1.999659478817897573e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (9.154095913792961170e-01-1.732813271531318811e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (9.041686729458127125e-01-1.518408871236905378e-01j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (9.009752655843060731e-01-1.437239701046715001e-01j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (8.994809819699609577e-01-1.348388867946584690e-01j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (9.006462629125556729e-01-1.311806240028995374e-01j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (9.016177748750947574e-01-1.307273173952991641e-01j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (9.024467533104375550e-01-1.329162691676690211e-01j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (9.026852321982306027e-01-1.371636629258979612e-01j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (9.021251339090736732e-01-1.430673573810292143e-01j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (9.005828709206854521e-01-1.502543721018415324e-01j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (8.979112482826908659e-01-1.583254744619460030e-01j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (8.941555493864117299e-01-1.669987444262613641e-01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (8.892886213807513762e-01-1.760825146758697723e-01j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (8.833661250836331025e-01-1.853945033916290230e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (8.764204076406847399e-01-1.947396736147237184e-01j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (8.684734852886227818e-01-2.039046437077690066e-01j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (8.596520949237491660e-01-2.128850393606194213e-01j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (8.500035216812888983e-01-2.216102567825939673e-01j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (8.395464162365046112e-01-2.298974052202161500e-01j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (8.284259390290711345e-01-2.377395457794342637e-01j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (8.166521712241444630e-01-2.451349893988263862e-01j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (8.043322938424011248e-01-2.520652634893474908e-01j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (7.915063466284341098e-01-2.584712541878447789e-01j)
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (7.782024947285205441e-01-2.642524336121315209e-01j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (7.645145504990187302e-01-2.695254513079998748e-01j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (7.504733149106616041e-01-2.742983009578692233e-01j)
