f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (7.354373766718665939e-01-6.070035546744454447e-01j)	 (-2.483008499497892652e-01-1.318887644079029531e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (4.870173696686075360e-01-5.297766352789327060e-01j)	 (-3.110240735081845065e-01-1.901974400956139011e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (3.769367156825110809e-01-4.206402297304605575e-01j)	 (-3.976668733200360295e-01-2.106217641594946843e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (3.407370387931535904e-01-3.505102816690141010e-01j)	 (-4.735963601249885691e-01-1.897679820067199596e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (3.273558710915780989e-01-3.009494599799094061e-01j)	 (-5.217735937183580752e-01-1.463295751356095686e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (3.159458074820790108e-01-2.698622752847672501e-01j)	 (-5.544267512519693852e-01-9.490753691683267990e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (3.096574784967958127e-01-2.639498319665695147e-01j)	 (-5.695914253201320721e-01-5.576296401198104630e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (2.997479556156601443e-01-2.527298926764371956e-01j)	 (-5.716695417797750256e-01-1.368796419401288600e-02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (2.945117685656090667e-01-2.483555727645201938e-01j)	 (-5.691850703572325365e-01+1.995927267698949237e-02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.861611692869930890e-01-2.465593125586563739e-01j)	 (-5.613789665284482089e-01+5.021633360884091013e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.770678535095739137e-01-2.464014291219798203e-01j)	 (-5.502669851397928857e-01+7.603879452316397725e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (2.672180992730142646e-01-2.472007668893753118e-01j)	 (-5.369436093733488402e-01+9.784325545691412163e-02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (2.567994532343119141e-01-2.484570693810139175e-01j)	 (-5.222383830313439557e-01+1.159566793934082019e-01j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (2.458709746040567967e-01-2.498803416647834286e-01j)	 (-5.068049053453620445e-01+1.307630992766790068e-01j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (2.344448865927181158e-01-2.512682042928444104e-01j)	 (-4.911134909839123819e-01+1.426870567839556569e-01j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (2.227241476814107168e-01-2.523715123979957675e-01j)	 (-4.754362947113888738e-01+1.520856042570227495e-01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (2.107722481765141875e-01-2.531391465765290283e-01j)	 (-4.600561725951934910e-01+1.592208580538492235e-01j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (1.986917451528109058e-01-2.535314537632201715e-01j)	 (-4.451391015063707046e-01+1.643876697884028848e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (1.865042260181158928e-01-2.534699191839587251e-01j)	 (-4.308029036896016128e-01+1.678441325311097743e-01j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (1.742541876377837196e-01-2.528876614915576138e-01j)	 (-4.170994840204529375e-01+1.698959633078824527e-01j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (1.620684870936627275e-01-2.517967794794733205e-01j)	 (-4.040879300619198977e-01+1.706477668155659266e-01j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (1.499410917121532516e-01-2.502034577733297516e-01j)	 (-3.918234715273938296e-01+1.702472987647698499e-01j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (1.378584037475821811e-01-2.480894127148647044e-01j)	 (-3.802857722802980289e-01+1.689079675589535978e-01j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (1.259605024696598408e-01-2.454180130414001515e-01j)	 (-3.694481282620681872e-01+1.667378174245059408e-01j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (1.142322807301897197e-01-2.422337236764552648e-01j)	 (-3.593522239400043228e-01+1.638099663615297519e-01j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (1.027109510596477815e-01-2.385737162906694520e-01j)	 (-3.499489869029896449e-01+1.601793403228767843e-01j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (9.139470000938358651e-02-2.344053994421330112e-01j)	 (-3.412388567995646160e-01+1.559395121805500217e-01j)
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (8.033180707856045488e-02-2.296902553669736835e-01j)	 (-3.331847475760141841e-01+1.512334224505663682e-01j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (6.956940789831217442e-02-2.244848441236627079e-01j)	 (-3.257887854638140679e-01+1.460235692711667199e-01j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (5.908056404005580103e-02-2.187863854722318369e-01j)	 (-3.190717611914141716e-01+1.403252762966172851e-01j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (4.888284472300974404e-02-2.125707925634173767e-01j)	 (-3.129918163235881345e-01+1.342392131412835643e-01j)
 (1.650000000000000000e+01+0.000000000000000000e+00j)	 (3.908780192533273246e-02-2.058425021783637510e-01j)	 (-3.075253965173070370e-01+1.277812374097787862e-01j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (2.967284389784108356e-02-1.986124343551821103e-01j)	 (-3.027277327450517141e-01+1.209439617326089206e-01j)
 (1.750000000000000000e+01+0.000000000000000000e+00j)	 (2.066892156761139521e-02-1.909163938252789738e-01j)	 (-2.985629675173410158e-01+1.136962366033732602e-01j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (1.211360597773372683e-02-1.827129662800531795e-01j)	 (-2.950736169811873921e-01+1.060737048678075944e-01j)
 (1.850000000000000000e+01+0.000000000000000000e+00j)	 (4.115231791793308447e-03-1.739814718652261949e-01j)	 (-2.922701921351610332e-01+9.817287581537503804e-02j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (-3.284164281372556338e-03-1.647697939271821066e-01j)	 (-2.902080737573941582e-01+8.991719399605498098e-02j)
 (1.950000000000000000e+01+0.000000000000000000e+00j)	 (-1.004417854953700007e-02-1.550655375743111020e-01j)	 (-2.889892802815370310e-01+8.129462538717996400e-02j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (-1.604446555555801013e-02-1.448937037473329026e-01j)	 (-2.886621520018092246e-01+7.241119226769557327e-02j)
 (2.050000000000000000e+01+0.000000000000000000e+00j)	 (-2.112636918950294707e-02-1.343448722282917784e-01j)	 (-2.892885557453190315e-01+6.332922354102336893e-02j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (-2.521559814073119632e-02-1.235002939268252803e-01j)	 (-2.910348199936650393e-01+5.411905871001701507e-02j)
 (2.150000000000000000e+01+0.000000000000000000e+00j)	 (-2.823476031080374149e-02-1.125379239084823707e-01j)	 (-2.939412920598765688e-01+4.487059817638340553e-02j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)	 (-3.010067821713142966e-02-1.016345435814298703e-01j)	 (-2.980971575405887419e-01+3.582391199335756282e-02j)
 (2.250000000000000000e+01+0.000000000000000000e+00j)	 (-3.077516473033965749e-02-9.105554115377242907e-02j)	 (-3.034394717619940396e-01+2.732487920422130637e-02j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)	 (-3.039735298672091579e-02-8.103854083679769282e-02j)	 (-3.098813776398229303e-01+1.950117659058460406e-02j)
 (2.350000000000000000e+01+0.000000000000000000e+00j)	 (-2.915105925964291134e-02-7.174161354519154044e-02j)	 (-3.173058467901458402e-01+1.251715154291653184e-02j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)	 (-2.724358906926746537e-02-6.329405612538589743e-02j)	 (-3.254315101844433844e-01+6.552606884672643184e-03j)
 (2.450000000000000000e+01+0.000000000000000000e+00j)	 (-2.488778528871550544e-02-5.574212184084517685e-02j)	 (-3.339766964460096355e-01+1.615805809564120708e-03j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)	 (-2.228098456759035340e-02-4.902816419585291630e-02j)	 (-3.428367255925651169e-01-2.345802840267976423e-03j)
 (2.550000000000000000e+01+0.000000000000000000e+00j)	 (-1.958739644747339859e-02-4.308546407268694367e-02j)	 (-3.518363338916052907e-01-5.486630832150929046e-03j)
 (2.600000000000000000e+01+0.000000000000000000e+00j)	 (-1.689819104202561206e-02-3.782731016595805573e-02j)	 (-3.608878888389880357e-01-7.837153190471974479e-03j)
 (2.650000000000000000e+01+0.000000000000000000e+00j)	 (-1.427478060763023165e-02-3.318413708308114163e-02j)	 (-3.698317033477822036e-01-9.414640882676950789e-03j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)	 (-1.177655359804279100e-02-2.906587798303822412e-02j)	 (-3.786814481833050694e-01-1.039235667108083863e-02j)
 (2.750000000000000000e+01+0.000000000000000000e+00j)	 (-9.433725494919734111e-03-2.539247330223980137e-02j)	 (-3.874723025928017428e-01-1.083446255876868020e-02j)
 (2.800000000000000000e+01+0.000000000000000000e+00j)	 (-7.263072542210903537e-03-2.211207734693844407e-02j)	 (-3.961194966964760034e-01-1.076674283024212780e-02j)
 (2.850000000000000000e+01+0.000000000000000000e+00j)	 (-5.271672325321122288e-03-1.917613112757668437e-02j)	 (-4.045672217685515881e-01-1.027469306775122791e-02j)
 (2.900000000000000000e+01+0.000000000000000000e+00j)	 (-3.466227559568858807e-03-1.653113677118850378e-02j)	 (-4.128952165946601638e-01-9.393390123358661553e-03j)
 (2.950000000000000000e+01+0.000000000000000000e+00j)	 (-1.854478020445415876e-03-1.414011295201027252e-02j)	 (-4.211058339462708244e-01-8.237825930207177613e-03j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)	 (-4.311073260289746689e-04-1.196865896917012617e-02j)	 (-4.292061106077916244e-01-6.792849894102055523e-03j)
