f	Passivity_index
1.000000000000000000e+00	-1.534499333011066918e-02
2.000000000000000000e+00	-1.586731429671416407e-02
3.000000000000000000e+00	-1.658729086367574310e-02
4.000000000000000000e+00	-1.715110727111534422e-02
5.000000000000000000e+00	-1.744796025719191554e-02
6.000000000000000000e+00	-1.748903900109024384e-02
7.000000000000000000e+00	-1.731922920220739515e-02
8.000000000000000000e+00	-1.698424383237302077e-02
9.000000000000000000e+00	-1.652240725261513651e-02
1.000000000000000000e+01	-1.596435118780551929e-02
1.100000000000000000e+01	-1.533449917452231991e-02
1.200000000000000000e+01	-1.465255305100293150e-02
1.300000000000000000e+01	-1.393461624738027982e-02
1.400000000000000000e+01	-1.319397808828217875e-02
1.500000000000000000e+01	-1.244165517013824142e-02
1.600000000000000000e+01	-1.168677426961638351e-02
1.700000000000000000e+01	-1.093685605885542575e-02
1.800000000000000000e+01	-1.019803722023625465e-02
1.900000000000000000e+01	-9.475253943162228326e-03
2.000000000000000000e+01	-8.772399753757206126e-03
2.100000000000000000e+01	-8.092465048402459199e-03
2.200000000000000000e+01	-7.437662333488188719e-03
2.300000000000000000e+01	-6.809539003863938553e-03
2.400000000000000000e+01	-6.209078943442350104e-03
2.500000000000000000e+01	-5.636793527486284872e-03
2.600000000000000000e+01	-5.092802518763981864e-03
2.700000000000000000e+01	-4.576905511055957138e-03
2.800000000000000000e+01	-4.088644305104796248e-03
2.900000000000000000e+01	-3.627357091402296212e-03
3.000000000000000000e+01	-3.192224921568137357e-03
3.100000000000000000e+01	-2.782311332037173349e-03
3.200000000000000000e+01	-2.396595744960965807e-03
3.300000000000000000e+01	-2.034001394656796951e-03
3.400000000000000000e+01	-1.693418481576560233e-03
3.500000000000000000e+01	-1.373723057639952795e-03
3.600000000000000000e+01	-1.286073313794030681e-03
3.700000000000000000e+01	-1.278297556572333214e-03
3.800000000000000000e+01	-1.291277246935805534e-03
3.900000000000000000e+01	-1.310724916021523698e-03
4.000000000000000000e+01	-1.316318116086077948e-03
4.100000000000000000e+01	-1.299286723520837183e-03
4.200000000000000000e+01	-1.252609363970646822e-03
4.300000000000000000e+01	-1.171986753772951903e-03
4.400000000000000000e+01	-1.059153127837268293e-03
4.500000000000000000e+01	-9.255752848797672242e-04
4.600000000000000000e+01	-7.884041074249675037e-04
4.700000000000000000e+01	-6.718747085288293962e-04
4.800000000000000000e+01	-6.689479535364620602e-04
4.900000000000000000e+01	-6.676683552039409724e-04
5.000000000000000000e+01	-5.526378381855235125e-04
5.100000000000000000e+01	-6.610177346434037990e-04
5.200000000000000000e+01	-6.610132777767116887e-04
5.300000000000000000e+01	-6.655872230712508520e-04
5.400000000000000000e+01	-6.825621507305186172e-04
5.500000000000000000e+01	-7.026906625758411531e-04
5.600000000000000000e+01	-7.250850943945196404e-04
5.700000000000000000e+01	-7.497105787875853536e-04
5.800000000000000000e+01	-7.779204179023931163e-04
5.900000000000000000e+01	-8.057695931232287164e-04
6.000000000000000000e+01	-8.327715590842752402e-04
6.100000000000000000e+01	-8.582778019728703372e-04
6.200000000000000000e+01	-8.815520788432826705e-04
6.300000000000000000e+01	-9.018504307034001842e-04
6.400000000000000000e+01	-9.185127284606739613e-04
6.500000000000000000e+01	-9.310352053543270549e-04
6.600000000000000000e+01	-9.391161562798791594e-04
6.700000000000000000e+01	-9.426698426104835942e-04
6.800000000000000000e+01	-9.418121484453333787e-04
6.900000000000000000e+01	-9.368256343089632811e-04
7.000000000000000000e+01	-9.281146733954227139e-04
7.100000000000000000e+01	-9.161530754451720909e-04
7.300000000000000000e+01	-8.844399185899752373e-04
7.400000000000000000e+01	-8.656719595879449518e-04
7.500000000000000000e+01	-8.704323727800515956e-04
7.700000000000000000e+01	-9.069633682837123338e-04
7.800000000000000000e+01	-9.229159877864845070e-04
7.900000000000000000e+01	-9.375240693988354376e-04
8.100000000000000000e+01	-9.630204382579598491e-04
8.200000000000000000e+01	-9.746759197444070880e-04
8.300000000000000000e+01	-9.866978375988534784e-04
8.400000000000000000e+01	-1.001690296151916100e-03
8.500000000000000000e+01	-1.019829923434859053e-03
8.700000000000000000e+01	-1.042856691070883452e-03
8.800000000000000000e+01	-1.042954486846267743e-03
9.000000000000000000e+01	-1.043609316009926589e-03
9.100000000000000000e+01	-1.048462768663863467e-03
9.300000000000000000e+01	-1.056888672262029649e-03
9.400000000000000000e+01	-1.060241872647464233e-03
9.500000000000000000e+01	-1.063066312540172659e-03
9.600000000000000000e+01	-1.065379325252488116e-03
9.800000000000000000e+01	-1.068512594211444133e-03
1.000000000000000000e+02	-1.204191401130733086e-03
1.010000000000000000e+02	-3.102892136078949648e-03
1.030000000000000000e+02	-5.617264972479107943e-03
1.040000000000000000e+02	-6.399233211847391023e-03
1.050000000000000000e+02	-6.961462587731434559e-03
1.070000000000000000e+02	-7.616257509530571790e-03
1.090000000000000000e+02	-7.857381932924761836e-03
1.100000000000000000e+02	-7.876807152741041596e-03
1.120000000000000000e+02	-7.782975566672054035e-03
1.130000000000000000e+02	-7.689080817646853916e-03
1.140000000000000000e+02	-7.573514636273370737e-03
1.160000000000000000e+02	-7.297977645519995726e-03
1.180000000000000000e+02	-6.988044904589776896e-03
1.200000000000000000e+02	-6.664096211570672001e-03
1.210000000000000000e+02	-6.501150402282343532e-03
