f	min_s_G1	min_s_G2	min_s_G1G2
1.000000000000000000e+00	5.083559966792035034e-01	1.100358859243209635e-03	7.139552996780278590e+03
2.000000000000000000e+00	4.986081017751127775e-01	1.883387315443626770e-03	7.439030737512955966e+03
3.000000000000000000e+00	4.888016692428324705e-01	1.883975988450902915e-03	7.758083444460050487e+03
4.000000000000000000e+00	4.789700245832986258e-01	1.884448424701740945e-03	8.098197419052744408e+03
5.000000000000000000e+00	4.691200643842298734e-01	1.885010054828342718e-03	8.461211329169458622e+03
6.000000000000000000e+00	4.592542376239586721e-01	1.885697311010112827e-03	8.849204061277012443e+03
7.000000000000000000e+00	4.493737357418970402e-01	1.886531329831726052e-03	9.264506435793677156e+03
8.000000000000000000e+00	4.394792954450116307e-01	1.887540322413789511e-03	9.709732988187983210e+03
9.000000000000000000e+00	4.295714685849725267e-01	1.888758973120834928e-03	1.018782289657632828e+04
1.000000000000000000e+01	4.196507319847638251e-01	1.853343164761138027e-03	1.070208840580136712e+04
1.100000000000000000e+01	4.097175391914774645e-01	1.591213659194895243e-03	1.125627146755421927e+04
1.200000000000000000e+01	3.997723482402187334e-01	1.363553942007018167e-03	1.185461072116153264e+04
1.300000000000000000e+01	3.898156385828401849e-01	1.162819344750142111e-03	1.250192160843395686e+04
1.400000000000000000e+01	3.798479228830825005e-01	9.836084224735068809e-04	1.320369267681404926e+04
1.500000000000000000e+01	3.698697563836584878e-01	8.220235743300862699e-04	1.396620158466431349e+04
1.600000000000000000e+01	3.598817452868585121e-01	6.753044842955247418e-04	1.479665521853445171e+04
1.700000000000000000e+01	3.498845549788296427e-01	5.416835844495462111e-04	1.570335963467034890e+04
1.800000000000000000e+01	3.398789186948759644e-01	4.205314605918748913e-04	3.998418180604676309e+04
1.900000000000000000e+01	3.298656470901530358e-01	3.131400355096063235e-04	1.778553077151476464e+04
2.000000000000000000e+01	3.198456391431638846e-01	2.253246087745982228e-04	1.898521671229212370e+04
2.100000000000000000e+01	3.098198949757448029e-01	1.736189440171743579e-04	2.031029427352013226e+04
2.200000000000000000e+01	2.997895311258353401e-01	1.799531583350853889e-04	2.177882177379042332e+04
2.300000000000000000e+01	2.897557990925588300e-01	2.334285085252861590e-04	2.341221904997100864e+04
2.400000000000000000e+01	2.797201081651548016e-01	3.066881870469043343e-04	2.523604460800440575e+04
2.500000000000000000e+01	2.696840538825667211e-01	3.861927297056321189e-04	2.728099000807241828e+04
2.600000000000000000e+01	2.596494539359356368e-01	4.670771351774899568e-04	2.958416351943660993e+04
2.700000000000000000e+01	2.496183939648547456e-01	5.475354371438877470e-04	3.219076303607616501e+04
2.800000000000000000e+01	2.395932865826584379e-01	6.268614241290915894e-04	3.515627874757882091e+04
2.900000000000000000e+01	2.295769481978563453e-01	7.047872122019338808e-04	3.854942560506642621e+04
3.000000000000000000e+01	2.195726999293261539e-01	7.812350666407398255e-04	4.245609449586605479e+04
3.100000000000000000e+01	2.095845013506699439e-01	8.562139488088862591e-04	4.698474580252773740e+04
3.200000000000000000e+01	1.996171292739314929e-01	8.959524116470534566e-04	5.227387659870339849e+04
3.300000000000000000e+01	1.896764187975713833e-01	8.904674390298569948e-04	5.850251653329253168e+04
3.400000000000000000e+01	1.797695911733164509e-01	8.876963371610009342e-04	6.590521796539722709e+04
3.500000000000000000e+01	1.699057039795628665e-01	8.869391506349679323e-04	7.479384965731034754e+04
3.600000000000000000e+01	1.600962757494687749e-01	8.871658562921646510e-04	8.559008737658894097e+04
3.700000000000000000e+01	1.503561633275665443e-01	8.894876153662080800e-04	9.887525224926060764e+04
3.800000000000000000e+01	1.407048125566889574e-01	8.950850348565806205e-04	1.154680713796435739e+05
3.900000000000000000e+01	1.311680742351861995e-01	9.027315690184581527e-04	1.365493872563761252e+05
4.000000000000000000e+01	1.217809030454123781e-01	9.099804760716102055e-04	1.638701864020845096e+05
4.100000000000000000e+01	1.125914904777229608e-01	9.135057905811932869e-04	2.001119425732596137e+05
4.200000000000000000e+01	1.036678404294324174e-01	9.089960710436867982e-04	2.495383450557748147e+05
4.300000000000000000e+01	9.510874635921420794e-02	8.919768426225061116e-04	3.192354065944991889e+05
4.400000000000000000e+01	8.706320150821349191e-02	8.597468164938143909e-04	4.216138512988511939e+05
4.500000000000000000e+01	7.976689192033049880e-02	8.137096860147290979e-04	5.798170793479968561e+05
4.600000000000000000e+01	7.361404672492538603e-02	7.598825468631764061e-04	8.404380775437429547e+05
4.700000000000000000e+01	6.929467469968059179e-02	7.051459860988950430e-04	1.307486157567753689e+06
4.800000000000000000e+01	6.794535093537230896e-02	6.539069830299253615e-04	2.263101415316725150e+06
4.900000000000000000e+01	6.942773613129699095e-02	6.078150456276281343e-04	5.041591494924018160e+06
5.000000000000000000e+01	8.352069193268760183e-02	5.668298323402968684e-04	2.527133232506505027e+07
5.100000000000000000e+01	6.942928911606660591e-02	5.302140237647656436e-04	5.041583298178551719e+06
5.200000000000000000e+01	6.794610937361156289e-02	4.970807242538506903e-04	2.263101056904647499e+06
5.300000000000000000e+01	6.929410407330219290e-02	4.666716756602427526e-04	1.307486231642459985e+06
5.400000000000000000e+01	7.361268383529669113e-02	4.384410426107056800e-04	8.404382029579482041e+05
5.500000000000000000e+01	7.976505738849923310e-02	4.120762862160549695e-04	5.798172122423133114e+05
5.600000000000000000e+01	8.706107079929795156e-02	3.874861261193008038e-04	4.216139813661191729e+05
5.700000000000000000e+01	9.510642025071779082e-02	3.647746073896032410e-04	3.192355226278224727e+05
5.800000000000000000e+01	1.036653806734110783e-01	3.442045620574957871e-04	2.495384314329951594e+05
5.900000000000000000e+01	1.125889372352622403e-01	3.261480400384412668e-04	2.001119785641736526e+05
6.000000000000000000e+01	1.217782838088323494e-01	3.110066195851821070e-04	1.638701417968617752e+05
6.100000000000000000e+01	1.311654086988593981e-01	2.992001856087574303e-04	1.365492207707660273e+05
6.200000000000000000e+01	1.407021154514700723e-01	2.909424025856554934e-04	1.154677425266667560e+05
6.300000000000000000e+01	1.503534461677097367e-01	2.863101840223598654e-04	9.887477353886247147e+04
6.400000000000000000e+01	1.600935479652025040e-01	2.851434415836589251e-04	8.558962748259927321e+04
6.500000000000000000e+01	1.699029736845284744e-01	2.870791969794811546e-04	7.479371197334976750e+04
6.600000000000000000e+01	1.797668657079750654e-01	2.916138838221866893e-04	6.590557232053429470e+04
6.700000000000000000e+01	1.896737051304870358e-01	2.981829701706311948e-04	5.850331898253747931e+04
6.800000000000000000e+01	1.996144343139956978e-01	3.062323696726467468e-04	5.227502609512833442e+04
6.900000000000000000e+01	2.095818322023858538e-01	3.152670055851915318e-04	4.698617365640443313e+04
7.000000000000000000e+01	2.195700641152484034e-01	3.248748609179964589e-04	4.245777222104940302e+04
7.100000000000000000e+01	2.295743538644277326e-01	3.347330470175674468e-04	3.855135441780743713e+04
7.300000000000000000e+01	2.496159105491014829e-01	3.542880988349940831e-04	3.219328224157512886e+04
7.400000000000000000e+01	2.596470422597526029e-01	3.636848571340544570e-04	2.958705959207363412e+04
7.500000000000000000e+01	2.696817267450806743e-01	3.725135071376979275e-04	2.728434039657059111e+04
7.700000000000000000e+01	2.897536870681061139e-01	3.844078734640904655e-04	2.341686327080112460e+04
7.800000000000000000e+01	2.997875544506600765e-01	3.654436268670045035e-04	2.178437750708376188e+04
7.900000000000000000e+01	3.098180761655451310e-01	3.486594393951773308e-04	2.031697536383597981e+04
8.100000000000000000e+01	3.298642274347193815e-01	3.242245276363224017e-04	1.779521419465225699e+04
8.200000000000000000e+01	3.398777505217397410e-01	3.173141034849830794e-04	4.005762997979833744e+04
8.300000000000000000e+01	3.498836817010078648e-01	3.139478439382166410e-04	1.571773023268393808e+04
8.400000000000000000e+01	3.598812190214319418e-01	3.131122143863638522e-04	1.481464766025476638e+04
8.500000000000000000e+01	3.698696402727117971e-01	3.115173135009099438e-04	1.398904205548430764e+04
8.700000000000000000e+01	3.898165933263974536e-01	2.877467963894742432e-04	1.253649851864350603e+04
8.800000000000000000e+01	3.997740070018168668e-01	2.603824065639075147e-04	1.189139935560627055e+04
9.000000000000000000e+01	4.196543092922802032e-01	1.929334757831093665e-04	1.073111505376155219e+04
9.100000000000000000e+01	4.295763759814538174e-01	1.668723205963727567e-04	1.020917692558202725e+04
9.300000000000000000e+01	4.493825814166193533e-01	1.366728180270297493e-04	9.276161106944846324e+03
9.400000000000000000e+01	4.592661205345553443e-01	1.254082619783350786e-04	8.858526040186916362e+03
9.500000000000000000e+01	4.691362683820043400e-01	1.148386288196444539e-04	8.468987073016753129e+03
9.600000000000000000e+01	4.789927976088101946e-01	1.048945828536288887e-04	8.104759645672530496e+03
9.800000000000000000e+01	4.986642121907453595e-01	8.670032223111523765e-05	7.443685261144497417e+03
1.000000000000000000e+02	5.182790035033167930e-01	7.085014012830455007e-05	6.860534206607865599e+03
1.010000000000000000e+02	5.280648251848739649e-01	6.331176516924876701e-05	6.594369562505564318e+03
1.030000000000000000e+02	5.475927855235285246e-01	5.034749289749671397e-05	6.106555245443629246e+03
1.040000000000000000e+02	5.573347535077604054e-01	4.475470688756179668e-05	5.882720394673915507e+03
1.050000000000000000e+02	5.670619542144004210e-01	3.985424110198173772e-05	5.670979421139993974e+03
1.070000000000000000e+02	5.864718440776722774e-01	3.260397638071830021e-05	5.280422574323268236e+03
1.090000000000000000e+02	6.058221334919097201e-01	2.960969823782544873e-05	4.928877193551701566e+03
1.100000000000000000e+02	6.154748659101153541e-01	2.983716388595904261e-05	4.766127960708039609e+03
1.120000000000000000e+02	6.347354467565096137e-01	3.313467971238232424e-05	4.463913261022718871e+03
1.130000000000000000e+02	6.443432904453754162e-01	3.579422540275604709e-05	4.323472945890582196e+03
1.140000000000000000e+02	6.539361756678992998e-01	3.887650087789292527e-05	4.189557063015404310e+03
1.160000000000000000e+02	6.730771173866880730e-01	4.579070399093484279e-05	3.939735856425860675e+03
1.180000000000000000e+02	6.921584053558866856e-01	5.317162398188542447e-05	3.711608031643007962e+03
1.200000000000000000e+02	7.111802278331955662e-01	6.066759359254869741e-05	3.502732221430359004e+03
1.210000000000000000e+02	7.206689103631124249e-01	6.439883434357002493e-05	3.404843853362112441e+03
1.230000000000000000e+02	7.396019785960945558e-01	7.175627353904676900e-05	3.220984949618357859e+03
1.250000000000000000e+02	7.584762177476834788e-01	7.890686530355076967e-05	3.051622967116947166e+03
1.270000000000000000e+02	7.772919247457731329e-01	8.578171605632516625e-05	2.895273223158921610e+03
1.280000000000000000e+02	7.866779252595130778e-01	8.909385573307009314e-05	2.821565434226027719e+03
1.290000000000000000e+02	7.960494097446334516e-01	9.230947470750077951e-05	2.750636381414105017e+03
1.310000000000000000e+02	8.147489903025503244e-01	9.840661407124397405e-05	2.616571289410269401e+03
1.340000000000000000e+02	8.426904900752418826e-01	1.065191493093317724e-04	2.433128210382462385e+03
1.350000000000000000e+02	8.519757166680632654e-01	1.088829669092418738e-04	2.376250303611834624e+03
1.360000000000000000e+02	8.612467052341897800e-01	1.110488812641894962e-04	2.321343144013452275e+03
1.380000000000000000e+02	8.797461216712633147e-01	1.147157986856295976e-04	2.217085672772343969e+03
1.410000000000000000e+02	9.073894033869749354e-01	1.183071842148001836e-04	2.073384936310705598e+03
1.420000000000000000e+02	9.165757498129097902e-01	1.189440756268181403e-04	2.028575911090414820e+03
1.430000000000000000e+02	9.257481134864220529e-01	1.192899599860110563e-04	1.985202334002816769e+03
1.460000000000000000e+02	9.531816363276821580e-01	1.186244761064923872e-04	1.863101691361761596e+03
1.480000000000000000e+02	9.714013233200974318e-01	1.169200949480741412e-04	1.787844897595542761e+03
1.490000000000000000e+02	9.804904568138840260e-01	1.157707798868169892e-04	1.751912022795685061e+03
1.510000000000000000e+02	9.986274412471277673e-01	1.130888912076039699e-04	1.683215845482764280e+03
1.540000000000000000e+02	1.025730093323854009e+00	1.087054943046367834e-04	1.587495060563027891e+03
1.550000000000000000e+02	1.034736985456077063e+00	1.073139696061617388e-04	1.557394257783717876e+03
1.560000000000000000e+02	1.043730251441949086e+00	1.060125001223626592e-04	1.528140364113519354e+03
1.590000000000000000e+02	1.070628491153747364e+00	1.028498505911081316e-04	1.445153594772022188e+03
1.610000000000000000e+02	1.088492867065464109e+00	1.014433464214772494e-04	1.393525240409082471e+03
1.620000000000000000e+02	1.097404769150919002e+00	1.009463376163112968e-04	1.368741503854921802e+03
1.650000000000000000e+02	1.124059503709698093e+00	1.001689830856096160e-04	1.298228351468459323e+03
1.670000000000000000e+02	1.141761975405087171e+00	1.001286190878990424e-04	1.254201340429909578e+03
1.680000000000000000e+02	1.150593038800107326e+00	1.002173498515255905e-04	1.233022124775556222e+03
1.710000000000000000e+02	1.177005648549742878e+00	1.008048952932906949e-04	1.172602826532107656e+03
1.730000000000000000e+02	1.194546980150795745e+00	1.013913132396474014e-04	1.134754287964063906e+03
1.740000000000000000e+02	1.203297542211829274e+00	1.017263926344239510e-04	1.116512561558758080e+03
1.770000000000000000e+02	1.229468869470655479e+00	1.028549076703455702e-04	1.064347014067545842e+03
1.790000000000000000e+02	1.246849488919190341e+00	1.036845607966693073e-04	1.031571858017150362e+03
1.800000000000000000e+02	1.255519725950703380e+00	1.041170676486717454e-04	1.015748136476315608e+03
1.830000000000000000e+02	1.281450158819247065e+00	1.054703747764663355e-04	9.703979187525566203e+02
1.850000000000000000e+02	1.298670215786223991e+00	1.064097843944101737e-04	9.418280795513582007e+02
1.860000000000000000e+02	1.307260172394157038e+00	1.068884036951933599e-04	9.280130999332022839e+02
1.890000000000000000e+02	1.332949733686537908e+00	1.083526695702155518e-04	8.883406800016574607e+02
1.910000000000000000e+02	1.350009159062360187e+00	1.093472703127016337e-04	8.632864215765623612e+02
1.930000000000000000e+02	1.367014995797316113e+00	1.103522270475305330e-04	8.392752210368195165e+02
1.960000000000000000e+02	1.392423204184140895e+00	1.118717833300313737e-04	8.050903304726870147e+02
1.970000000000000000e+02	1.400865777041737426e+00	1.123800079824435142e-04	7.941574848732218470e+02
1.990000000000000000e+02	1.417710649199964479e+00	1.133969199461755216e-04	7.729480203622086947e+02
2.020000000000000000e+02	1.442877196498489889e+00	1.149187097223278501e-04	7.426887921843770073e+02
2.030000000000000000e+02	1.451239154600150405e+00	1.154238531477030737e-04	7.329955110681978567e+02
2.060000000000000000e+02	1.476244278158701961e+00	1.169292394564193382e-04	7.050250849772907031e+02
2.080000000000000000e+02	1.492847011535249901e+00	1.179221132495517858e-04	6.872562009193136419e+02
2.100000000000000000e+02	1.509395812477362320e+00	1.189046794148075886e-04	6.701491070232705169e+02
2.130000000000000000e+02	1.534117791489537863e+00	1.203594645401472659e-04	6.456588757723746994e+02
2.140000000000000000e+02	1.542331436261176636e+00	1.208402042855589569e-04	6.377924490690760422e+02
2.170000000000000000e+02	1.566891250453264162e+00	1.222666454324144623e-04	6.150347169310140316e+02
2.190000000000000000e+02	1.583196808347974827e+00	1.231991080098129778e-04	6.005312229303137883e+02
2.210000000000000000e+02	1.599448199455406172e+00	1.241154030410713562e-04	5.865334134924920590e+02
2.240000000000000000e+02	1.623723644968774193e+00	1.254602659636363767e-04	5.664343995700688765e+02
2.250000000000000000e+02	1.631788339369214746e+00	1.259007844665138807e-04	5.599632365822305928e+02
2.290000000000000000e+02	1.663911417107146962e+00	1.276244122818501355e-04	5.351536251163691986e+02
2.300000000000000000e+02	1.671908246124281572e+00	1.280457791905578854e-04	5.292081116112485688e+02
2.330000000000000000e+02	1.695817235627709030e+00	1.292872773477881927e-04	5.119524370839691301e+02
2.350000000000000000e+02	1.711688628610205321e+00	1.300963125298578240e-04	5.009119119265811833e+02
2.370000000000000000e+02	1.727505662691013466e+00	1.308906029463157480e-04	4.902236137598973755e+02
2.400000000000000000e+02	1.751129280925458387e+00	1.320545014176856041e-04	4.748193814089268017e+02
2.410000000000000000e+02	1.758976638437390383e+00	1.324351046906215978e-04	4.698451820591274100e+02
2.450000000000000000e+02	1.790230181862123349e+00	1.339203405808102635e-04	4.507075400699055194e+02
2.460000000000000000e+02	1.798009604102539960e+00	1.342822957970427565e-04	4.461052153703339513e+02
2.500000000000000000e+02	1.828991512701035882e+00	1.356927611532168180e-04	4.283809079934396777e+02
2.510000000000000000e+02	1.836703061524878722e+00	1.360361391144825169e-04	4.241143003141746135e+02
2.540000000000000000e+02	1.859756346687729600e+00	1.370446179224812607e-04	4.116887000335755715e+02
2.560000000000000000e+02	1.875057453247651607e+00	1.376992754259567515e-04	4.037047771137896461e+02
2.590000000000000000e+02	1.897907606360978550e+00	1.386553407521925281e-04	3.921558131312471005e+02
2.610000000000000000e+02	1.913073450845410362e+00	1.392753132758714550e-04	3.847286027397844350e+02
2.630000000000000000e+02	1.928185294804080963e+00	1.398813093011370685e-04	3.775095851474817437e+02
2.660000000000000000e+02	1.950751962017278629e+00	1.407738805560898381e-04	3.670546585975303060e+02
2.680000000000000000e+02	1.965729119351930398e+00	1.413560920177946763e-04	3.603231737759266480e+02
2.710000000000000000e+02	1.988094135013907859e+00	1.422056662828926395e-04	3.505664897099488257e+02
2.720000000000000000e+02	1.995522327151798114e+00	1.424830300300300554e-04	3.474018154643032403e+02
2.760000000000000000e+02	2.025101360694448793e+00	1.435653577103129341e-04	3.351603631600915492e+02
2.770000000000000000e+02	2.032462751640409682e+00	1.438294032997728040e-04	3.322006526962338171e+02
2.810000000000000000e+02	2.061775272484998478e+00	1.448606237297521654e-04	3.207436500150024585e+02
2.820000000000000000e+02	2.069070217896056274e+00	1.451123633176308928e-04	3.179715828131563740e+02
2.860000000000000000e+02	2.098117744492003833e+00	1.460960427514196107e-04	3.072334245339652057e+02
2.870000000000000000e+02	2.105346647789394066e+00	1.463362986937425943e-04	3.046334715860369897e+02
2.910000000000000000e+02	2.134130888006338100e+00	1.472755638049293809e-04	2.945552698143142720e+02
2.920000000000000000e+02	2.141294199501965423e+00	1.475050842604255731e-04	2.921134758366534925e+02
2.960000000000000000e+02	2.169817046610592381e+00	1.484028146421509983e-04	2.826422513945411765e+02
2.970000000000000000e+02	2.176915262378893878e+00	1.486222930308556849e-04	2.803460472865049269e+02
3.010000000000000000e+02	2.205178790087959140e+00	1.494811637077710271e-04	2.714340323710036955e+02
3.020000000000000000e+02	2.212212450620214543e+00	1.496912448805214600e-04	2.692720732311007055e+02
3.060000000000000000e+02	2.240218907312877761e+00	1.505137456501549160e-04	2.608761082134569165e+02
3.080000000000000000e+02	2.254145563952623998e+00	1.509146239965871610e-04	2.568238098905837319e+02
3.110000000000000000e+02	2.274940398285146159e+00	1.515034764270513368e-04	2.509191431382662074e+02
3.130000000000000000e+02	2.288740490078584155e+00	1.518879836791094313e-04	2.470944605771249769e+02
3.160000000000000000e+02	2.309346465457640996e+00	1.524530644655305823e-04	2.415183929241300405e+02
3.180000000000000000e+02	2.323021328018334053e+00	1.528222295356827733e-04	2.379045990913670607e+02
3.210000000000000000e+02	2.343440504491541176e+00	1.533650259688757920e-04	2.326332015407334382e+02
3.240000000000000000e+02	2.363748636005579051e+00	1.538951209619938423e-04	2.275340197668868143e+02
3.260000000000000000e+02	2.377226094558813063e+00	1.542416967191157526e-04	2.242265609969920774e+02
3.300000000000000000e+02	2.404034999566548425e+00	1.549190858205154063e-04	2.178230272549960489e+02
3.310000000000000000e+02	2.410706988303473963e+00	1.550852440973729670e-04	2.162647254956092411e+02
3.350000000000000000e+02	2.437274948168957955e+00	1.557375910979334884e-04	2.101947134892021154e+02
3.360000000000000000e+02	2.443887101557537189e+00	1.558976827065146407e-04	2.087168723706550395e+02
3.400000000000000000e+02	2.470217359427950399e+00	1.565264948617053095e-04	2.029576267128445295e+02
3.410000000000000000e+02	2.476770502898702819e+00	1.566808788099719753e-04	2.015548034360440681e+02
3.450000000000000000e+02	2.502866416544625494e+00	1.572875448844634908e-04	1.960854769729561156e+02
3.470000000000000000e+02	2.515844862983851016e+00	1.575845369815495319e-04	1.934333290348857020e+02
3.500000000000000000e+02	2.535226436517971749e+00	1.580223788248933422e-04	1.895541463010248435e+02
3.530000000000000000e+02	2.554505553021379605e+00	1.584513305513830502e-04	1.857896476478844079e+02
3.550000000000000000e+02	2.567301859648674078e+00	1.587325123251726261e-04	1.833414768962182961e+02
3.590000000000000000e+02	2.592760344646995563e+00	1.592837842911745390e-04	1.785870230990518337e+02
3.600000000000000000e+02	2.599097239137348581e+00	1.594193532339300071e-04	1.774270830221090591e+02
3.640000000000000000e+02	2.624335036840000690e+00	1.599529376298717642e-04	1.728976554179199923e+02
3.660000000000000000e+02	2.636888598966526054e+00	1.602146517020392250e-04	1.706971943733727528e+02
3.690000000000000000e+02	2.655638133023118019e+00	1.606010870567708255e-04	1.674738119279425348e+02
3.720000000000000000e+02	2.674291624600092288e+00	1.609803760355590484e-04	1.643401418550769790e+02
3.740000000000000000e+02	2.686674448538348248e+00	1.612293812455169108e-04	1.622992347641119295e+02
3.780000000000000000e+02	2.711314702897908102e+00	1.617184424727599146e-04	1.583289048677202970e+02
3.790000000000000000e+02	2.717448873723336433e+00	1.618388904923940478e-04	1.573588918073001537e+02
