f	Passivity_index
1.000000000000000000e+00	1.130778639253648016e-04
2.000000000000000000e+00	-7.779581454330540893e-04
3.000000000000000000e+00	-1.158083809313386345e-03
4.000000000000000000e+00	-1.530332938214443552e-03
5.000000000000000000e+00	-1.756911497295850005e-03
6.000000000000000000e+00	-1.869128774724880451e-03
7.000000000000000000e+00	-1.922607758308092973e-03
8.000000000000000000e+00	-1.956055240520929508e-03
9.000000000000000000e+00	-1.990902346594277273e-03
1.000000000000000000e+01	-2.032734356766312690e-03
1.100000000000000000e+01	-2.076842203361378269e-03
1.200000000000000000e+01	-2.115117619346749359e-03
1.300000000000000000e+01	-2.140791477595348647e-03
1.400000000000000000e+01	-2.150122407803164472e-03
1.500000000000000000e+01	-2.142133549067500291e-03
1.600000000000000000e+01	-2.117689775348172675e-03
1.700000000000000000e+01	-2.078627437217870407e-03
1.800000000000000000e+01	-2.027148268421300695e-03
1.900000000000000000e+01	-1.965435703354209262e-03
2.000000000000000000e+01	-1.895533397685570699e-03
2.100000000000000000e+01	-1.819214452478700329e-03
2.200000000000000000e+01	-1.737935027081563902e-03
2.300000000000000000e+01	-1.652834886511270369e-03
2.400000000000000000e+01	-1.564726960035342463e-03
2.500000000000000000e+01	-1.474097861841056588e-03
2.600000000000000000e+01	-1.381132969340567642e-03
2.700000000000000000e+01	-1.285794436071215421e-03
2.800000000000000000e+01	-1.187992059563512670e-03
2.900000000000000000e+01	-1.087895177816716394e-03
3.000000000000000000e+01	-9.864559621557598100e-04
3.100000000000000000e+01	-8.863054623298882327e-04
3.200000000000000000e+01	-7.933794907170778473e-04
3.300000000000000000e+01	-7.193943452574913695e-04
3.400000000000000000e+01	-6.811486729976750764e-04
3.500000000000000000e+01	-6.806773677264138555e-04
3.600000000000000000e+01	-6.767087375203648071e-04
3.700000000000000000e+01	-6.302278243065499068e-04
3.800000000000000000e+01	-5.543506871685388712e-04
3.900000000000000000e+01	-4.825202204827514765e-04
4.000000000000000000e+01	-4.300348758168336442e-04
4.100000000000000000e+01	-3.977095456319370355e-04
4.200000000000000000e+01	-3.798273411221622631e-04
4.300000000000000000e+01	-3.690195408533809059e-04
4.400000000000000000e+01	-3.597063615325959626e-04
4.500000000000000000e+01	-3.485296309732374004e-04
4.600000000000000000e+01	-3.347355650426862101e-04
4.700000000000000000e+01	-3.189594810207234225e-04
4.800000000000000000e+01	-3.021718001654596117e-04
4.900000000000000000e+01	-2.850792791449606586e-04
5.000000000000000000e+01	-2.293487030236348993e-04
5.100000000000000000e+01	-2.468686967814196940e-04
5.200000000000000000e+01	-2.337145605700904742e-04
5.300000000000000000e+01	-2.201471416993603530e-04
5.400000000000000000e+01	-2.073093058667609318e-04
5.500000000000000000e+01	-1.953947831596470708e-04
5.600000000000000000e+01	-1.844286479508560185e-04
5.700000000000000000e+01	-1.743746182456501579e-04
5.800000000000000000e+01	-1.651596281804662580e-04
5.900000000000000000e+01	-1.566821573952277124e-04
6.000000000000000000e+01	-1.488137959495885196e-04
6.100000000000000000e+01	-1.413925712749227977e-04
6.200000000000000000e+01	-1.342235082850273950e-04
6.300000000000000000e+01	-1.270648430937676529e-04
6.400000000000000000e+01	-1.196235489222948557e-04
6.500000000000000000e+01	-1.115472922350191234e-04
6.600000000000000000e+01	-1.024181877030583585e-04
6.700000000000000000e+01	-9.174919613880627885e-05
6.800000000000000000e+01	-7.898559916749908012e-05
6.900000000000000000e+01	-6.351592409463524915e-05
7.000000000000000000e+01	-4.469865321098756312e-05
7.100000000000000000e+01	-2.191200579804236063e-05
7.300000000000000000e+01	3.746883634366966732e-05
7.400000000000000000e+01	7.437759670107864005e-05
7.500000000000000000e+01	1.156721801054062966e-04
7.700000000000000000e+01	2.074485866153362998e-04
7.800000000000000000e+01	2.551130873225545778e-04
7.900000000000000000e+01	3.019096923395780279e-04
8.100000000000000000e+01	3.880134430244236107e-04
8.200000000000000000e+01	4.259757452369886967e-04
8.300000000000000000e+01	4.605305378268943046e-04
8.400000000000000000e+01	4.922230798756651845e-04
8.500000000000000000e+01	5.212374465255743524e-04
8.700000000000000000e+01	5.648393876921458875e-04
8.800000000000000000e+01	5.824063213209962255e-04
9.000000000000000000e+01	6.129683423917447072e-04
9.100000000000000000e+01	6.268772156268081520e-04
9.300000000000000000e+01	6.523604319900400345e-04
9.400000000000000000e+01	6.642479632056346893e-04
9.500000000000000000e+01	6.757605293575324936e-04
9.600000000000000000e+01	6.870182650873602262e-04
9.800000000000000000e+01	7.091519631977056095e-04
1.000000000000000000e+02	7.312747076777832006e-04
1.010000000000000000e+02	7.349858599672417971e-04
1.030000000000000000e+02	7.287040022138253090e-04
1.040000000000000000e+02	7.257945663208367803e-04
1.050000000000000000e+02	7.230261747627738994e-04
1.070000000000000000e+02	7.178728949097860738e-04
1.090000000000000000e+02	7.131649784612892774e-04
1.100000000000000000e+02	7.109532197848536820e-04
1.120000000000000000e+02	7.067642181793282533e-04
1.130000000000000000e+02	7.047669048314220358e-04
1.140000000000000000e+02	7.028209363652128481e-04
1.160000000000000000e+02	6.990424825082462278e-04
1.180000000000000000e+02	6.953476372433657366e-04
1.200000000000000000e+02	6.916555699776167580e-04
1.210000000000000000e+02	6.897857318594131839e-04
1.230000000000000000e+02	6.859505680230320972e-04
1.250000000000000000e+02	6.819286052464855735e-04
1.270000000000000000e+02	6.776569464591601817e-04
1.280000000000000000e+02	6.754116175993352816e-04
1.290000000000000000e+02	6.730871657349476317e-04
1.310000000000000000e+02	6.681914461396733272e-04
1.340000000000000000e+02	6.602449368601119931e-04
1.350000000000000000e+02	6.574532741758535789e-04
1.360000000000000000e+02	6.546035930703053432e-04
1.380000000000000000e+02	6.487751306271465589e-04
1.410000000000000000e+02	6.399013487923883208e-04
1.420000000000000000e+02	6.369579671050904076e-04
1.430000000000000000e+02	6.340379186011419312e-04
1.460000000000000000e+02	6.254496158327957096e-04
1.480000000000000000e+02	6.198228676324889826e-04
1.490000000000000000e+02	6.170019801396274973e-04
1.510000000000000000e+02	6.112450021568374865e-04
1.540000000000000000e+02	6.019622964337991051e-04
1.550000000000000000e+02	5.986005275907329507e-04
1.560000000000000000e+02	5.950704971668109274e-04
1.590000000000000000e+02	5.833270551958614656e-04
