Frequency [Hz]	g1_d	g1_q	g2_d	g2_q	g3_d	g3_q	1DC_dc	MMC1_d	MMC1_q	2DC_dc	MMC2_d	MMC2_q	3DC_dc	MMC3_d	MMC3_q
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (2.529396592469856273e+02+5.037756435824071133e+01j)	 (1.028372919697309040e+00-9.535890714501668697e+01j)	 (4.774478143009190489e+00+7.935191055927887760e+01j)	 (3.211066920474762387e+00+2.398869728384310207e+01j)	 (3.295779145700159507e+00-2.354280356069300950e+01j)	 (3.557710881342985854e+00+2.484586769508135617e+00j)	 (7.863767312205732773e-01+4.018606562195492060e+00j)	 (7.680138527474421606e-01-3.884586078036261103e+00j)	 (1.017333540441224538e-01+1.488663904636242652e+00j)	 (1.023928790738992400e-01+1.486448844314627982e+00j)	 (5.667582737948805294e-01+3.992208209329572433e-01j)	 (1.017100705150257856e-01-1.430351394414661748e+00j)	 (1.023434658043053946e-01-1.428225836294870543e+00j)	 (1.126474920036188432e-01+5.155014317611841257e-01j)	 (1.093703732869111545e-01-4.970104291912251226e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (2.441514305105805818e+02-7.069560053914953812e+01j)	 (-6.288640462368502604e+00-8.968820046522667155e+01j)	 (-2.372630563703018947e+00+7.939492599146674934e+01j)	 (3.014869169865660670e+00+2.426483975146576100e+01j)	 (3.191123619573537074e+00-2.327075996856641638e+01j)	 (4.355744670671115593e+00+4.874141817914204644e+00j)	 (7.884277568264959069e-01+4.095308438558707742e+00j)	 (7.501239428032145939e-01-3.809189058508750669e+00j)	 (1.017416654645063173e-01+1.517821344763281788e+00j)	 (1.024148597590280318e-01+1.515561789223721645e+00j)	 (6.848565708324031442e-01+7.760139139871756742e-01j)	 (1.016956501833946869e-01-1.401194503471250963e+00j)	 (1.023176264426996357e-01-1.399112629972613320e+00j)	 (1.140525963844562368e-01+5.251782593014965306e-01j)	 (1.073687479009107909e-01-4.873937941417644804e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (1.899569643178493834e+02-1.201783845215609432e+02j)	 (-8.087594626331378933e+00-8.317566516509896246e+01j)	 (-7.566196136424812480e+00+8.217351144936847618e+01j)	 (2.758726995554604322e+00+2.462267727661818739e+01j)	 (3.033588191001711287e+00-2.292805063715414349e+01j)	 (5.592673569416497514e+00+6.927744826113086951e+00j)	 (7.937231430148316003e-01+4.175117030847166788e+00j)	 (7.351018944007365885e-01-3.730785839652465352e+00j)	 (1.017483195292854664e-01+1.546980621708282433e+00j)	 (1.024360016352241359e-01+1.544675826073571123e+00j)	 (8.576487892399268231e-01+1.096797450880457436e+00j)	 (1.016803665522382077e-01-1.372036698994351100e+00j)	 (1.022920083132741464e-01-1.369999960122967320e+00j)	 (1.156590796028543061e-01+5.349427521314624734e-01j)	 (1.055204497932948626e-01-4.776027087866320242e-01j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (1.414367185602128529e+02-1.335120239560774849e+02j)	 (-7.597017555329033556e+00-7.788239982791546367e+01j)	 (-1.146095651941726246e+01+8.577784114851256447e+01j)	 (2.477058927578101422e+00+2.506760118941320314e+01j)	 (2.854397877547577789e+00-2.251335454888752707e+01j)	 (7.111456190395238686e+00+8.615831684354581910e+00j)	 (8.008452486376471668e-01+4.255721311273278573e+00j)	 (7.217684877809016353e-01-3.651696244985587203e+00j)	 (1.017539429483996782e-01+1.576142044319041258e+00j)	 (1.024558073675688880e-01+1.573791159445365073e+00j)	 (1.058400458345453599e+00+1.361572982855829173e+00j)	 (1.016648027317171576e-01-1.342878134561278580e+00j)	 (1.022659554521194308e-01-1.340887585483235389e+00j)	 (1.173985071361145771e-01+5.446823498781114825e-01j)	 (1.037981430315859516e-01-4.677629883796139976e-01j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (1.053337894093761236e+02-1.313476984348028793e+02j)	 (-6.247031177905598476e+00-7.374600372236841395e+01j)	 (-1.451192441418669432e+01+8.971794909127575579e+01j)	 (2.195452871144306872e+00+2.559744995637031195e+01j)	 (2.675953130414491898e+00-2.203142023645770564e+01j)	 (8.806422414221330541e+00+9.935318406008981640e+00j)	 (8.091043151225212338e-01+4.337020136748144239e+00j)	 (7.093620534825352264e-01-3.572252966319448220e+00j)	 (1.017590937123760420e-01+1.605305738363399737e+00j)	 (1.024744098662495606e-01+1.602908713766659998e+00j)	 (1.270996781113404417e+00+1.575038029190473754e+00j)	 (1.016493207142880328e-01-1.313719056700742405e+00j)	 (1.022395996862186934e-01-1.311775034726360367e+00j)	 (1.192222164226220543e-01+5.543666732131666830e-01j)	 (1.021664091372664063e-01-4.579156215515859385e-01j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (7.958968875692266920e+01-1.234554296590809912e+02j)	 (-4.655076588339159827e+00-7.049465937736216858e+01j)	 (-1.696141158128948589e+01+9.373799583276232283e+01j)	 (1.937555640335849594e+00+2.620794224725805677e+01j)	 (2.517672924703473925e+00-2.148938409251127979e+01j)	 (1.058863195567469795e+01+1.090111230547364940e+01j)	 (8.185264344331409925e-01+4.419094780677903955e+00j)	 (6.976640791342216819e-01-3.492417118042722812e+00j)	 (1.017643450545077655e-01+1.634471730596011474e+00j)	 (1.024926041787277281e-01+1.632029197920692010e+00j)	 (1.483834686004182890e+00+1.743316228195148199e+00j)	 (1.016341850585798789e-01-1.284559730609829087e+00j)	 (1.022134594563365445e-01-1.282662151132806239e+00j)	 (1.210944591773043810e-01+5.639866494205096892e-01j)	 (1.005980252194137031e-01-4.480771399610583572e-01j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (6.118289730168902452e+01-1.139831718100907665e+02j)	 (-3.113666969225968639e+00-6.787437629863261179e+01j)	 (-1.903301870097807935e+01+9.765924985679772874e+01j)	 (1.728297394962406974e+00+2.688822861663069119e+01j)	 (2.397473596126896922e+00-2.089983061799181741e+01j)	 (1.238661790627507386e+01+1.154576235526891814e+01j)	 (8.294002666260383849e-01+4.501799016349104399e+00j)	 (6.867285100837874356e-01-3.412185426973956215e+00j)	 (1.017703172080615531e-01+1.663639858856878151e+00j)	 (1.025115459093479675e-01+1.661152806387424796e+00j)	 (1.688642542002985802e+00+1.873703521261206539e+00j)	 (1.016195990963150858e-01-1.255400488425992389e+00j)	 (1.021880913307492561e-01-1.253549201319084094e+00j)	 (1.229862763969462591e-01+5.735468866506456820e-01j)	 (9.907029723629262596e-02-4.382516058688979421e-01j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (4.778283180447246536e+01-1.045557136894498740e+02j)	 (-1.752378299622489477e+00-6.566648755477683608e+01j)	 (-2.097432677337391027e+01+1.014043674408319475e+02j)	 (1.588971151386422420e+00+2.761642465329707363e+01j)	 (2.327605563294963709e+00-2.028232001795510797e+01j)	 (1.414998814251804582e+01+1.191272585591939404e+01j)	 (8.419586319360956583e-01+4.584715589959181159e+00j)	 (6.766784542637228617e-01-3.331695076684684675e+00j)	 (1.017775516248984047e-01+1.692809688023137138e+00j)	 (1.025323796972948814e-01+1.690279058521924060e+00j)	 (1.880251388791979394e+00+1.973944813755286409e+00j)	 (1.016056437460483852e-01-1.226241746897070772e+00j)	 (1.021638039098383965e-01-1.224436785312227327e+00j)	 (1.248782360121251517e-01+5.830627977820177499e-01j)	 (9.756597992874412040e-02-4.284339280099837000e-01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (3.782165034095632450e+01-9.574718114541265379e+01j)	 (-5.979959325542635318e-01-6.369630745749925183e+01j)	 (-2.301193012526439929e+01+1.050190170540563770e+02j)	 (1.529077423089126420e+00+2.836211079985367789e+01j)	 (2.310024381331564403e+00-1.965950848644327564e+01j)	 (1.584929101344995317e+01+1.204787262497836586e+01j)	 (8.561803442696348521e-01+4.667305692624535318e+00j)	 (6.675579981774824034e-01-3.251192567616272733e+00j)	 (1.017863277031790525e-01+1.721980578958134167e+00j)	 (1.025557994158167591e-01+1.719406941271402811e+00j)	 (2.056155693398675766e+00+2.051395035577620707e+00j)	 (1.015922155948314476e-01-1.197083935930540077e+00j)	 (1.021405081728245651e-01-1.195325591245726571e+00j)	 (1.267637627423034430e-01+5.925542876486967758e-01j)	 (9.607548446117160357e-02-4.186137201621552006e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (3.027397689526539537e+01-8.771800961134705688e+01j)	 (3.851205126415670477e-01-6.184628640441486880e+01j)	 (-2.529061983126820223e+01+1.086372834402187948e+02j)	 (1.542676592992080931e+00+2.909518710322007351e+01j)	 (2.336428203107155710e+00-1.905040573058642295e+01j)	 (1.747254292111312424e+01+1.199259642143980109e+01j)	 (8.717811441599455646e-01+4.749123872447224670e+00j)	 (6.592742822332579022e-01-3.170930043159910561e+00j)	 (1.017965885878442667e-01+1.751151888220398689e+00j)	 (1.025818467572087306e-01+1.748535327934035877e+00j)	 (2.215851417877342744e+00+2.112446087675717177e+00j)	 (1.015790460227406211e-01-1.167927389115476000e+00j)	 (1.021177816779458430e-01-1.166216131179000914e+00j)	 (1.286478481345075531e-01+6.020379272485407718e-01j)	 (9.459699986860328758e-02-4.087802269589942972e-01j)
