f	Passivity_index
1.000000000000000000e+00	4.619177620100998398e-07
2.000000000000000000e+00	4.560180458821299480e-07
3.000000000000000000e+00	4.501155149846503795e-07
4.000000000000000000e+00	4.442139849575722603e-07
5.000000000000000000e+00	4.383177460593168699e-07
6.000000000000000000e+00	2.668791772627902221e-07
7.000000000000000000e+00	4.265609654299415718e-07
8.000000000000000000e+00	4.207118119682074341e-07
9.000000000000000000e+00	4.148908317663222233e-07
1.000000000000000000e+01	4.091054375614008973e-07
1.100000000000000000e+01	4.033638315789012867e-07
1.200000000000000000e+01	3.976750654849738921e-07
1.300000000000000000e+01	3.920490983685581474e-07
1.400000000000000000e+01	3.864968540047135759e-07
1.500000000000000000e+01	3.810302731710197660e-07
1.600000000000000000e+01	3.756623586701302163e-07
1.700000000000000000e+01	3.704072092190025720e-07
1.800000000000000000e+01	3.652800367139246552e-07
1.900000000000000000e+01	3.602971589596815307e-07
2.000000000000000000e+01	3.554759603727581434e-07
2.100000000000000000e+01	3.508348076674198681e-07
2.200000000000000000e+01	3.463929047080020903e-07
2.300000000000000000e+01	2.283637011667163797e-07
2.400000000000000000e+01	-1.644729791820692586e-08
2.500000000000000000e+01	-2.630916605582893633e-07
2.600000000000000000e+01	-5.104168085552076527e-07
2.700000000000000000e+01	-7.570096559256002224e-07
2.800000000000000000e+01	-1.001149066023024832e-06
2.900000000000000000e+01	-1.240746455110604816e-06
3.000000000000000000e+01	-1.473269706672332139e-06
3.100000000000000000e+01	-1.695642857511731192e-06
3.200000000000000000e+01	-1.904109291578406021e-06
3.300000000000000000e+01	-2.094037704525293582e-06
3.400000000000000000e+01	-2.259633151212107228e-06
3.500000000000000000e+01	-2.393474277336480670e-06
3.600000000000000000e+01	-2.485647001624417125e-06
3.700000000000000000e+01	-2.521091121299769375e-06
3.800000000000000000e+01	-2.431489008649442049e-06
3.900000000000000000e+01	-2.323040203713659427e-06
4.000000000000000000e+01	-2.094979612644562008e-06
4.100000000000000000e+01	-1.632993271858646319e-06
4.200000000000000000e+01	-8.589898305395021871e-07
4.300000000000000000e+01	2.904981410154607272e-07
4.400000000000000000e+01	2.840719376568733233e-07
4.500000000000000000e+01	2.790337395088941541e-07
4.600000000000000000e+01	2.778671357068249824e-07
4.700000000000000000e+01	2.806011883939804673e-07
4.800000000000000000e+01	2.744986784179883645e-07
4.900000000000000000e+01	2.423367782210532555e-07
5.000000000000000000e+01	2.798059803169001102e-07
5.100000000000000000e+01	2.340669693217934489e-07
5.200000000000000000e+01	2.579619514543649354e-07
5.300000000000000000e+01	2.559313377666648421e-07
5.400000000000000000e+01	2.449915933187033267e-07
5.500000000000000000e+01	2.379158304233108463e-07
5.600000000000000000e+01	2.347133667378655109e-07
5.700000000000000000e+01	2.329119876419973402e-07
5.800000000000000000e+01	2.307944353478870044e-07
5.900000000000000000e+01	2.276138586807430456e-07
6.000000000000000000e+01	2.232244081935602752e-07
6.100000000000000000e+01	2.177681557735928363e-07
6.200000000000000000e+01	2.114921855145042581e-07
6.300000000000000000e+01	2.046570302127210027e-07
6.400000000000000000e+01	1.974965011764045652e-07
6.500000000000000000e+01	1.902037618407241204e-07
6.600000000000000000e+01	1.829298804654486799e-07
6.700000000000000000e+01	1.757877683824473841e-07
6.800000000000000000e+01	1.688580007465031486e-07
6.900000000000000000e+01	1.621948534408610617e-07
7.000000000000000000e+01	1.558318242587365755e-07
7.100000000000000000e+01	1.497863885976135808e-07
7.300000000000000000e+01	1.386609348249693260e-07
7.400000000000000000e+01	1.335674915296122226e-07
7.500000000000000000e+01	1.287692870615493202e-07
7.700000000000000000e+01	1.199880685038612121e-07
7.800000000000000000e+01	1.159663467333178001e-07
7.900000000000000000e+01	1.121639671546422464e-07
8.100000000000000000e+01	1.051389146493400946e-07
8.200000000000000000e+01	1.018787910614166432e-07
8.300000000000000000e+01	9.876348268786675830e-08
8.400000000000000000e+01	9.577669496385619424e-08
8.500000000000000000e+01	9.290322954056982772e-08
8.700000000000000000e+01	8.744097626788912589e-08
8.800000000000000000e+01	8.482723282643702715e-08
9.000000000000000000e+01	7.977977454188618253e-08
9.100000000000000000e+01	7.732701082040481026e-08
9.300000000000000000e+01	7.252222907771249627e-08
9.400000000000000000e+01	7.015606729327119637e-08
9.500000000000000000e+01	6.780579104821305054e-08
9.600000000000000000e+01	6.546598949643560628e-08
9.800000000000000000e+01	6.079896865516831523e-08
1.000000000000000000e+02	5.612227588652580170e-08
1.010000000000000000e+02	-1.710720016283775240e-09
1.030000000000000000e+02	-1.490044723394609410e-07
1.040000000000000000e+02	-2.216490230083091078e-07
1.050000000000000000e+02	-2.934651243244172592e-07
1.070000000000000000e+02	-4.341127934735850488e-07
1.090000000000000000e+02	-5.699332454583693788e-07
1.100000000000000000e+02	-6.357130996123726184e-07
1.120000000000000000e+02	-7.623739665811493088e-07
1.130000000000000000e+02	-8.230023601311219532e-07
1.140000000000000000e+02	-8.816630713774927708e-07
1.160000000000000000e+02	-9.925915532742781539e-07
1.180000000000000000e+02	-1.094196599015380731e-06
1.200000000000000000e+02	-1.185543864147831179e-06
1.210000000000000000e+02	-1.227086827529791834e-06
1.230000000000000000e+02	-1.301359204447337765e-06
1.250000000000000000e+02	-1.363164251753241360e-06
1.270000000000000000e+02	-1.411666043447790883e-06
1.280000000000000000e+02	-1.430673843294377833e-06
1.290000000000000000e+02	-1.446053520280214558e-06
1.310000000000000000e+02	-1.465538552071028657e-06
1.340000000000000000e+02	-1.465151109370498524e-06
1.350000000000000000e+02	-1.456751696840322834e-06
1.360000000000000000e+02	-1.444064912784030484e-06
1.380000000000000000e+02	-1.405470755920653488e-06
1.410000000000000000e+02	-1.313207179680712392e-06
1.420000000000000000e+02	-1.272940221523908112e-06
1.430000000000000000e+02	-1.227774892520576390e-06
1.460000000000000000e+02	-1.062049512559820368e-06
1.480000000000000000e+02	-9.255464876077001232e-07
1.490000000000000000e+02	-8.492436876765437773e-07
1.510000000000000000e+02	-6.801317203750420835e-07
1.540000000000000000e+02	-3.840007956418066805e-07
1.550000000000000000e+02	-2.736508919325362329e-07
1.560000000000000000e+02	-1.573506586623501922e-07
1.590000000000000000e+02	-1.188029985933774974e-07
1.610000000000000000e+02	-1.258168706500098801e-07
1.620000000000000000e+02	-1.293408821779255592e-07
1.650000000000000000e+02	-1.399782523439226127e-07
1.670000000000000000e+02	-1.471219266219671694e-07
1.680000000000000000e+02	-1.507087163686255145e-07
1.710000000000000000e+02	-1.615263429143919021e-07
