f	Passivity_index
1.000000000000000000e+00	-1.534773928362014733e-02
2.000000000000000000e+00	-1.587013051786835896e-02
3.000000000000000000e+00	-1.659032587307826198e-02
4.000000000000000000e+00	-1.715430957548454843e-02
5.000000000000000000e+00	-1.745122224826534812e-02
6.000000000000000000e+00	-1.749225543238523001e-02
7.000000000000000000e+00	-1.732231656389937591e-02
8.000000000000000000e+00	-1.698714315017179829e-02
9.000000000000000000e+00	-1.652508138367120641e-02
1.000000000000000000e+01	-1.596678075970177357e-02
1.100000000000000000e+01	-1.533667863054179702e-02
1.200000000000000000e+01	-1.465448712059186885e-02
1.300000000000000000e+01	-1.393631697093716121e-02
1.400000000000000000e+01	-1.319546234778337310e-02
1.500000000000000000e+01	-1.244294269227015637e-02
1.600000000000000000e+01	-1.168788605101040053e-02
1.700000000000000000e+01	-1.093781321160206335e-02
1.800000000000000000e+01	-1.019886011443594392e-02
1.900000000000000000e+01	-9.475961638162364725e-03
2.000000000000000000e+01	-8.773009674742551778e-03
2.100000000000000000e+01	-8.397352610323137803e-03
2.200000000000000000e+01	-8.294047763806759732e-03
2.300000000000000000e+01	-8.192901320936236617e-03
2.400000000000000000e+01	-8.094402916907860943e-03
2.500000000000000000e+01	-7.999025659432798183e-03
2.600000000000000000e+01	-7.907231732185788370e-03
2.700000000000000000e+01	-7.819477990228066236e-03
2.800000000000000000e+01	-7.736220844188679280e-03
2.900000000000000000e+01	-7.657919122312610571e-03
3.000000000000000000e+01	-7.585032865739892334e-03
3.100000000000000000e+01	-7.518014538710062616e-03
3.200000000000000000e+01	-7.457288599187871479e-03
3.300000000000000000e+01	-7.403217776308838524e-03
3.400000000000000000e+01	-7.356059384552045451e-03
3.500000000000000000e+01	-7.315763468526951044e-03
3.600000000000000000e+01	-7.279744694611742575e-03
3.700000000000000000e+01	-7.239912447882511717e-03
3.800000000000000000e+01	-7.200424356821401826e-03
3.900000000000000000e+01	-7.156871197616737623e-03
4.000000000000000000e+01	-7.093586894477858784e-03
4.100000000000000000e+01	-6.997423654135925125e-03
4.200000000000000000e+01	-6.858302686165823094e-03
4.300000000000000000e+01	-6.672782131964172594e-03
4.400000000000000000e+01	-6.444694894435944524e-03
4.500000000000000000e+01	-6.187822388443555907e-03
4.600000000000000000e+01	-5.923402817643791569e-03
4.700000000000000000e+01	-5.672251044048308086e-03
4.800000000000000000e+01	-5.449652721147461333e-03
4.900000000000000000e+01	-5.262681251594353814e-03
5.000000000000000000e+01	-5.110960552446719776e-03
5.100000000000000000e+01	-4.989659536229940247e-03
5.200000000000000000e+01	-4.892539757780299883e-03
5.300000000000000000e+01	-4.813854807815195168e-03
5.400000000000000000e+01	-4.749087853946102125e-03
5.500000000000000000e+01	-4.694999437078339714e-03
5.600000000000000000e+01	-4.649392053865243450e-03
5.700000000000000000e+01	-4.610815105645532132e-03
5.800000000000000000e+01	-4.578301261444722541e-03
5.900000000000000000e+01	-4.551160571635604578e-03
6.000000000000000000e+01	-4.528830219675483715e-03
6.100000000000000000e+01	-4.510799940048586948e-03
6.200000000000000000e+01	-4.496525831624167448e-03
6.300000000000000000e+01	-4.485453220458338573e-03
6.400000000000000000e+01	-4.477006562279815111e-03
6.500000000000000000e+01	-4.470614141327812659e-03
6.600000000000000000e+01	-4.465732292579215230e-03
6.700000000000000000e+01	-4.461866506114273850e-03
6.800000000000000000e+01	-4.458585963928059052e-03
6.900000000000000000e+01	-4.455530590603573940e-03
7.000000000000000000e+01	-4.452411432976067195e-03
7.100000000000000000e+01	-4.449006351541178253e-03
7.300000000000000000e+01	-4.440728377270288484e-03
7.400000000000000000e+01	-4.435662768466540340e-03
7.500000000000000000e+01	-4.429654948694966218e-03
7.700000000000000000e+01	-4.416211952581646123e-03
7.800000000000000000e+01	-4.408228139903922795e-03
7.900000000000000000e+01	-4.399430895319516623e-03
8.100000000000000000e+01	-4.378885717551982137e-03
8.200000000000000000e+01	-4.366528713269801458e-03
8.300000000000000000e+01	-4.352024544010907846e-03
8.400000000000000000e+01	-4.335074282027451265e-03
8.500000000000000000e+01	-4.322647795832681647e-03
8.700000000000000000e+01	-4.306105110279708284e-03
8.800000000000000000e+01	-4.293700363212182673e-03
9.000000000000000000e+01	-4.271201020026981453e-03
9.100000000000000000e+01	-4.257216294380936593e-03
9.300000000000000000e+01	-4.226933844221795328e-03
9.400000000000000000e+01	-4.210943393107424194e-03
9.500000000000000000e+01	-4.194442388647719525e-03
9.600000000000000000e+01	-4.177437145195241237e-03
9.800000000000000000e+01	-4.141899043778649210e-03
1.000000000000000000e+02	-4.104456275126870321e-03
1.010000000000000000e+02	-4.084651316352650580e-03
1.030000000000000000e+02	-5.676883141203764582e-03
1.040000000000000000e+02	-6.445977308521533278e-03
1.050000000000000000e+02	-6.998645199020367413e-03
1.070000000000000000e+02	-7.640708355820285957e-03
1.090000000000000000e+02	-7.874181091407486677e-03
1.100000000000000000e+02	-7.890916571630351983e-03
1.120000000000000000e+02	-7.793136272500778006e-03
1.130000000000000000e+02	-7.697775373455770231e-03
1.140000000000000000e+02	-7.580986429446379127e-03
1.160000000000000000e+02	-7.303547048567463063e-03
1.180000000000000000e+02	-6.992225322251868769e-03
1.200000000000000000e+02	-6.667238623929219732e-03
1.210000000000000000e+02	-6.503873097562326566e-03
1.230000000000000000e+02	-6.181030830750416927e-03
1.250000000000000000e+02	-5.868133930218712158e-03
1.270000000000000000e+02	-5.568430522868997312e-03
1.280000000000000000e+02	-5.423928408046049809e-03
1.290000000000000000e+02	-5.282978657164517922e-03
1.310000000000000000e+02	-5.011126877574462180e-03
1.340000000000000000e+02	-4.624026461053663828e-03
1.350000000000000000e+02	-4.498945205698379191e-03
1.360000000000000000e+02	-4.375078937847658167e-03
1.380000000000000000e+02	-4.129110698814227043e-03
1.410000000000000000e+02	-3.758641399751204426e-03
1.420000000000000000e+02	-3.633756071952945477e-03
1.430000000000000000e+02	-3.508119073402704569e-03
1.460000000000000000e+02	-3.129404471078726935e-03
1.480000000000000000e+02	-2.880568702822293436e-03
1.490000000000000000e+02	-2.759272028234817375e-03
1.510000000000000000e+02	-2.527115592548388745e-03
1.540000000000000000e+02	-2.365361744705243071e-03
1.550000000000000000e+02	-2.319693010048745098e-03
1.560000000000000000e+02	-2.274036238644507046e-03
1.590000000000000000e+02	-2.138165585341445050e-03
1.610000000000000000e+02	-2.049338107956163481e-03
1.620000000000000000e+02	-2.005633031687885977e-03
1.650000000000000000e+02	-1.877729590908835174e-03
1.670000000000000000e+02	-1.795236131943212616e-03
1.680000000000000000e+02	-1.754811739000491011e-03
1.710000000000000000e+02	-1.636678858949812236e-03
1.730000000000000000e+02	-1.560401059561382841e-03
1.740000000000000000e+02	-1.522968459776701498e-03
1.770000000000000000e+02	-1.413396897367155116e-03
1.790000000000000000e+02	-1.342577850759027209e-03
1.800000000000000000e+02	-1.307832860869440061e-03
1.830000000000000000e+02	-1.206272865341752451e-03
1.850000000000000000e+02	-1.140823320532406400e-03
1.860000000000000000e+02	-1.108785769993555831e-03
1.890000000000000000e+02	-1.015462456485045255e-03
1.910000000000000000e+02	-9.556002368829186883e-04
1.930000000000000000e+02	-8.976405817362793785e-04
1.960000000000000000e+02	-8.142858530038782393e-04
1.970000000000000000e+02	-7.874569985400346923e-04
1.990000000000000000e+02	-7.352278346575500789e-04
2.020000000000000000e+02	-6.604264889669914443e-04
2.030000000000000000e+02	-6.364267437230000093e-04
2.060000000000000000e+02	-5.671807997727660536e-04
2.080000000000000000e+02	-5.232688210575086761e-04
2.100000000000000000e+02	-4.811124803985666952e-04
2.130000000000000000e+02	-4.210648934541329083e-04
2.140000000000000000e+02	-4.018774638967028182e-04
2.170000000000000000e+02	-3.467701085561516864e-04
2.190000000000000000e+02	-3.119911704120662552e-04
2.210000000000000000e+02	-2.787103520077019512e-04
2.240000000000000000e+02	-2.314910821249253328e-04
2.250000000000000000e+02	-2.164470416342543764e-04
2.290000000000000000e+02	-1.595827800603643839e-04
2.300000000000000000e+02	-1.461636366330006738e-04
2.330000000000000000e+02	-1.077210344782608979e-04
2.350000000000000000e+02	-8.590934685293659758e-05
