f	min_s_G1	min_s_G2	min_s_G1G2
1.000000000000000000e+00	5.083559966792035034e-01	1.100286559094875013e-03	7.139552992587597146e+03
2.000000000000000000e+00	4.986081017751127775e-01	1.882891620762961035e-03	7.439030745626580938e+03
3.000000000000000000e+00	4.888016692428324705e-01	1.883653560982033936e-03	7.758083464558325431e+03
4.000000000000000000e+00	4.789700245832986258e-01	1.884219617503976249e-03	8.098197451171275134e+03
5.000000000000000000e+00	4.691200643842298734e-01	1.884839466523171572e-03	8.461211373734553490e+03
6.000000000000000000e+00	4.592542376239586721e-01	1.885566445654664192e-03	8.849204117895442323e+03
7.000000000000000000e+00	4.493737357418970402e-01	1.886429348451616533e-03	9.264506501939211375e+03
8.000000000000000000e+00	4.394792954450116307e-01	1.887460305795356360e-03	9.709733059210801002e+03
9.000000000000000000e+00	4.295714685849725267e-01	1.888696181475519329e-03	1.018782296695594778e+04
1.000000000000000000e+01	4.196507319847638251e-01	1.853311806124170518e-03	1.070208847098588012e+04
1.100000000000000000e+01	4.097175391914774645e-01	1.591186011840834812e-03	1.125627152486945488e+04
1.200000000000000000e+01	3.997723482402187334e-01	1.363529155907140973e-03	1.185461076982960003e+04
1.300000000000000000e+01	3.898156385828401849e-01	1.162796827266403396e-03	1.250192164888172374e+04
1.400000000000000000e+01	3.798479228830825005e-01	9.835877499526659001e-04	1.320369271010610464e+04
1.500000000000000000e+01	3.698697563836584878e-01	8.220044420699548467e-04	1.396620161198712958e+04
1.600000000000000000e+01	3.598817452868585121e-01	6.752866821178931875e-04	1.479665524097534217e+04
1.700000000000000000e+01	3.498845549788296427e-01	5.416669972620064824e-04	1.570335965284572740e+04
1.800000000000000000e+01	3.398789186948759644e-01	4.205161138372400464e-04	3.998501714983116108e+04
1.900000000000000000e+01	3.298656470901530358e-01	3.131262660322326440e-04	1.778553078301342975e+04
2.000000000000000000e+01	3.198456391431638846e-01	2.253136300427769994e-04	1.898521672210475663e+04
2.100000000000000000e+01	3.098198949757448029e-01	1.736138961233754348e-04	2.031029428199280301e+04
2.200000000000000000e+01	2.997895311258353401e-01	1.799560937522521600e-04	2.177882178114838462e+04
2.300000000000000000e+01	2.897557990925588300e-01	2.334361210921666004e-04	2.341221905635924850e+04
2.400000000000000000e+01	2.797201081651548016e-01	3.066976379850253585e-04	2.523604461352209546e+04
2.500000000000000000e+01	2.696840538825667211e-01	3.862028677281355879e-04	2.728099001278209835e+04
2.600000000000000000e+01	2.596494539359356368e-01	4.670875082829949393e-04	2.958416352355717390e+04
