f	1DC-2_dc	2DC-2_dc	3DC-2_dc
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.361865469924640193e-01-9.140444307143072433e-02j)	 (-1.361831153678733641e-01+9.149520761039940664e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.361831153668227601e-01+9.149520761043365702e-02j)	 (6.877757514801865479e-01-4.773283463658439252e-01j)	 (-5.515887541825517104e-01+3.859459892470069042e-01j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.515887541855963860e-01+3.859459892464668918e-01j)	 (5.515892043769845543e-01-3.859239031720886337e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (7.217624861089565191e-02-8.306322888850864450e-02j)	 (-7.217625465073980451e-02+8.324804642376243402e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-7.217625465074845037e-02+8.324804642382233055e-02j)	 (3.646960162301259856e-01-4.204164775752574634e-01j)	 (-2.925197001630566174e-01+3.373988340868057656e-01j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.925197001632246496e-01+3.373988340863570690e-01j)	 (2.925197675641390549e-01-3.373532487004494707e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (4.875424602215788078e-02-6.468761992723627563e-02j)	 (-4.875395879125759419e-02+6.496801770976681767e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-4.875395879130765830e-02+6.496801770985760616e-02j)	 (2.517520255448168487e-01-3.265109466957486495e-01j)	 (-2.029967208175445237e-01+2.618920899414031722e-01j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.029967208172372140e-01+2.618920899410386860e-01j)	 (2.029977795290308085e-01-2.618233268032706951e-01j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (3.859432900087537976e-02-5.175481305331253168e-02j)	 (-3.859195812337752607e-02+5.212994433038649345e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-3.859195812341575244e-02+5.212994433032496627e-02j)	 (2.015660595213367712e-01-2.618982795268673391e-01j)	 (-1.629693780102893230e-01+2.102345856511540212e-01j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.629693780103522449e-01+2.102345856514472588e-01j)	 (1.629717305275000527e-01-2.101434664573225419e-01j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (3.359243181115036114e-02-4.335672750758069738e-02j)	 (-3.358751064302854111e-02+4.382525876039267826e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-3.358751064300637829e-02+4.382525876049359059e-02j)	 (1.765659273723721168e-01-2.219216440558603454e-01j)	 (-1.429701178525414063e-01+1.786777046591024598e-01j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.429701178525735750e-01+1.786777046588588491e-01j)	 (1.429734955544045005e-01-1.785649165660464222e-01j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (3.066075676615915430e-02-3.724543194747535757e-02j)	 (-3.065302721101309871e-02+3.780647727206280090e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-3.065302721096287500e-02+3.780647727198200442e-02j)	 (1.611559868962758324e-01-1.917618218168967992e-01j)	 (-1.304912043800339205e-01+1.546505348350214470e-01j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.304912043801896293e-01+1.546505348351727427e-01j)	 (1.304952301228995137e-01-1.545163898588191587e-01j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (2.895180280112111260e-02-3.293088418951528595e-02j)	 (-2.894161164493462210e-02+3.358352451559108720e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-2.894161164497524238e-02+3.358352451559133700e-02j)	 (1.522953547881201186e-01-1.709278169052154683e-01j)	 (-1.233393335377096917e-01+1.381523029247639645e-01j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.233393335375648908e-01+1.381523029248305501e-01j)	 (1.233435519963346355e-01-1.379969327110113497e-01j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (2.773034833472739352e-02-2.977236619541244814e-02j)	 (-2.771821877130076911e-02+3.051618028081483705e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.771821877135705395e-02+3.051618028079087358e-02j)	 (1.454632694869426590e-01-1.558025534551663038e-01j)	 (-1.177288954830086054e-01+1.262068830037454958e-01j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.177288954828367706e-01+1.262068830037657574e-01j)	 (1.177329211610716325e-01-1.260301872626870268e-01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (2.676027922910883400e-02-2.734441558181897880e-02j)	 (-2.674670365795100632e-02+2.817933160781720819e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.674670365783039100e-02+2.817933160782774143e-02j)	 (1.396282231151285691e-01-1.439591728627077627e-01j)	 (-1.128643670621653633e-01+1.168130057445643244e-01j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.128643670621984757e-01+1.168130057445410791e-01j)	 (1.128679438770457122e-01-1.166147572799281773e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (2.603744146140069340e-02-2.546189338670214533e-02j)	 (-2.602294199146445650e-02+2.638776035524798003e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.602294199140314790e-02+2.638776035534546455e-02j)	 (1.353482687311285404e-01-1.347022824689019238e-01j)	 (-1.093078568394376809e-01+1.094603891097326864e-01j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.093078568394492411e-01+1.094603891096896237e-01j)	 (1.093108272622437538e-01-1.092403890868311606e-01j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (2.543031832696712041e-02-2.397773555720577113e-02j)	 (-2.541527643363355668e-02+2.499463997220964170e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.541527643370428136e-02+2.499463997227956841e-02j)	 (1.317485711113571822e-01-1.273299811710255081e-01j)	 (-1.063159346169395697e-01+1.035942155681625065e-01j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.063159346169219172e-01+1.035942155681358473e-01j)	 (1.063182527868403171e-01-1.033522456201842882e-01j)
