Frequency [Hz]	g1_d	g1_q	g2_d	g2_q	g3_d	g3_q	1DC_dc	MMC1_d	MMC1_q	2DC_dc	MMC2_d	MMC2_q	3DC_dc	MMC3_d	MMC3_q
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.096051376878857814e-01-4.965009631761682085e-01j)	 (5.659306212484832566e-01+3.935676628217522621e-01j)	 (1.129863715753876563e-01+5.152894827892440244e-01j)	 (1.020492885058913446e-01-1.430357796337850651e+00j)	 (1.020864225951984977e-01+1.488670555292494591e+00j)	 (1.027029696365056033e-01-1.428239066719131589e+00j)	 (1.027669136005452399e-01+1.486462923314216589e+00j)	 (7.781279565743968174e-01-3.881293995236563710e+00j)	 (3.592728595034031081e+00+2.396503095583948806e+00j)	 (7.980187077513610783e-01+4.017968765552310195e+00j)	 (3.354353336706265232e+00-2.352056742765665831e+01j)	 (3.277831746659702006e+00+2.397178088541291885e+01j)	 (4.940225877075306471e+00+8.189225373043137779e+01j)	 (2.614431507274866284e+00-9.348469076648353848e+01j)	 (2.493638565851794908e+02+4.572328569338863247e+01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (1.076388010154422925e-01-4.867488314095189117e-01j)	 (6.842358925714233653e-01+7.814716074875862617e-01j)	 (1.145095290558307416e-01+5.250623587122857927e-01j)	 (1.020277953278283106e-01-1.401200852930958529e+00j)	 (1.021018821474855426e-01+1.517828155023825953e+00j)	 (1.026696868887140429e-01-1.399125580208434805e+00j)	 (1.027963951317578811e-01+1.515576426854103431e+00j)	 (7.603897922549572863e-01-3.804953716861851909e+00j)	 (4.330817474012205182e+00+4.813649061415642194e+00j)	 (8.017534181549956784e-01+4.095554160068852312e+00j)	 (3.250793676657241171e+00-2.325618619704937728e+01j)	 (3.089742716816035628e+00+2.425889606451936942e+01j)	 (-1.587925717725145569e+00+8.392379573829440176e+01j)	 (-2.946008485202196603e+00-8.744061451959568387e+01j)	 (2.368074022933622871e+02-7.332844837481967204e+01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (1.058528502421490353e-01-4.768634909188897986e-01j)	 (8.662997684687046007e-01+1.101961933254212100e+00j)	 (1.162391151660499694e-01+5.348746821048473432e-01j)	 (1.020054287228407963e-01-1.372042962138466882e+00j)	 (1.021156280939377464e-01+1.546987380972706383e+00j)	 (1.026367161438937747e-01-1.370012492980994256e+00j)	 (1.028249879880831913e-01+1.544690738892616766e+00j)	 (7.458371890182861064e-01-3.725691889493218500e+00j)	 (5.551473116208618386e+00+6.901325011348592220e+00j)	 (8.083619110978199629e-01+4.175516971151211010e+00j)	 (3.099412921048517955e+00-2.291196221200360128e+01j)	 (2.826519655882369531e+00+2.461515055356285231e+01j)	 (-5.805472180836092733e+00+8.853699325986016788e+01j)	 (-3.590677559273505182e+00-8.130857027502230494e+01j)	 (1.818789088394789815e+02-1.185285020278526531e+02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (1.041952206836747191e-01-4.669652653863093361e-01j)	 (1.084790641872122707e+00+1.371822835797605888e+00j)	 (1.180865326026217244e-01+5.446280713029114651e-01j)	 (1.019830108258011903e-01-1.342884658883905402e+00j)	 (1.021279443060130881e-01+1.576149080367536870e+00j)	 (1.026035644643098071e-01-1.340900062617030208e+00j)	 (1.028518809713020038e-01+1.573806761848263847e+00j)	 (7.330080180833012937e-01-3.646172443323464574e+00j)	 (7.120266752223852968e+00+8.663386566516100729e+00j)	 (8.166306271446139853e-01+4.256039225026055917e+00j)	 (2.923501851406886676e+00-2.250314900802078455e+01j)	 (2.537202782036319437e+00+2.506169080723341125e+01j)	 (-8.329070706058679718e+00+9.381580523058899246e+01j)	 (-2.577631599953859265e+00-7.658860564803873672e+01j)	 (1.354830411617851098e+02-1.292236569056745168e+02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (1.026196787551051787e-01-4.570868205473460066e-01j)	 (1.293610345753546387e+00+1.573909926318041386e+00j)	 (1.199966661785722005e-01+5.543110382631869504e-01j)	 (1.019605997898472699e-01-1.313725158788951575e+00j)	 (1.021401301987290289e-01+1.605312184896717342e+00j)	 (1.025699316017765761e-01-1.311786713175868702e+00j)	 (1.028779477377911866e-01+1.602924098430576150e+00j)	 (7.208828810696993328e-01-3.566422135207230060e+00j)	 (8.824496389538559526e+00+9.991003379645752247e+00j)	 (8.258244959801063212e-01+4.336802781802609807e+00j)	 (2.746424391142093135e+00-2.201820331360609728e+01j)	 (2.257173949455375972e+00+2.557816690809065463e+01j)	 (-9.676648087093786543e+00+9.909602744364090654e+01j)	 (-1.107003602237072171e+00-7.292972644670800264e+01j)	 (1.016302467593863099e+02-1.259594283197793345e+02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (1.010968159585313580e-01-4.472333727377386658e-01j)	 (1.518244827890654403e+00+1.738684352730093918e+00j)	 (1.219352457169561449e-01+5.639204977424494558e-01j)	 (1.019384810778250633e-01-1.284565877552397373e+00j)	 (1.021525543296707556e-01+1.634478470313681875e+00j)	 (1.025364131444151949e-01-1.282673686480927167e+00j)	 (1.029037370362112930e-01+1.632045203238365660e+00j)	 (7.092658872799080250e-01-3.486601588684423270e+00j)	 (1.070363877765725036e+01+1.096871952618552015e+01j)	 (8.363052537743206338e-01+4.418341269982193786e+00j)	 (2.580804749373507789e+00-2.147329117759235118e+01j)	 (2.018403342046877214e+00+2.618659857520736978e+01j)	 (-1.015900097965632298e+01+1.040723457797388249e+02j)	 (4.124430618252096226e-01-7.008015269912627332e+01j)	 (7.723998043676037639e+01-1.181941233527420820e+02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (9.960642969763362775e-02-4.373999095148080052e-01j)	 (1.721663582496325340e+00+1.849530563743586153e+00j)	 (1.238826779156574909e-01+5.734681714540916797e-01j)	 (1.019167909634090263e-01-1.255406666766140988e+00j)	 (1.021652528444472463e-01+1.663646765642020631e+00j)	 (1.025038400578561493e-01-1.253560549260847923e+00j)	 (1.029298134561712902e-01+1.661169253115612587e+00j)	 (6.987078713447310019e-01-3.406412702236463197e+00j)	 (1.254476921221140806e+01+1.153270636448515063e+01j)	 (8.475717321865599008e-01+4.500921827519561269e+00j)	 (2.464423909142334779e+00-2.088929569673802078e+01j)	 (1.789245809848371449e+00+2.687736543816374279e+01j)	 (-1.027200270230969359e+01+1.085960695894567181e+02j)	 (1.892923658686184396e+00-6.780437795062367456e+01j)	 (5.998421842190649755e+01-1.094100362461684881e+02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (9.812788553971339700e-02-4.275787666300923107e-01j)	 (1.902233538797268420e+00+1.939725858443207773e+00j)	 (1.258167465594264567e-01+5.829772195952541702e-01j)	 (1.018957352944338951e-01-1.226247696067127135e+00j)	 (1.021798108848086806e-01+1.692816370092092182e+00j)	 (1.024720539492129379e-01-1.224447671371890589e+00j)	 (1.029584653538085232e-01+1.690295659557720764e+00j)	 (6.885163686577396858e-01-3.326000867378242631e+00j)	 (1.430971327395287140e+01+1.183199656230078745e+01j)	 (8.609817527120718905e-01+4.583271500022955358e+00j)	 (2.387726692014083607e+00-2.027026819696535398e+01j)	 (1.669089166394526424e+00+2.759649805699968894e+01j)	 (-1.034241768878643875e+01+1.126599651910236872e+02j)	 (3.070811849234909019e+00-6.586049090250345728e+01j)	 (4.708324843409461380e+01-1.002648064396749419e+02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (9.665826424392064131e-02-4.177586773788963259e-01j)	 (2.069955831461642859e+00+2.020334311522414605e+00j)	 (1.277388404622387397e-01+5.924624179588996453e-01j)	 (1.018755841914086441e-01-1.197089885733316539e+00j)	 (1.021950125982819674e-01+1.721987472017871168e+00j)	 (1.024418305757064385e-01-1.195336370299655782e+00j)	 (1.029886516665575735e-01+1.719424060460996051e+00j)	 (6.794723214890174834e-01-3.245666155789451945e+00j)	 (1.600992161967158012e+01+1.193495218530193824e+01j)	 (8.757192689473831670e-01+4.665739825031652188e+00j)	 (2.368810423350260930e+00-1.965050739016714587e+01j)	 (1.607382112138352026e+00+2.835421411994069985e+01j)	 (-1.073000628714217264e+01+1.164910082668512814e+02j)	 (4.058621628118064706e+00-6.421319127938991755e+01j)	 (3.747826639290094164e+01-9.184302665306753966e+01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (9.519601281053899355e-02-4.079258861590128737e-01j)	 (2.221737370096230624e+00+2.079843412195795604e+00j)	 (1.296537816932721299e-01+6.019453639822648361e-01j)	 (1.018553784393707445e-01-1.167933164293939896e+00j)	 (1.022122750023371079e-01+1.751158703543379769e+00j)	 (1.024117997169904232e-01-1.166226568728949031e+00j)	 (1.030221129329158686e-01+1.748552703459417046e+00j)	 (6.711320757459778852e-01-3.165495161620054176e+00j)	 (1.760724794069295740e+01+1.181971553790659257e+01j)	 (8.918182154459655120e-01+4.747251312876950458e+00j)	 (2.393210126122266690e+00-1.904161704593716919e+01j)	 (1.623146297937527072e+00+2.908727315188057361e+01j)	 (-1.147903550715239973e+01+1.203553170474171594e+02j)	 (4.818903239925632853e+00-6.268278690626103611e+01j)	 (3.021798091878652670e+01-8.401714700434236249e+01j)
