Frequency [Hz]	g1_d	g1_q	g2_d	g2_q	g3_d	g3_q	1DC_dc	MMC1_d	MMC1_q	2DC_dc	MMC2_d	MMC2_q	3DC_dc	MMC3_d	MMC3_q
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (7.750549874990316834e-12-2.453954230662571588e-12j)	 (3.496690112927678006e-12-4.478836043745642626e-12j)	 (-6.966842423154586458e-04+2.932294694876410972e-03j)	 (5.970706138723375772e-03-1.050501589806969623e-02j)	 (-2.810936350557140147e-06+1.172370192232510148e-05j)	 (2.905969202626014952e-05-3.688224987946068687e-05j)	 (3.427959368934882511e-01+1.114091248596788507e-02j)	 (-5.484212048097905894e-10-1.368411927016018058e-09j)	 (-1.509990649581481429e-09-1.829297302931915261e-09j)	 (3.237520970371999818e-01+6.267304424492045264e-03j)	 (-6.159138990231340918e-04+2.720384685177908504e-03j)	 (5.972009575528718778e-03-1.030134720440122748e-02j)	 (3.161611280466160578e-01+4.982687108662063255e-03j)	 (-3.040408410544486839e-04+1.884315360238148461e-03j)	 (6.938514582325647564e-03-9.096373904344373304e-03j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (6.647859862369036054e-11-3.862346930679727349e-11j)	 (6.301748239000876968e-11+2.516368711287033512e-12j)	 (-1.220375809043873667e-03+2.301371945398315595e-03j)	 (1.229080626943009243e-03-1.072564352719533945e-02j)	 (-4.058399862503220262e-06+9.603383243862359712e-06j)	 (1.263194782645876467e-05-3.729294646875624161e-05j)	 (3.495166406859133712e-01+2.255472113696598349e-02j)	 (-1.174058471578200292e-08+9.369824701924505449e-11j)	 (-1.257141323975973141e-08+9.402481273565870210e-09j)	 (3.283204166155963000e-01+4.077067640764433024e-03j)	 (-1.140862367197733891e-03+2.109237913430403281e-03j)	 (1.298094754800381773e-03-1.059705558438588796e-02j)	 (3.194824259735306038e-01-2.101266707514381788e-03j)	 (-6.622297763035487521e-04+1.503291135327596700e-03j)	 (3.168259930299695444e-03-9.094043849638657612e-03j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (2.315783391723861659e-10-1.982834324631926600e-10j)	 (4.557848227269434929e-10-3.742005526126880717e-11j)	 (-1.234140698996828408e-03+2.534630504915588462e-03j)	 (-2.547729536162894343e-03-1.083448786980868717e-02j)	 (-3.646017341092543455e-06+1.058861898676764032e-05j)	 (-3.210478464982133987e-07-3.748793361172837453e-05j)	 (3.563345462239860817e-01+3.078969778357158044e-02j)	 (-3.187039074271005212e-08+3.528859081229112417e-08j)	 (1.863039599403257603e-08+7.208731346561434140e-08j)	 (3.312202354959711825e-01+1.524289002626114456e-03j)	 (-1.180029504185774484e-03+2.311506466220101651e-03j)	 (-2.451746701003489938e-03-1.074870591601092933e-02j)	 (3.204100391472992082e-01-8.016657137716582879e-03j)	 (-6.895799451448780034e-04+1.674114503620821245e-03j)	 (1.423851360565885212e-04-9.207595162993837887e-03j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (4.885223004582399581e-10-6.247137974189759192e-10j)	 (1.489999157295523686e-09-5.431366975107160937e-10j)	 (-1.084777418631212255e-03+2.845749192002419020e-03j)	 (-5.827415898706744292e-03-1.037208480483905321e-02j)	 (-2.731215574286171517e-06+1.186862514535125547e-05j)	 (-1.141937047786552181e-05-3.570312934149423443e-05j)	 (3.636481462812050092e-01+3.706587503044502657e-02j)	 (-2.783234210954879320e-08+1.262381474976550696e-07j)	 (1.988761367985919574e-07+1.469293433991098067e-07j)	 (3.332059280712794669e-01-1.375990993874085791e-03j)	 (-1.069990741164405070e-03+2.592155004366833351e-03j)	 (-5.718284798295412974e-03-1.031173416841879228e-02j)	 (3.199623902070185544e-01-1.344470805496613720e-02j)	 (-6.187028665540719339e-04+1.911003859801487480e-03j)	 (-2.483315272415434222e-03-8.886702559961934256e-03j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (5.464783216072891898e-10-1.265512696856355854e-09j)	 (3.205134554986074620e-09-2.104957888421647623e-09j)	 (-9.673847122474370881e-04+3.086949337585790775e-03j)	 (-8.795132478919859276e-03-9.560145034903049996e-03j)	 (-1.891675110132295699e-06+1.304218151362527506e-05j)	 (-2.130827843319968356e-05-3.275158065550830001e-05j)	 (3.711039078841123495e-01+4.204362752240491108e-02j)	 (-1.547099117250954954e-08+3.078676004409808563e-07j)	 (5.895524845643863571e-07+1.248760421002745192e-07j)	 (3.346962885853124181e-01-4.339008852788620203e-03j)	 (-9.933265589640485459e-04+2.810920507334570360e-03j)	 (-8.674140042242315871e-03-9.513751368621654880e-03j)	 (3.190476215269476001e-01-1.833539984243290344e-02j)	 (-5.591937240462227553e-04+2.130947883678664320e-03j)	 (-4.836018359515516403e-03-8.304860126287753538e-03j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.284832952324253036e-11-1.725151836938452673e-09j)	 (5.434770056055215052e-09-5.062468737400241609e-09j)	 (-1.128818930266168967e-03+3.314411503846510700e-03j)	 (-1.156656159481049204e-02-8.684719930431938559e-03j)	 (-1.956161278208305246e-06+1.437248411347698321e-05j)	 (-3.036065634258207759e-05-2.953355046303863233e-05j)	 (3.784380219475332319e-01+4.603161714146680045e-02j)	 (-4.701867099479118086e-08+6.539464857508493490e-07j)	 (1.191935700319132035e-06-8.535630213381579740e-08j)	 (3.362737643739796556e-01-7.087491594034889437e-03j)	 (-1.183994154306445504e-03+3.015715565916194957e-03j)	 (-1.142373089496774748e-02-8.641174382841640064e-03j)	 (3.182701624928097051e-01-2.260772743993436085e-02j)	 (-6.734890424678905210e-04+2.365384767410657046e-03j)	 (-6.974187754530786557e-03-7.691416367610838002e-03j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (-3.092652508329887581e-10-1.058275205835937799e-09j)	 (7.647739352326120081e-09-9.792281454097980623e-09j)	 (-1.616067822752610293e-03+3.540026163489535214e-03j)	 (-1.420837402616807223e-02-7.562284079188638132e-03j)	 (-2.960379213445929753e-06+1.580110622347227891e-05j)	 (-3.885367258218249602e-05-2.525830115686301860e-05j)	 (3.864836599008192874e-01+4.766010971653841799e-02j)	 (1.162307281001175702e-07+1.369054897082659745e-06j)	 (1.957241104968180367e-06-5.836797194934793131e-07j)	 (3.377423205410824969e-01-9.519032873506590164e-03j)	 (-1.689677859478284873e-03+3.216550109007425360e-03j)	 (-1.403354297715390595e-02-7.513063537429378290e-03j)	 (3.173118532972803441e-01-2.555006018964274192e-02j)	 (-9.784413868022330714e-04+2.600794116321540096e-03j)	 (-8.971996425338810491e-03-6.864356755277154463e-03j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (9.186375178206740372e-10+2.062458038811731461e-11j)	 (5.851483634704546907e-10+1.075783398674411304e-10j)	 (1.941315320532958077e-01+1.797652152282078544e-02j)	 (1.819501159711880978e-01-1.536208062223486798e-02j)	 (6.041590367368498363e-04+1.500035741533147155e-04j)	 (5.710518269310452776e-04+4.551930167054631343e-05j)	 (-3.332271499326374450e-03-3.875995413355041736e-03j)	 (2.065884393926142510e-07-3.055573146287392840e-08j)	 (1.308081780031430477e-07-1.281934578740844320e-08j)	 (2.067421684714064966e-04-2.887410755459917690e-03j)	 (1.882158346485387490e-01+1.211553184434837477e-02j)	 (1.776800190006027624e-01-1.459861574714047504e-02j)	 (-2.659116974484186484e-04-2.367043171742058607e-03j)	 (1.335572175417989449e-01+1.628416729470153271e-02j)	 (1.266811720488077442e-01-7.480554580887867691e-03j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (1.168085269085915035e-09-4.326107761206784150e-10j)	 (7.749049027314674211e-10-1.068180904297681061e-10j)	 (1.941417819961610558e-01+1.768041043484949726e-02j)	 (1.822624932397217679e-01-1.558224445364314592e-02j)	 (6.070828922865711269e-04+1.485151115101310140e-04j)	 (5.725275929127283297e-04+4.336597052609852216e-05j)	 (-3.770437144477702118e-03-2.925011354875562460e-03j)	 (2.481020690671252361e-07-1.394079387498890547e-07j)	 (1.572769121827025826e-07-6.836577868165555481e-08j)	 (-1.164443341062878106e-05-2.638271316368351414e-03j)	 (1.878013734966434423e-01+1.195510432580681667e-02j)	 (1.777860461946618176e-01-1.493708991247402751e-02j)	 (-4.604278791907992258e-04-2.156371987732962504e-03j)	 (1.340987797673538207e-01+1.617916581494574513e-02j)	 (1.269720169553663902e-01-7.767364319397947019e-03j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (1.227934558144854706e-09-1.059091755064583337e-09j)	 (9.012104967269200255e-10-4.132951137130444998e-10j)	 (1.942014927584602424e-01+1.760266095551666840e-02j)	 (1.823920869449080495e-01-1.590464719166576057e-02j)	 (6.099024497039526272e-04+1.464497302458289956e-04j)	 (5.732454883221512745e-04+4.067788417639694418e-05j)	 (-3.953078056355640267e-03-2.030478489045668168e-03j)	 (2.439774255220779368e-07-2.819935306184336766e-07j)	 (1.656727190296521522e-07-1.385250271464248353e-07j)	 (-1.575015659654230955e-04-2.421706187273577754e-03j)	 (1.874909720148315861e-01+1.207399046595235975e-02j)	 (1.777436670009137354e-01-1.533547261040044303e-02j)	 (-5.921000995135108479e-04-1.978931743595744620e-03j)	 (1.346079354267294970e-01+1.596668608586227639e-02j)	 (1.270829658586755673e-01-8.158806908827705151e-03j)
