f	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.029921418982246905e+03+3.457763127953448929e+02j)	 (-4.648869246955452581e+03-3.069700501155978714e+02j)	 (-2.187080380878245478e+02+1.496079436201182489e+01j)	 (-1.906399057759475966e+02-1.294424461083734812e+01j)	 (-1.122068142503396437e+01-5.409114007814586245e+01j)	 (2.552009384999199271e-01-1.224024070753338411e-01j)	 (-2.524015859589101574e-01+1.315786220054492861e-01j)	 (1.018832228564594822e-01-1.067857966175636032e-02j)	 (-1.033735503136765099e-01+8.334240349839972667e-03j)	 (2.511715604816587219e-02-3.623964820099844723e-03j)	 (-2.327886794934196438e-02-1.210201534556021351e-03j)	 (1.618446295472490692e-02+1.845488060170506978e-03j)	 (-1.732315607526582410e-02+9.200792476818735709e-04j)	 (-7.398144724237095370e-03+3.874617096881292824e-03j)	 (3.740384656165152730e-04+1.716229838454098357e-03j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.237951386353262933e+03+3.664400769649491849e+02j)	 (-4.474915607889427520e+03-2.886236125148624865e+02j)	 (-2.371363629689816150e+02+1.559281277689122192e+01j)	 (-1.778808132628410874e+02-1.122590276211020743e+01j)	 (6.059150924241580860e+00-2.623145422878818778e+01j)	 (1.861567214319816976e-01-1.933079844089104493e-01j)	 (-1.749291754555298561e-01+1.964646796333785750e-01j)	 (9.746232672169181932e-02-1.957157064234394533e-02j)	 (-1.000415301365203957e-01+1.476450367335942551e-02j)	 (2.328447358707597808e-02-6.274320049391535030e-03j)	 (-2.109405004777583845e-02-6.025316884548688814e-03j)	 (1.538635666567968359e-02+3.168451980125613562e-03j)	 (-1.576205725057554588e-02+2.026800106771828834e-03j)	 (-1.846804458047073341e-02+1.273642882406369678e-02j)	 (-1.324729830268432315e-03+3.558359924769298986e-03j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.460321930405157218e+03+3.877543271011156776e+02j)	 (-4.310205647156034502e+03-2.702464030737791063e+02j)	 (-2.583452488351233569e+02+1.698440295451122495e+01j)	 (-1.661078071740683413e+02-9.992234694708763243e+00j)	 (9.508280204796593083e+00-1.726794854345819274e+01j)	 (1.182507009133732523e-01-2.273934127044510145e-01j)	 (-1.043960496596955945e-01+2.241680687951103923e-01j)	 (9.271842900960754197e-02-2.693323202811663541e-02j)	 (-9.587748340899879262e-02+1.880163102355029980e-02j)	 (2.184042584289249203e-02-7.826875987563618187e-03j)	 (-1.965425325139923476e-02-8.600350527024874792e-03j)	 (1.482434411380079142e-02+4.410519303300609352e-03j)	 (-1.554825707839731751e-02+3.727145165500848553e-03j)	 (-3.043026133968804517e-02+2.049488724552710542e-02j)	 (-3.598428427296637613e-03+5.875189061007345288e-03j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.698456745642572969e+03+4.104163107516153559e+02j)	 (-4.153436465612753636e+03-2.525649518322440485e+02j)	 (-2.825922035134761927e+02+1.899711700722665597e+01j)	 (-1.554558027572504955e+02-9.110051812471287036e+00j)	 (1.077548173833236866e+01-1.284914347114686528e+01j)	 (5.860798548001111552e-02-2.361517296198776261e-01j)	 (-4.600881983824086502e-02+2.295913179517718450e-01j)	 (8.784237385855640790e-02-3.315201560153024918e-02j)	 (-9.244949181706944852e-02+2.178302784563646011e-02j)	 (2.084806959932501702e-02-9.159987465129767678e-03j)	 (-1.818863522714007919e-02-1.133608402648857497e-02j)	 (1.489769671191937782e-02+5.631051101883276754e-03j)	 (-1.332919045605552612e-02+4.144026961651762000e-03j)	 (-4.642692374594142857e-02+3.162279098453214810e-02j)	 (-5.703976454194764623e-03+9.049920850651146237e-03j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.953960979761579438e+03+4.352383049042052789e+02j)	 (-4.004215389889845028e+03-2.361050490895144662e+02j)	 (-3.105582740929313559e+02+2.154695241534503225e+01j)	 (-1.458382286213590078e+02-8.433021084050992044e+00j)	 (1.142962018723799567e+01-1.025773638600263915e+01j)	 (1.224830160166331949e-02-2.305945339436830388e-01j)	 (-2.876927002488659929e-03+2.214490473806828563e-01j)	 (8.376005609232020643e-02-3.871177103077379916e-02j)	 (-8.948560753537744550e-02+2.457157633038893965e-02j)	 (2.008598618041741377e-02-1.054018633673144828e-02j)	 (-1.719394782127413313e-02-1.370607028122498849e-02j)	 (1.559564099909441920e-02+6.847009671824914531e-03j)	 (-1.239446977351899362e-02+3.434967987889038076e-03j)	 (-6.199002768681621117e-02+4.660469025254394132e-02j)	 (-5.965141757319488564e-03+1.198269913853081473e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.228139393054411812e+03+4.627002472412597172e+02j)	 (-3.861824537586359384e+03-2.211228218329983122e+02j)	 (-3.432000856249276808e+02+2.465644930119246681e+01j)	 (-1.371271006282421183e+02-7.883355138646649607e+00j)	 (1.185412978157650876e+01-8.524496907499434784e+00j)	 (-1.993326583787072281e-02-2.180795973491219397e-01j)	 (2.366550636598121343e-02+2.070417547046577156e-01j)	 (7.903582591805104196e-02-4.310238942393904149e-02j)	 (-8.695035062063928566e-02+2.762742394760323364e-02j)	 (1.920174691750205220e-02-1.195526928416512993e-02j)	 (-1.678299320262404554e-02-1.536950039567888150e-02j)	 (1.709214243532121771e-02+7.729493077489353083e-03j)	 (-1.206251517143376063e-02+3.191982952822404636e-03j)	 (-7.648558464337627816e-02+6.536785389905788723e-02j)	 (-5.393741634104665117e-03+1.348365986345588172e-02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.522195501601213437e+03+4.938095179734031035e+02j)	 (-3.726027032998798859e+03-2.072436302343618024e+02j)	 (-3.818940464945982853e+02+2.846609689683672428e+01j)	 (-1.292065633676020298e+02-7.399948799392509713e+00j)	 (1.209630217582368417e+01-7.290745933385776034e+00j)	 (-4.249923724761869859e-02-2.043354444009661819e-01j)	 (3.739454009170033871e-02+1.896270865183664889e-01j)	 (7.255721629005124074e-02-4.829993992873927999e-02j)	 (-8.386852388136009639e-02+3.029441122361236152e-02j)	 (1.807406895257663779e-02-1.359253150429771441e-02j)	 (-1.701339709870879416e-02-1.649907235115504259e-02j)	 (1.947729696594647716e-02+8.033735879448878486e-03j)	 (-1.139116140777758981e-02+3.215486010809278424e-03j)	 (-8.852488676487367536e-02+8.686546810969845989e-02j)	 (-4.800933953778160901e-03+1.385038095039618430e-02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.838089410538846096e+03+5.288808197124449180e+02j)	 (-3.596835243476453797e+03-1.953351967668223210e+02j)	 (-4.285615101739217607e+02+3.307816520651004311e+01j)	 (-1.219710509517285715e+02-6.963074306394396729e+00j)	 (1.232755713489143012e+01-6.384068887129566328e+00j)	 (-5.785369591914049647e-02-1.938665019952042490e-01j)	 (4.276424978978988350e-02+1.753856730689931087e-01j)	 (6.656728952972988667e-02-5.147009877238102604e-02j)	 (-8.039329092054024739e-02+3.338253356030220637e-02j)	 (1.685553688244306736e-02-1.484071608409875086e-02j)	 (-1.748629574057842390e-02-1.687551790194608339e-02j)	 (2.190941447661410094e-02+7.072551126876992257e-03j)	 (-1.054865561339198357e-02+3.197186627061461648e-03j)	 (-9.988431721226734283e-02+1.111475850841864565e-01j)	 (-4.443019079036230994e-03+1.384567646700527593e-02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (-7.177135397757757346e+03+5.687007422894737374e+02j)	 (-3.473833871925866788e+03-1.847469425578410949e+02j)	 (-4.859641833307831007e+02+3.882282893173884020e+01j)	 (-1.153232191970333389e+02-6.548676622123713820e+00j)	 (1.249914028904150243e+01-5.671139858279060419e+00j)	 (-6.950112612546224811e-02-1.868341604207537920e-01j)	 (4.248972526313974513e-02+1.632076890923037649e-01j)	 (5.926011911115607739e-02-5.376653307823424377e-02j)	 (-7.650428982717158433e-02+3.537329016380696967e-02j)	 (1.551884747772253048e-02-1.605529314514634459e-02j)	 (-1.851219746829713478e-02-1.656143828762705883e-02j)	 (2.381212479085424022e-02+4.818309155610908494e-03j)	 (-9.388993221954645627e-03+2.833598271136985366e-03j)	 (-1.109419006597616025e-01+1.373739908135732934e-01j)	 (-4.269561459239385078e-03+1.374601727200282404e-02j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (-7.541451207851428080e+03+6.136010321047859861e+02j)	 (-3.357136372182560081e+03-1.755310412652496552e+02j)	 (-5.583657921608781862e+02+4.613569774574910554e+01j)	 (-1.091880081574662995e+02-6.159764647003320270e+00j)	 (1.265794813478937719e+01-5.111336723701644935e+00j)	 (-8.029656533950194075e-02-1.834675887255425852e-01j)	 (4.185348256856093185e-02+1.538156642092319004e-01j)	 (5.243425797028659907e-02-5.483432518545448137e-02j)	 (-7.229267282931123306e-02+3.686732472854357262e-02j)	 (1.434602233258491441e-02-1.707170112784458724e-02j)	 (-1.975915373276956877e-02-1.546105822136657239e-02j)	 (2.435290695995514718e-02+2.102739965302601478e-03j)	 (-8.186773907120421800e-03+2.238334675352163326e-03j)	 (-1.227776239963678517e-01+1.649798828667206618e-01j)	 (-4.010433212847618750e-03+1.368736456822514103e-02j)
