f	Passivity_index
1.000000000000000000e+00	2.601875770669312211e-07
2.000000000000000000e+00	7.656182898839081394e-08
3.000000000000000000e+00	2.566208385056277947e-07
4.000000000000000000e+00	2.548372509248220720e-07
5.000000000000000000e+00	2.530591243925005255e-07
6.000000000000000000e+00	2.512912828174021075e-07
7.000000000000000000e+00	2.495391869457770390e-07
8.000000000000000000e+00	2.478087613542841817e-07
9.000000000000000000e+00	2.461066357031358080e-07
1.000000000000000000e+01	2.444404049567167459e-07
1.100000000000000000e+01	2.428182867982706131e-07
1.200000000000000000e+01	2.412491891676352740e-07
1.300000000000000000e+01	2.397431275415157490e-07
1.400000000000000000e+01	2.383110881671136950e-07
1.500000000000000000e+01	2.369650628500482965e-07
1.600000000000000000e+01	2.357179265914138784e-07
1.700000000000000000e+01	2.345836867837117855e-07
1.800000000000000000e+01	2.335778073495996573e-07
1.900000000000000000e+01	2.327166131181227722e-07
2.000000000000000000e+01	2.320172299832775773e-07
2.100000000000000000e+01	2.314980095634878532e-07
2.200000000000000000e+01	2.311783105417635636e-07
2.300000000000000000e+01	2.310779295318454828e-07
2.400000000000000000e+01	2.312166757678384743e-07
2.500000000000000000e+01	2.316142390302402065e-07
2.600000000000000000e+01	2.322901406262955813e-07
2.700000000000000000e+01	2.332617610709604708e-07
2.800000000000000000e+01	2.345430371117221500e-07
2.900000000000000000e+01	2.361439042565356237e-07
3.000000000000000000e+01	2.380686688073709464e-07
3.100000000000000000e+01	2.403120833996188665e-07
3.200000000000000000e+01	2.428563110101944162e-07
3.300000000000000000e+01	2.456675505517479532e-07
3.400000000000000000e+01	2.486933034669784781e-07
3.500000000000000000e+01	2.518536946227604620e-07
3.600000000000000000e+01	2.550343433717494787e-07
3.700000000000000000e+01	2.580833651167756376e-07
3.800000000000000000e+01	2.608106712726167761e-07
3.900000000000000000e+01	2.629816796606547744e-07
4.000000000000000000e+01	2.643329840030621930e-07
4.100000000000000000e+01	2.646084442029525935e-07
4.200000000000000000e+01	2.636780964995096404e-07
4.300000000000000000e+01	2.616998299886213163e-07
4.400000000000000000e+01	2.594001997920985599e-07
4.500000000000000000e+01	2.584493180260228663e-07
4.600000000000000000e+01	2.614187383502569603e-07
4.700000000000000000e+01	2.682797708163402091e-07
4.800000000000000000e+01	2.662148189244590181e-07
4.900000000000000000e+01	2.381601436031822723e-07
5.100000000000000000e+01	-4.929843595194663486e-07
5.200000000000000000e+01	2.662135836964589973e-07
5.300000000000000000e+01	2.682469382917672682e-07
5.400000000000000000e+01	2.614128321393496905e-07
5.500000000000000000e+01	2.584573690372782754e-07
5.600000000000000000e+01	2.593973758427316217e-07
5.700000000000000000e+01	2.617112652172391903e-07
5.800000000000000000e+01	2.636941915426718905e-07
5.900000000000000000e+01	2.646187763354647022e-07
6.000000000000000000e+01	2.643310766250093832e-07
6.100000000000000000e+01	2.629800405392790662e-07
6.200000000000000000e+01	2.608113002168410383e-07
6.300000000000000000e+01	2.580845953343629053e-07
6.400000000000000000e+01	2.550326612531851285e-07
6.500000000000000000e+01	2.518524052534745145e-07
