f	Passivity_index
1.000000000000000000e+00	-2.994727737353228367e-03
2.000000000000000000e+00	-3.220705212280469167e-03
3.000000000000000000e+00	-3.427425096185393854e-03
4.000000000000000000e+00	-3.486531314275715006e-03
5.000000000000000000e+00	-3.463543813601216697e-03
6.000000000000000000e+00	-3.400538917866993173e-03
7.000000000000000000e+00	-3.326909403714460155e-03
8.000000000000000000e+00	-3.269920805491618662e-03
9.000000000000000000e+00	-3.227213397695211875e-03
1.000000000000000000e+01	-3.198572555423221959e-03
1.100000000000000000e+01	-3.177455701165766110e-03
1.200000000000000000e+01	-3.159708111591728701e-03
1.300000000000000000e+01	-3.143099292924800194e-03
1.400000000000000000e+01	-3.123766690362758756e-03
1.500000000000000000e+01	-3.102684122390515341e-03
1.600000000000000000e+01	-3.080579168141766959e-03
1.700000000000000000e+01	-3.057381177248789505e-03
1.800000000000000000e+01	-3.034709471430184838e-03
1.900000000000000000e+01	-3.012272689605868369e-03
2.000000000000000000e+01	-2.989947180758420128e-03
2.100000000000000000e+01	-2.970404744542918044e-03
2.200000000000000000e+01	-2.949079307999618715e-03
2.300000000000000000e+01	-2.928078905512793411e-03
2.400000000000000000e+01	-2.904955077999988276e-03
2.500000000000000000e+01	-2.875164944109740838e-03
2.600000000000000000e+01	-2.836974079216878636e-03
2.700000000000000000e+01	-2.780978295419003418e-03
2.800000000000000000e+01	-2.690478438358449419e-03
2.900000000000000000e+01	-2.559853413285087097e-03
3.000000000000000000e+01	-2.359336670634537558e-03
3.100000000000000000e+01	-2.089342461229167381e-03
3.200000000000000000e+01	-1.753540208948724038e-03
3.300000000000000000e+01	-1.396024497974135718e-03
3.400000000000000000e+01	-1.085151676046234529e-03
3.500000000000000000e+01	-8.570920907284268865e-04
3.600000000000000000e+01	-6.938684439587983720e-04
3.700000000000000000e+01	-5.550870617051441476e-04
3.800000000000000000e+01	-4.458703534260260331e-04
3.900000000000000000e+01	-3.702523873602391589e-04
4.000000000000000000e+01	-3.234424989338650458e-04
4.100000000000000000e+01	-2.982359248655814111e-04
4.200000000000000000e+01	-2.767006439523241393e-04
4.300000000000000000e+01	-2.580011373886029343e-04
4.400000000000000000e+01	-2.496287573017781473e-04
4.500000000000000000e+01	-2.338217431391090837e-04
4.600000000000000000e+01	-2.270614925795324472e-04
4.700000000000000000e+01	-2.106042577187428630e-04
4.800000000000000000e+01	-1.965715785442684674e-04
4.900000000000000000e+01	-1.825311343853661073e-04
5.100000000000000000e+01	-1.591719583933535001e-04
5.200000000000000000e+01	-1.538117846778621375e-04
5.300000000000000000e+01	-1.428931792238558648e-04
5.400000000000000000e+01	-1.322917813904408069e-04
5.500000000000000000e+01	-1.235765689952075016e-04
5.600000000000000000e+01	-1.228114582558875690e-04
5.700000000000000000e+01	-1.192226566685857371e-04
5.800000000000000000e+01	-1.121123820324064149e-04
5.900000000000000000e+01	-1.122283127635111453e-04
6.000000000000000000e+01	-1.139777155297138587e-04
6.100000000000000000e+01	-1.149772758661192214e-04
6.200000000000000000e+01	-1.215761397224368297e-04
6.300000000000000000e+01	-1.267348818753671479e-04
6.400000000000000000e+01	-1.354585709175976517e-04
6.500000000000000000e+01	-1.460398761791269890e-04
6.600000000000000000e+01	-1.569766744653612427e-04
6.700000000000000000e+01	-1.702347907466143838e-04
6.800000000000000000e+01	-1.847712497571879096e-04
6.900000000000000000e+01	-1.984681627128943577e-04
7.000000000000000000e+01	-2.152750735180904206e-04
7.100000000000000000e+01	-2.315366914947353195e-04
7.200000000000000000e+01	-2.483415679933181908e-04
7.300000000000000000e+01	-2.655672303991371878e-04
7.400000000000000000e+01	-2.813620283015527321e-04
7.500000000000000000e+01	-2.983798959425974394e-04
7.600000000000000000e+01	-3.178722187678310754e-04
7.700000000000000000e+01	-3.324835741248203928e-04
7.800000000000000000e+01	-3.498415747208543356e-04
7.900000000000000000e+01	-3.669042620948465136e-04
8.000000000000000000e+01	-3.832918740590957312e-04
8.100000000000000000e+01	-3.987314549645647080e-04
8.200000000000000000e+01	-4.125727287245987236e-04
8.300000000000000000e+01	-4.310757885938440361e-04
8.400000000000000000e+01	-4.609971361339733884e-04
8.500000000000000000e+01	-4.825377861791207783e-04
8.600000000000000000e+01	-5.214168452702851045e-04
8.700000000000000000e+01	-5.791005627793529946e-04
8.800000000000000000e+01	-6.397571927849165238e-04
8.900000000000000000e+01	-7.173256458742850381e-04
9.000000000000000000e+01	-8.333044814454135816e-04
9.100000000000000000e+01	-9.755127398522636488e-04
9.200000000000000000e+01	-1.147954847729583004e-03
9.300000000000000000e+01	-1.351559165033175717e-03
9.400000000000000000e+01	-1.595135786660390820e-03
9.500000000000000000e+01	-1.897306904147892485e-03
9.600000000000000000e+01	-2.215174766970563758e-03
9.700000000000000000e+01	-2.567193003965423641e-03
9.800000000000000000e+01	-2.959436322713445561e-03
1.000000000000000000e+02	-3.731720365315138819e-03
1.010000000000000000e+02	-4.104094078930508802e-03
1.020000000000000000e+02	-4.460280085094276738e-03
1.030000000000000000e+02	-4.769308626990861021e-03
1.040000000000000000e+02	-5.057607436998188058e-03
1.050000000000000000e+02	-5.312529412799558287e-03
1.060000000000000000e+02	-5.524426229994762634e-03
1.070000000000000000e+02	-5.713933400360166927e-03
1.080000000000000000e+02	-5.870964608768485492e-03
1.100000000000000000e+02	-6.112749015356529203e-03
1.110000000000000000e+02	-6.207701076157330806e-03
1.120000000000000000e+02	-6.278190486069740346e-03
1.130000000000000000e+02	-6.340960332550368839e-03
1.140000000000000000e+02	-6.387455157339805463e-03
1.150000000000000000e+02	-6.421927290662514040e-03
1.160000000000000000e+02	-6.448760058862177715e-03
1.180000000000000000e+02	-6.476741404090011721e-03
1.190000000000000000e+02	-6.478615920772650902e-03
1.200000000000000000e+02	-6.478630124042639854e-03
1.210000000000000000e+02	-6.470479336387405245e-03
1.220000000000000000e+02	-6.461140172361219680e-03
1.240000000000000000e+02	-6.428199703337664911e-03
1.250000000000000000e+02	-6.408162647370430932e-03
1.260000000000000000e+02	-6.384911227428607255e-03
1.270000000000000000e+02	-6.359780043849296363e-03
1.280000000000000000e+02	-6.331770988750635640e-03
1.300000000000000000e+02	-6.273687404820382958e-03
1.310000000000000000e+02	-6.241802019691346931e-03
1.320000000000000000e+02	-6.209711905769181584e-03
1.330000000000000000e+02	-6.177042153654084024e-03
1.340000000000000000e+02	-6.143337808966368302e-03
1.360000000000000000e+02	-6.074398054579744320e-03
1.370000000000000000e+02	-6.038278058418269575e-03
1.380000000000000000e+02	-6.001854737157801857e-03
1.390000000000000000e+02	-5.965910739309330385e-03
1.410000000000000000e+02	-5.889187900616827363e-03
1.420000000000000000e+02	-5.851422974644984731e-03
1.430000000000000000e+02	-5.809788927377436754e-03
1.450000000000000000e+02	-5.724726806910696540e-03
1.460000000000000000e+02	-5.680319270280803461e-03
1.470000000000000000e+02	-5.654199034740430528e-03
1.480000000000000000e+02	-5.559865753202376110e-03
1.500000000000000000e+02	-5.514872978378401389e-03
1.510000000000000000e+02	-5.431080807342855352e-03
1.520000000000000000e+02	-5.338001280567105343e-03
1.530000000000000000e+02	-5.366380806960485868e-03
1.550000000000000000e+02	-5.210478397925134841e-03
1.560000000000000000e+02	-5.154048180873539720e-03
1.570000000000000000e+02	-5.096683368473513276e-03
1.590000000000000000e+02	-4.982376153775426586e-03
1.600000000000000000e+02	-4.925925849322500619e-03
1.610000000000000000e+02	-4.868627263269379758e-03
1.630000000000000000e+02	-4.755676988355332820e-03
1.640000000000000000e+02	-4.699808066991884026e-03
1.650000000000000000e+02	-4.643751760103715862e-03
1.670000000000000000e+02	-4.533081524870013340e-03
1.680000000000000000e+02	-4.477575555324094132e-03
1.690000000000000000e+02	-4.422686143613105240e-03
1.710000000000000000e+02	-4.313242578145536771e-03
1.720000000000000000e+02	-4.258665105747089924e-03
1.730000000000000000e+02	-4.204189873122291150e-03
1.750000000000000000e+02	-4.096088227560314675e-03
1.760000000000000000e+02	-4.041624187722065061e-03
1.770000000000000000e+02	-3.988207285155718172e-03
1.790000000000000000e+02	-3.880887270667514842e-03
1.800000000000000000e+02	-3.827611105159141238e-03
1.820000000000000000e+02	-3.721895084340906892e-03
1.830000000000000000e+02	-3.669091207811635714e-03
1.840000000000000000e+02	-3.616846473339009865e-03
1.860000000000000000e+02	-3.513042751817733143e-03
1.870000000000000000e+02	-3.461365873522270244e-03
1.880000000000000000e+02	-3.410463661858694016e-03
1.900000000000000000e+02	-3.308986475356076422e-03
1.910000000000000000e+02	-3.258902828829015122e-03
1.930000000000000000e+02	-3.159958911749967663e-03
1.940000000000000000e+02	-3.110866967432540219e-03
1.950000000000000000e+02	-3.062453380426103950e-03
1.970000000000000000e+02	-2.966847187761085646e-03
1.980000000000000000e+02	-2.919510651383455582e-03
2.000000000000000000e+02	-2.826848817997547163e-03
2.010000000000000000e+02	-2.780919999781998695e-03
2.020000000000000000e+02	-2.735825272393034233e-03
2.040000000000000000e+02	-2.646872702836086839e-03
2.050000000000000000e+02	-2.603181525094446641e-03
2.070000000000000000e+02	-2.517372237747411094e-03
2.080000000000000000e+02	-2.475339540780891866e-03
2.100000000000000000e+02	-2.392675885985300240e-03
2.110000000000000000e+02	-2.352357821198298397e-03
2.120000000000000000e+02	-2.312254393443856620e-03
2.140000000000000000e+02	-2.234138314655963707e-03
2.150000000000000000e+02	-2.196000598669348072e-03
2.170000000000000000e+02	-2.120865829377959529e-03
2.180000000000000000e+02	-2.084339345769405018e-03
2.200000000000000000e+02	-2.012814801428786972e-03
2.210000000000000000e+02	-1.977647065123800361e-03
2.230000000000000000e+02	-1.909389086371175888e-03
2.240000000000000000e+02	-1.875846817215493434e-03
2.250000000000000000e+02	-1.843061381015147606e-03
2.270000000000000000e+02	-1.778780610843422273e-03
2.280000000000000000e+02	-1.747415053905672670e-03
