f	Passivity_index
1.000000000000000000e+00	-1.535078713120692669e-02
2.000000000000000000e+00	-1.591901265924287531e-02
3.000000000000000000e+00	-1.668224680198043125e-02
4.000000000000000000e+00	-1.728615906670675703e-02
5.000000000000000000e+00	-1.760649112105601086e-02
6.000000000000000000e+00	-1.766528600217000949e-02
7.000000000000000000e+00	-1.751985376548097911e-02
8.000000000000000000e+00	-1.718932329271195478e-02
9.000000000000000000e+00	-1.674515775440398382e-02
1.000000000000000000e+01	-1.619624392586578934e-02
1.100000000000000000e+01	-1.557458219293979609e-02
1.200000000000000000e+01	-1.489955704746343673e-02
1.300000000000000000e+01	-1.418863223977752212e-02
1.400000000000000000e+01	-1.345488040424274757e-02
1.500000000000000000e+01	-1.270887804864882613e-02
1.600000000000000000e+01	-1.196014779561037876e-02
1.700000000000000000e+01	-1.121662691254585523e-02
1.800000000000000000e+01	-1.048391803983665660e-02
1.900000000000000000e+01	-9.767169729122591321e-03
2.000000000000000000e+01	-9.251035105071461415e-03
2.100000000000000000e+01	-9.292275132530595019e-03
2.200000000000000000e+01	-9.332832601220629812e-03
2.300000000000000000e+01	-9.374031480208960820e-03
2.400000000000000000e+01	-9.412348888593415064e-03
2.500000000000000000e+01	-9.439991147258615031e-03
2.600000000000000000e+01	-9.453731342305978641e-03
2.700000000000000000e+01	-9.435703783491393437e-03
2.800000000000000000e+01	-9.349804596430193182e-03
2.900000000000000000e+01	-9.162732163061850302e-03
3.000000000000000000e+01	-8.779513283515796851e-03
3.100000000000000000e+01	-8.099742702645457496e-03
3.200000000000000000e+01	-6.992890171746748637e-03
3.300000000000000000e+01	-5.509817435490822410e-03
3.400000000000000000e+01	-4.731966066215299513e-03
3.500000000000000000e+01	-4.247126447031052306e-03
3.600000000000000000e+01	-3.630674712131056782e-03
3.700000000000000000e+01	-2.992692327551635476e-03
3.800000000000000000e+01	-2.756293835552794860e-03
3.900000000000000000e+01	-3.000995760212838651e-03
4.000000000000000000e+01	-3.321209436164314615e-03
4.100000000000000000e+01	-3.655853543712008283e-03
4.200000000000000000e+01	-3.960118911930247780e-03
4.300000000000000000e+01	-4.226292142440745379e-03
4.400000000000000000e+01	-4.456522599157429487e-03
4.500000000000000000e+01	-4.653412895794041375e-03
4.600000000000000000e+01	-4.823303446009189789e-03
4.700000000000000000e+01	-4.973853169143846800e-03
4.800000000000000000e+01	-5.102052333731389028e-03
4.900000000000000000e+01	-5.211874243000533778e-03
5.100000000000000000e+01	-5.414071918171808884e-03
5.200000000000000000e+01	-5.507587754027549153e-03
5.300000000000000000e+01	-5.593332949024660411e-03
5.400000000000000000e+01	-5.675571377184489286e-03
5.500000000000000000e+01	-5.755978794656789292e-03
5.600000000000000000e+01	-5.835292575601245223e-03
5.700000000000000000e+01	-5.911761167301589869e-03
5.800000000000000000e+01	-5.987457773664335570e-03
5.900000000000000000e+01	-6.062182388110817950e-03
6.000000000000000000e+01	-6.134708218943848296e-03
6.100000000000000000e+01	-6.201223880221707653e-03
6.200000000000000000e+01	-6.265316990104236386e-03
6.300000000000000000e+01	-6.323710463329509056e-03
6.400000000000000000e+01	-6.374256272392275421e-03
6.500000000000000000e+01	-6.416510924102637563e-03
6.600000000000000000e+01	-6.449679558189276747e-03
6.700000000000000000e+01	-6.473870261216732765e-03
6.800000000000000000e+01	-6.488080793848651114e-03
6.900000000000000000e+01	-6.486342397515628029e-03
7.000000000000000000e+01	-6.476080176763646633e-03
7.100000000000000000e+01	-6.453316627276974894e-03
7.200000000000000000e+01	-6.416537810582062344e-03
7.300000000000000000e+01	-6.367531641935030365e-03
7.400000000000000000e+01	-6.300674138952014856e-03
7.500000000000000000e+01	-6.227915848098364640e-03
7.600000000000000000e+01	-6.152389761044574877e-03
7.700000000000000000e+01	-6.055482985328209701e-03
7.800000000000000000e+01	-5.956128494986689427e-03
7.900000000000000000e+01	-5.851678098107383243e-03
8.000000000000000000e+01	-5.741448123578078017e-03
8.100000000000000000e+01	-5.626219694125958112e-03
8.200000000000000000e+01	-5.512791454951610631e-03
8.300000000000000000e+01	-5.403031889752592763e-03
8.400000000000000000e+01	-5.327400550838405635e-03
8.500000000000000000e+01	-5.239271967720210595e-03
8.600000000000000000e+01	-5.197030398795010088e-03
8.700000000000000000e+01	-5.207602396949700951e-03
8.800000000000000000e+01	-5.245922907105859262e-03
8.900000000000000000e+01	-5.349044888360714699e-03
9.000000000000000000e+01	-5.579543314113015288e-03
9.100000000000000000e+01	-5.928657378471818493e-03
