Frequency [Hz]	0.0+det[I + L(s)]
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.512399649428575195e+12-5.004724307927946875e+13j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (8.716077360185875977e+12-2.502856824733305078e+13j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (1.146101842641025391e+13-1.702613490808193359e+13j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (1.252784272649279492e+13-1.307796945573687500e+13j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (1.326122193886365430e+13-1.076537913029888477e+13j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (1.400131469956578516e+13-9.132984229909197266e+12j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (1.473595673748736523e+13-7.981325124928724609e+12j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (1.577289518570071875e+13-7.090209676066116211e+12j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (1.699732663472954297e+13-6.390409685423654297e+12j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (1.861400869812437891e+13-5.841014467136630859e+12j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (2.074472641648996094e+13-5.378998576990473633e+12j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (2.365510528201366016e+13-4.955336969307783203e+12j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (2.783565934009866016e+13-4.521114364632983398e+12j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (3.431288877632460156e+13-3.994230759107787598e+12j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (4.561308002585995312e+13-3.249607169847147461e+12j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (7.003757944782554688e+13-2.026640332198587402e+12j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (1.608035587611028125e+14-1.411973193995735107e+12j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (-4.238546869388711875e+14-1.236942549346527500e+14j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (-8.938869483468740625e+13-1.935194116988946875e+13j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (-4.886337311775492969e+13-1.344171533674947852e+13j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (-3.316378007644548047e+13-1.173161899353474414e+13j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)	 (-2.482508503260403516e+13-1.114453524326906836e+13j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)	 (-1.963556042721814453e+13-1.106403158854723438e+13j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)	 (-1.607022570876299023e+13-1.131007805352734180e+13j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)	 (-1.343670406936163086e+13-1.182982705732539258e+13j)
 (2.600000000000000000e+01+0.000000000000000000e+00j)	 (-1.137237490719400391e+13-1.263255885959474609e+13j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)	 (-9.665309563478134766e+12-1.377710601968386914e+13j)
 (2.800000000000000000e+01+0.000000000000000000e+00j)	 (-8.180235846017868164e+12-1.537533489153545312e+13j)
 (2.900000000000000000e+01+0.000000000000000000e+00j)	 (-6.840210230425209961e+12-1.762328435920827734e+13j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)	 (-5.629119309504166016e+12-2.087000406472164062e+13j)
 (3.100000000000000000e+01+0.000000000000000000e+00j)	 (-4.676551802733785156e+12-2.573557495770991406e+13j)
 (3.200000000000000000e+01+0.000000000000000000e+00j)	 (-4.543246149342647461e+12-3.335660431908209766e+13j)
 (3.300000000000000000e+01+0.000000000000000000e+00j)	 (-7.201331879952897461e+12-4.567918679958385156e+13j)
 (3.400000000000000000e+01+0.000000000000000000e+00j)	 (-1.899302475406483984e+13-6.463722253179813281e+13j)
 (3.500000000000000000e+01+0.000000000000000000e+00j)	 (-5.527015596511359375e+13-8.290214924183170312e+13j)
 (3.600000000000000000e+01+0.000000000000000000e+00j)	 (-1.173364532307221250e+14-5.950601644158909375e+13j)
 (3.700000000000000000e+01+0.000000000000000000e+00j)	 (-1.300642405191942031e+14+1.791900035938990234e+13j)
 (3.800000000000000000e+01+0.000000000000000000e+00j)	 (-8.439144274213526562e+13+5.752966556918219531e+13j)
 (3.900000000000000000e+01+0.000000000000000000e+00j)	 (-4.959679280694263281e+13+5.584494584632223438e+13j)
 (4.000000000000000000e+01+0.000000000000000000e+00j)	 (-3.383681170584339844e+13+4.623604654771697656e+13j)
 (4.100000000000000000e+01+0.000000000000000000e+00j)	 (-2.775280824956905859e+13+3.861107367323784375e+13j)
 (4.200000000000000000e+01+0.000000000000000000e+00j)	 (-2.615825930753877734e+13+3.402921549394800391e+13j)
 (4.300000000000000000e+01+0.000000000000000000e+00j)	 (-2.692151696657451562e+13+3.213017652849944531e+13j)
 (4.400000000000000000e+01+0.000000000000000000e+00j)	 (-2.918977378109026953e+13+3.291146593262394531e+13j)
 (4.500000000000000000e+01+0.000000000000000000e+00j)	 (-3.251419621138510938e+13+3.703656561138609375e+13j)
 (4.600000000000000000e+01+0.000000000000000000e+00j)	 (-3.580563063427760156e+13+4.604572486176489844e+13j)
 (4.700000000000000000e+01+0.000000000000000000e+00j)	 (-3.591050627040646875e+13+6.227118268507596875e+13j)
 (4.800000000000000000e+01+0.000000000000000000e+00j)	 (-2.531468468861533203e+13+8.575718616736201562e+13j)
 (4.900000000000000000e+01+0.000000000000000000e+00j)	 (2.961784246015264648e+12+1.094176220624675938e+14j)
 (5.100000000000000000e+01+0.000000000000000000e+00j)	 (9.302713760627357812e+13+2.601924078873306250e+13j)
 (5.200000000000000000e+01+0.000000000000000000e+00j)	 (7.063820256548357812e+13-3.785271918268207520e+12j)
 (5.300000000000000000e+01+0.000000000000000000e+00j)	 (4.787047434739385156e+13-1.557838522411074805e+13j)
 (5.400000000000000000e+01+0.000000000000000000e+00j)	 (3.147012756146055078e+13-1.657515190254153711e+13j)
 (5.500000000000000000e+01+0.000000000000000000e+00j)	 (2.139951405282102344e+13-1.414555440079993750e+13j)
 (5.600000000000000000e+01+0.000000000000000000e+00j)	 (1.535256751779631641e+13-1.120559365549878125e+13j)
 (5.700000000000000000e+01+0.000000000000000000e+00j)	 (1.165261883095100000e+13-8.637380119568736328e+12j)
 (5.800000000000000000e+01+0.000000000000000000e+00j)	 (9.297971879355902344e+12-6.583126671615631836e+12j)
 (5.900000000000000000e+01+0.000000000000000000e+00j)	 (7.728316680596039062e+12-4.959671503593995117e+12j)
 (6.000000000000000000e+01+0.000000000000000000e+00j)	 (6.645531877941892578e+12-3.671629879649052734e+12j)
 (6.100000000000000000e+01+0.000000000000000000e+00j)	 (5.871985317406313477e+12-2.633870509778879883e+12j)
 (6.200000000000000000e+01+0.000000000000000000e+00j)	 (5.307356338872565430e+12-1.779274024952836670e+12j)
 (6.300000000000000000e+01+0.000000000000000000e+00j)	 (4.885522591509839844e+12-1.051277436514886719e+12j)
 (6.400000000000000000e+01+0.000000000000000000e+00j)	 (4.568157452094873047e+12-4.111947592139255371e+11j)
 (6.500000000000000000e+01+0.000000000000000000e+00j)	 (4.327351021022826172e+12+1.750222306623016663e+11j)
 (6.600000000000000000e+01+0.000000000000000000e+00j)	 (4.145607322901479980e+12+7.371642839361223145e+11j)
 (6.700000000000000000e+01+0.000000000000000000e+00j)	 (4.012930234626526855e+12+1.303307508420623535e+12j)
 (6.800000000000000000e+01+0.000000000000000000e+00j)	 (3.921422646099297363e+12+1.903086228078885986e+12j)
 (6.900000000000000000e+01+0.000000000000000000e+00j)	 (3.866290511733358398e+12+2.569134021915778320e+12j)
 (7.000000000000000000e+01+0.000000000000000000e+00j)	 (3.847299447030526855e+12+3.344974043436653809e+12j)
 (7.100000000000000000e+01+0.000000000000000000e+00j)	 (3.866553250640997559e+12+4.291438196565846680e+12j)
 (7.200000000000000000e+01+0.000000000000000000e+00j)	 (3.934415019639431641e+12+5.493397397732236328e+12j)
 (7.300000000000000000e+01+0.000000000000000000e+00j)	 (4.068594119169247070e+12+7.084866559588211914e+12j)
 (7.400000000000000000e+01+0.000000000000000000e+00j)	 (4.311403963998062500e+12+9.279775475068630859e+12j)
 (7.500000000000000000e+01+0.000000000000000000e+00j)	 (4.754946891003108398e+12+1.244568731409023438e+13j)
 (7.600000000000000000e+01+0.000000000000000000e+00j)	 (5.602963606900510742e+12+1.723091180724705859e+13j)
 (7.700000000000000000e+01+0.000000000000000000e+00j)	 (7.356957465174592773e+12+2.484144324425415234e+13j)
 (7.800000000000000000e+01+0.000000000000000000e+00j)	 (1.126658441206370312e+13+3.773281526492694531e+13j)
 (7.900000000000000000e+01+0.000000000000000000e+00j)	 (2.090712096371785547e+13+6.143161109949547656e+13j)
 (8.000000000000000000e+01+0.000000000000000000e+00j)	 (4.831081119778405469e+13+1.106030328351555625e+14j)
 (8.100000000000000000e+01+0.000000000000000000e+00j)	 (1.505645683151148750e+14+2.410385013965380000e+14j)
 (8.200000000000000000e+01+0.000000000000000000e+00j)	 (1.393301569436102250e+15+1.128355754977578750e+15j)
 (8.300000000000000000e+01+0.000000000000000000e+00j)	 (-6.796285413361662500e+14-5.062607243436885000e+14j)
 (8.400000000000000000e+01+0.000000000000000000e+00j)	 (-4.494867571003973125e+14-1.119947236658743125e+14j)
 (8.500000000000000000e+01+0.000000000000000000e+00j)	 (-3.456653796340532500e+14+7.509366604178267188e+13j)
 (8.600000000000000000e+01+0.000000000000000000e+00j)	 (-2.102361216506731875e+14+1.883325052674431562e+14j)
 (8.700000000000000000e+01+0.000000000000000000e+00j)	 (-6.401472027446125781e+13+2.048670637682669375e+14j)
 (8.800000000000000000e+01+0.000000000000000000e+00j)	 (3.093622177489142969e+13+1.480558485848786250e+14j)
 (8.900000000000000000e+01+0.000000000000000000e+00j)	 (6.064405952556228125e+13+8.012887832186196875e+13j)
 (9.000000000000000000e+01+0.000000000000000000e+00j)	 (5.506322810960264062e+13+3.437521185287214844e+13j)
 (9.100000000000000000e+01+0.000000000000000000e+00j)	 (4.020687458487872656e+13+1.111913905055152930e+13j)
 (9.200000000000000000e+01+0.000000000000000000e+00j)	 (2.706757580042033594e+13+1.210184106274576416e+12j)
 (9.300000000000000000e+01+0.000000000000000000e+00j)	 (1.777870695810084375e+13-2.327753914768425781e+12j)
 (9.400000000000000000e+01+0.000000000000000000e+00j)	 (1.170738515830017578e+13-3.197958823250214844e+12j)
 (9.500000000000000000e+01+0.000000000000000000e+00j)	 (7.829353251349121094e+12-3.067500793211949219e+12j)
 (9.600000000000000000e+01+0.000000000000000000e+00j)	 (5.344948897756598633e+12-2.623585872276937988e+12j)
 (9.700000000000000000e+01+0.000000000000000000e+00j)	 (3.730584208531783203e+12-2.144043036316142822e+12j)
 (9.800000000000000000e+01+0.000000000000000000e+00j)	 (2.659917151136133301e+12-1.717461328850948730e+12j)
 (9.900000000000000000e+01+0.000000000000000000e+00j)	 (1.937374825252458984e+12-1.364407753257104736e+12j)
 (1.000000000000000000e+02+0.000000000000000000e+00j)	 (1.438847322495331787e+12-1.082509273820807861e+12j)
 (1.020000000000000000e+02+0.000000000000000000e+00j)	 (8.354149834365318604e+11-6.863766177164602051e+11j)
 (1.030000000000000000e+02+0.000000000000000000e+00j)	 (6.512162442752628174e+11-5.501305843273134766e+11j)
 (1.040000000000000000e+02+0.000000000000000000e+00j)	 (5.141380982070618286e+11-4.430831384751465454e+11j)
 (1.050000000000000000e+02+0.000000000000000000e+00j)	 (4.108556975454440918e+11-3.587260214289098511e+11j)
 (1.060000000000000000e+02+0.000000000000000000e+00j)	 (3.317570157755225220e+11-2.918993727656617432e+11j)
 (1.070000000000000000e+02+0.000000000000000000e+00j)	 (2.704658425416116028e+11-2.386749509581474304e+11j)
 (1.080000000000000000e+02+0.000000000000000000e+00j)	 (2.224275276099557190e+11-1.960604003577371826e+11j)
 (1.090000000000000000e+02+0.000000000000000000e+00j)	 (1.843615526525966492e+11-1.617536084033256226e+11j)
 (1.100000000000000000e+02+0.000000000000000000e+00j)	 (1.539081188417155762e+11-1.339909484282352448e+11j)
