f	max_sigma_G1	max_sigma_G2	max_sigma_G1_G2
1.000000000000000000e+00	1.557350987668042035e+04	6.482452069804388595e-01	7.138749601568043545e+03
2.000000000000000000e+00	1.589801002171988330e+04	6.616918080736554630e-01	7.438645264037213565e+03
3.000000000000000000e+00	1.623633277658137013e+04	6.757067661137261538e-01	7.757837211000071875e+03
4.000000000000000000e+00	1.658938178141827666e+04	6.903268051598175914e-01	8.098020964312327123e+03
5.000000000000000000e+00	1.695814112316209503e+04	7.055918745524186741e-01	8.461076140462340845e+03
6.000000000000000000e+00	1.734368470792490189e+04	7.215455099955709883e-01	8.849099286983839193e+03
7.000000000000000000e+00	1.774718644003572263e+04	7.382352440324143616e-01	9.264419542213398017e+03
8.000000000000000000e+00	1.816993235777731388e+04	7.557130741317040767e-01	9.709662025948373412e+03
9.000000000000000000e+00	1.861333425723689652e+04	7.740359978665489749e-01	1.018776296536860900e+04
1.000000000000000000e+01	1.907894534754571941e+04	7.932666267039006902e-01	1.070203632548240057e+04
1.100000000000000000e+01	1.956847851945758521e+04	8.134738921861618399e-01	1.125622747370372781e+04
1.200000000000000000e+01	2.008382731747661819e+04	8.347338610256171965e-01	1.185457356795409942e+04
1.300000000000000000e+01	2.062709015041375096e+04	8.571306791613594322e-01	1.250188816550731462e+04
1.400000000000000000e+01	2.120059921810685773e+04	8.807576692142773389e-01	1.320366437464508817e+04
1.500000000000000000e+01	2.180695326457399642e+04	9.057186108833258364e-01	1.396617794965675785e+04
1.600000000000000000e+01	2.244905723634455353e+04	9.321292409673813673e-01	1.479663311539514143e+04
1.700000000000000000e+01	2.753646769164627767e+04	9.601190177922745983e-01	1.570334081799351407e+04
1.800000000000000000e+01	7.587816192946399678e+04	9.898332058548716672e-01	3.756979383552401123e+04
1.900000000000000000e+01	2.462454320051388277e+04	1.021435350228013350e+00	1.778551570867632108e+04
2.000000000000000000e+01	2.544663305689869958e+04	1.055110227793599975e+00	1.898520480153964309e+04
2.100000000000000000e+01	2.632555540599273081e+04	1.091067385335130258e+00	2.031028178288936033e+04
2.200000000000000000e+01	2.726740675079953508e+04	1.129545404420426724e+00	2.177881218784471639e+04
2.300000000000000000e+01	2.827918419705216002e+04	1.170817071557376909e+00	2.341221246733190492e+04
2.400000000000000000e+01	2.936895944831429733e+04	1.215195684471987558e+00	2.523603644035030811e+04
2.500000000000000000e+01	3.054609207620451343e+04	1.263042793452572976e+00	2.728098388947123021e+04
2.600000000000000000e+01	3.182149551083455663e+04	1.314777769732805579e+00	2.958415489468498708e+04
2.700000000000000000e+01	3.320797451328858733e+04	1.370889718499601173e+00	3.219075720509748862e+04
2.800000000000000000e+01	3.472065200015020673e+04	1.431952425826185094e+00	3.515627646517950052e+04
2.900000000000000000e+01	3.637751459683931171e+04	1.498643267118906719e+00	3.854941950343090139e+04
3.000000000000000000e+01	3.820013085363677965e+04	1.571767337758461114e+00	4.245609243619425251e+04
3.100000000000000000e+01	4.021457923001216113e+04	1.652288535389253354e+00	4.698474790861090878e+04
3.200000000000000000e+01	4.245270172368465137e+04	1.741369996106264972e+00	5.227387430375858094e+04
3.300000000000000000e+01	4.495378772532407311e+04	1.840427253716975242e+00	5.850252064131869702e+04
3.400000000000000000e+01	4.776688486412540078e+04	1.951198905364355030e+00	6.590522031802199490e+04
3.500000000000000000e+01	5.095405526690712577e+04	2.075841648670098127e+00	7.479386341655590513e+04
3.600000000000000000e+01	5.459501620847545564e+04	2.217059645261204803e+00	8.559011450186160801e+04
3.700000000000000000e+01	5.879390625726881262e+04	2.378282776388173314e+00	9.887525353009108221e+04
3.800000000000000000e+01	6.368956686911013094e+04	2.563915217580949868e+00	1.154680880847422522e+05
3.900000000000000000e+01	6.947132025107274239e+04	2.779685797787717405e+00	1.365494077894456859e+05
4.000000000000000000e+01	7.640455010398065497e+04	3.033145642868812608e+00	1.638701813579021546e+05
4.100000000000000000e+01	8.487350029209708737e+04	3.334375786859729462e+00	2.001121148931569478e+05
4.200000000000000000e+01	9.545618682621595508e+04	3.696979890690329285e+00	2.495383618746079737e+05
4.300000000000000000e+01	1.090651389213618677e+05	4.139411421758298459e+00	3.192348869493916864e+05
4.400000000000000000e+01	1.272276377256378328e+05	4.686500139217579353e+00	4.216146010278291651e+05
4.500000000000000000e+01	1.526886540049099422e+05	5.370295529064816442e+00	5.798160450666997349e+05
4.600000000000000000e+01	1.908798850419769005e+05	6.226773443525253526e+00	8.404432174688163213e+05
4.700000000000000000e+01	2.540876514999686042e+05	7.277276061736387192e+00	1.307487278137586545e+06
4.800000000000000000e+01	3.779807927437170874e+05	8.467334606743149195e+00	2.263087877877594903e+06
4.900000000000000000e+01	7.474016753925485536e+05	9.540285345756236879e+00	5.041972253557835706e+06
5.100000000000000000e+01	7.474665088528844062e+05	9.540282186332927239e+00	5.042409453300685622e+06
5.200000000000000000e+01	3.779911636544710491e+05	8.467330190020662783e+00	2.263150093926086556e+06
5.300000000000000000e+01	2.540864922825738031e+05	7.277271854941782081e+00	1.307481365166207310e+06
5.400000000000000000e+01	1.908796081892280199e+05	6.226769929102420775e+00	8.404420598885462387e+05
5.500000000000000000e+01	1.526886895602064615e+05	5.370292710524386948e+00	5.798163405152854975e+05
5.600000000000000000e+01	1.272273300972066500e+05	4.686497892273724375e+00	4.216137083177844179e+05
5.700000000000000000e+01	1.090653571467243746e+05	4.139409615695336164e+00	3.192356314254865283e+05
5.800000000000000000e+01	9.545618767745715741e+04	3.696978419413667449e+00	2.495384703528721293e+05
5.900000000000000000e+01	8.487342926860623993e+04	3.334374572377342361e+00	2.001119567312621220e+05
6.000000000000000000e+01	7.640454705615920830e+04	3.033144627426210604e+00	1.638701299185654207e+05
6.100000000000000000e+01	6.947132840293667687e+04	2.779684938146317563e+00	1.365492505221865431e+05
6.200000000000000000e+01	6.368955780074192444e+04	2.563914481494850683e+00	1.154677335065839434e+05
6.300000000000000000e+01	5.879391420514082711e+04	2.378282140078822327e+00	9.887478887062222930e+04
6.400000000000000000e+01	5.459501664631032327e+04	2.217059090098929541e+00	8.558964553960201738e+04
6.500000000000000000e+01	5.095405732100880414e+04	2.075841160454038992e+00	7.479371736363321543e+04
6.600000000000000000e+01	4.776688608726574603e+04	1.951198472847062382e+00	6.590558242809816147e+04
6.700000000000000000e+01	4.495378708438904141e+04	1.840426868042828179e+00	5.850332300301066425e+04
6.800000000000000000e+01	4.245270193042542815e+04	1.741369650226421317e+00	5.227503609835000680e+04
6.900000000000000000e+01	4.021458005706157564e+04	1.652288223523605382e+00	4.698618991131662915e+04
7.000000000000000000e+01	3.820013049287698959e+04	1.571767055135731450e+00	4.245778530915770534e+04
7.100000000000000000e+01	3.637751558043123077e+04	1.498643009925758607e+00	3.855137425899881055e+04
7.200000000000000000e+01	3.472065224157232296e+04	1.431952190763427391e+00	3.515850785651481419e+04
7.300000000000000000e+01	3.320797496528215561e+04	1.370889502877004062e+00	3.219330852189710276e+04
7.400000000000000000e+01	3.182149589137057046e+04	1.314777571242096599e+00	2.958709124415594852e+04
7.500000000000000000e+01	3.054609219277468583e+04	1.263042610140380884e+00	2.728438208186589327e+04
7.600000000000000000e+01	2.936895963403313363e+04	1.215195514690016632e+00	2.524002086710889125e+04
7.700000000000000000e+01	2.827918447569999262e+04	1.170816913870458498e+00	2.341692995420759689e+04
7.800000000000000000e+01	2.726740681505055545e+04	1.129545257571166195e+00	2.178446829138571411e+04
7.900000000000000000e+01	2.632555572511318678e+04	1.091067248277264756e+00	2.031715767547339419e+04
8.000000000000000000e+01	2.544663321177527905e+04	1.055110099562497572e+00	1.899366926721155323e+04
8.100000000000000000e+01	2.462454340494554344e+04	1.021435230012961437e+00	1.779606351517311850e+04
8.200000000000000000e+01	7.584880462037773395e+04	9.898330929255133581e-01	3.765948796146276436e+04
8.300000000000000000e+01	2.753877380356277718e+04	9.601189115055243084e-01	1.572000766668620599e+04
8.400000000000000000e+01	2.244905735988633387e+04	9.321291407629979098e-01	1.481737495738035250e+04
8.500000000000000000e+01	2.180695340814560404e+04	9.057185162560134062e-01	1.399104719026788189e+04
8.600000000000000000e+01	2.120059930195484412e+04	8.807575797046391930e-01	1.323170299484220959e+04
8.700000000000000000e+01	2.062709030908364002e+04	8.571305943803335659e-01	1.253092537442196044e+04
8.800000000000000000e+01	2.008382741973155862e+04	8.347337805974208713e-01	1.188196623530819852e+04
8.900000000000000000e+01	1.956847863938152659e+04	8.134738157916289181e-01	1.128024078025435301e+04
