f	1DC-2_dc	2DC-2_dc	3DC-2_dc
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.361865627254379429e-01-9.140453154150379733e-02j)	 (-1.361831311152399138e-01+9.149529596946490151e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.361831311163340663e-01+9.149529596946420762e-02j)	 (6.877758351765100864e-01-4.773292515104901046e-01j)	 (-5.515888221543951975e-01+3.859468058964540815e-01j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.515888221396958446e-01+3.859468058867607798e-01j)	 (5.515892723484551174e-01-3.859247198229338038e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (7.217632898078661652e-02-8.306328901957139854e-02j)	 (-7.217633496439267160e-02+8.324810645475481941e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-7.217633496420020056e-02+8.324810645394800646e-02j)	 (3.646967473433964102e-01-4.204171042995868968e-01j)	 (-2.925203508920317108e-01+3.373994006539315360e-01j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.925203508859438584e-01+3.373994006567551107e-01j)	 (2.925204183096941635e-01-3.373538152810752755e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (4.875431111668417777e-02-6.468753891054095095e-02j)	 (-4.875402377413751848e-02+6.496793673858738960e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-4.875402377400752524e-02+6.496793673758048671e-02j)	 (2.517526767320676928e-01-3.265102129466791459e-01j)	 (-2.029973068829902250e-01+2.618914372190185857e-01j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.029973068856542329e-01+2.618914372212018948e-01j)	 (2.029983656224309818e-01-2.618226740628188942e-01j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (3.859422395422847096e-02-5.175482223978269264e-02j)	 (-3.859185318742124754e-02+5.212995357951152181e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-3.859185318722610503e-02+5.212995357993269185e-02j)	 (2.015650715965509598e-01-2.618983280064450248e-01j)	 (-1.629684951591526265e-01+2.102346249599874040e-01j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-1.629684951607612564e-01+2.102346249540781864e-01j)	 (1.629708476516005256e-01-2.101435057476639112e-01j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (3.359253767443731720e-02-4.335671964895768116e-02j)	 (-3.358761639598729226e-02+4.382525082349569140e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-3.358761639597102056e-02+4.382525082319124743e-02j)	 (1.765669192578034619e-01-2.219216014960713190e-01j)	 (-1.429710038477512435e-01+1.786776699382648936e-01j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.429710038482527867e-01+1.786776699389253653e-01j)	 (1.429743815782626437e-01-1.785648818597792842e-01j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (3.066068648014002793e-02-3.724551210009962449e-02j)	 (-3.065295706911773041e-02+3.780655741314924156e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-3.065295706931939548e-02+3.780655741336316766e-02j)	 (1.611553110281074563e-01-1.917625526245043954e-01j)	 (-1.304905988331138411e-01+1.546511854870311342e-01j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.304905988328675381e-01+1.546511854830851518e-01j)	 (1.304946245433354912e-01-1.545170405122984481e-01j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (2.895172287982768211e-02-3.293081322736779448e-02j)	 (-2.894153172416390890e-02+3.358345370834216193e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.894153172406079694e-02+3.358345370843521943e-02j)	 (1.522946246789884939e-01-1.709271378832246946e-01j)	 (-1.233386833504247770e-01+1.381516949022814356e-01j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-1.233386833528654913e-01+1.381516948997890126e-01j)	 (1.233429018090246854e-01-1.379963246500634511e-01j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (2.773034245509798518e-02-2.977225934241490082e-02j)	 (-2.771821276732330808e-02+3.051607353750989196e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.771821276712660084e-02+3.051607353753368196e-02j)	 (1.454632351900160270e-01-1.558015563071711018e-01j)	 (-1.177288670359574879e-01+1.262059927357886968e-01j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-1.177288670379598029e-01+1.262059927345899890e-01j)	 (1.177328927440175060e-01-1.260292969664354168e-01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (2.676028386515286184e-02-2.734442003962779880e-02j)	 (-2.674670843157827063e-02+2.817933583951524185e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.674670843172874055e-02+2.817933583944959991e-02j)	 (1.396282478159044105e-01-1.439592180727180259e-01j)	 (-1.128643871595524373e-01+1.168130464436352156e-01j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.128643871599007281e-01+1.168130464431807597e-01j)	 (1.128679639430569398e-01-1.166147980309120286e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (2.603744775194427249e-02-2.546189356799834214e-02j)	 (-2.602294823003588331e-02+2.638776026884104980e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.602294823013557093e-02+2.638776026872714439e-02j)	 (1.353483175555004192e-01-1.347022985570508480e-01j)	 (-1.093078993612394273e-01+1.094604049532874324e-01j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.093078993612121991e-01+1.094604049528516143e-01j)	 (1.093108697974037175e-01-1.092404049926735954e-01j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (2.543031875454779961e-02-2.397772936716240783e-02j)	 (-2.541527658264096726e-02+2.499463382362347372e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.541527658257517960e-02+2.499463382353864227e-02j)	 (1.317485884934506690e-01-1.273299327679495718e-01j)	 (-1.063159515054940690e-01+1.035941733646932178e-01j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.063159515056965598e-01+1.035941733644408641e-01j)	 (1.063182697426025003e-01-1.033522034062676481e-01j)
