Frequency [Hz]	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.096721791534409907e-01-4.966105005394063077e-01j)	 (5.659536592427768520e-01+3.935571205719243792e-01j)	 (1.129342564626326512e-01+5.151923620424881944e-01j)	 (1.020582056577348795e-01-1.430340825415363781e+00j)	 (1.020917688775877796e-01+1.488696289334143552e+00j)	 (1.027121360705658126e-01-1.428222232733149966e+00j)	 (1.027725468425739336e-01+1.486488669460155787e+00j)	 (7.785383450435867658e-01-3.882425025977718214e+00j)	 (3.592882245645860895e+00+2.396450459472275973e+00j)	 (7.970475758383154252e-01+4.017033808612163526e+00j)	 (3.355782452276467431e+00-2.351999650070004222e+01j)	 (3.279279298357676176e+00+2.397206230194894161e+01j)	 (4.783694864983537798e+00+7.930761110917887891e+01j)	 (1.537205363740329123e+00-9.529741973848011583e+01j)	 (2.526348968144106664e+02+4.907081613027385458e+01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (1.076765687485316675e-01-4.869651758836824884e-01j)	 (6.843091617041386909e-01+7.815180300987432105e-01j)	 (1.143400386379098271e-01+5.249109633969604172e-01j)	 (1.020222181028270780e-01-1.401187175866094980e+00j)	 (1.020934287502081733e-01+1.517847996457430293e+00j)	 (1.026643373494690037e-01-1.399112062120776434e+00j)	 (1.027882475961048869e-01+1.515596294851812909e+00j)	 (7.605682129669404379e-01-3.807172929933453354e+00j)	 (4.330914624020035575e+00+4.813958887673989828e+00j)	 (7.995153067459610519e-01+4.094235760106699651e+00j)	 (3.251914481756905229e+00-2.325563058146948947e+01j)	 (3.090837601485580066e+00+2.425900249343296977e+01j)	 (-2.322246626880226650e+00+7.954548252039724332e+01j)	 (-5.728048574531713122e+00-8.992912815702176488e+01j)	 (2.442706680397296850e+02-7.259418008042773351e+01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (1.058308244652071545e-01-4.771532369075872082e-01j)	 (8.663447324765801705e-01+1.102093359824642294e+00j)	 (1.159504317829182229e-01+5.347108947410340596e-01j)	 (1.019972109421688061e-01-1.372054833385609518e+00j)	 (1.021104543073776960e-01+1.546978930681847997e+00j)	 (1.026286981635850942e-01-1.370024470664240601e+00j)	 (1.028201139468623293e-01+1.544682347869989814e+00j)	 (7.454315070396638765e-01-3.728643486467179802e+00j)	 (5.549765799829351920e+00+6.901743404904799206e+00j)	 (8.049427810916034431e-01+4.174245158148949919e+00j)	 (3.100524937349437682e+00-2.291186844722966143e+01j)	 (2.827504334923642837e+00+2.461460061605294669e+01j)	 (-7.584601283882179246e+00+8.245001064764505827e+01j)	 (-7.628276025947454464e+00-8.344034553816101152e+01j)	 (1.895979579101900185e+02-1.211334388438495040e+02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (1.041198630455206775e-01-4.672767122491058855e-01j)	 (1.084712742789634587e+00+1.371895759319518682e+00j)	 (1.177090171774672483e-01+5.444990278646236748e-01j)	 (1.020075012040371903e-01-1.342884912511545181e+00j)	 (1.021579223524645003e-01+1.576161082041022121e+00j)	 (1.026281681165610582e-01-1.340900402794861446e+00j)	 (1.028821176990283998e-01+1.573818746870156549e+00j)	 (7.320558234174910917e-01-3.649356961286914558e+00j)	 (7.113983606182045172e+00+8.663328919071744849e+00j)	 (8.123540793404159244e-01+4.255223057725689095e+00j)	 (2.925319562088488201e+00-2.250273858725681109e+01j)	 (2.538747828119333416e+00+2.506138040626920116e+01j)	 (-1.155208838944071736e+01+8.619175973517404543e+01j)	 (-7.204120826047937243e+00-7.810153068951659350e+01j)	 (1.416114677046545296e+02-1.342021986228416779e+02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (1.024788137269870281e-01-4.574045022605321975e-01j)	 (1.293685577721796598e+00+1.573955729582730001e+00j)	 (1.195180948992541486e-01+5.542311051143469225e-01j)	 (1.019484159448761779e-01-1.313720679070270680e+00j)	 (1.021269544278434471e-01+1.605320634955133441e+00j)	 (1.025578994928919713e-01-1.311782318571202977e+00j)	 (1.028650841155335921e-01+1.602932525228246918e+00j)	 (7.192977912643279126e-01-3.569655292846962702e+00j)	 (8.814565352439796442e+00+9.990923720254823337e+00j)	 (8.206327400930172322e-01+4.336545735411268865e+00j)	 (2.747418715666366751e+00-2.201768196131354216e+01j)	 (2.257675598316086329e+00+2.557768093823843714e+01j)	 (-1.475999792675555078e+01+9.012303301591313698e+01j)	 (-5.932690830519680603e+00-7.393431414695442072e+01j)	 (1.055654295653366717e+02-1.310753807417120811e+02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (1.009296357918656739e-01-4.475350017164711480e-01j)	 (1.518382691063626888e+00+1.738661707497932918e+00j)	 (1.214044319048760562e-01+5.638934960406630781e-01j)	 (1.019575975654815059e-01-1.284550353826732216e+00j)	 (1.021755532030338837e-01+1.634508515784941940e+00j)	 (1.025556164907063389e-01-1.282658228502211673e+00j)	 (1.029269770267519785e-01+1.632075151740902452e+00j)	 (7.074006602769744578e-01-3.489670811674077999e+00j)	 (1.069082876642936597e+01+1.097141240432238796e+01j)	 (8.306369487286665576e-01+4.418645319550887685e+00j)	 (2.582381229236117459e+00-2.147252393846994067e+01j)	 (2.019392890542774044e+00+2.618625521373175147e+01j)	 (-1.719373467255372745e+01+9.406955987252253237e+01j)	 (-4.346217830814102179e+00-7.070878199451649948e+01j)	 (7.917250955532182388e+01-1.228114204498247659e+02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (9.940702888986292785e-02-4.376868330784353667e-01j)	 (1.721568403836870598e+00+1.849654525687103090e+00j)	 (1.233117054288427189e-01+5.734949670680981049e-01j)	 (1.019332284857607934e-01-1.255414389490271621e+00j)	 (1.021926430155997295e-01+1.663646451788150626e+00j)	 (1.025203759759498595e-01-1.253568278924509949e+00j)	 (1.029573879215153615e-01+1.661168877808151700e+00j)	 (6.965232526349887099e-01-3.409298875603429035e+00j)	 (1.252186624412938265e+01+1.154353716197963031e+01j)	 (8.415427819019875022e-01+4.501784683973588663e+00j)	 (2.465782659245109532e+00-2.088896484119814900e+01j)	 (1.789918022547820398e+00+2.687606255388838150e+01j)	 (-1.937886544597589378e+01+9.827835228380511978e+01j)	 (-2.790877374384634901e+00-6.802038000119340211e+01j)	 (6.145565002267973398e+01-1.139903534763401041e+02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (9.790841690886752102e-02-4.278485142699841592e-01j)	 (1.902432680616303884e+00+1.939822746501866924e+00j)	 (1.251981530330255610e-01+5.830518773692364709e-01j)	 (1.018993872394867856e-01-1.226257689952517049e+00j)	 (1.021923481863622335e-01+1.692808530904142961e+00j)	 (1.024758245158922249e-01-1.224457655974343417e+00j)	 (1.029711741557184784e-01+1.690287773418311712e+00j)	 (6.861467237917547868e-01-3.328689151045610917e+00j)	 (1.428817993749539461e+01+1.185017019462155297e+01j)	 (8.545118067036298060e-01+4.584622937358129313e+00j)	 (2.388619538694200628e+00-2.026983218619411886e+01j)	 (1.668901837400661892e+00+2.759467923648549004e+01j)	 (-2.138306724783221213e+01+1.018991719092989285e+02j)	 (-1.453457106315783953e+00-6.582673522577628944e+01j)	 (4.783615757438085581e+01-1.042088088589154751e+02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (9.642754491207208845e-02-4.179899948910962837e-01j)	 (2.070126095567480728e+00+2.020456428720982966e+00j)	 (1.270991862321422805e-01+5.926065121156899318e-01j)	 (1.018856817806723797e-01-1.197062753198434804e+00j)	 (1.021963254504656554e-01+1.722031093826483561e+00j)	 (1.024520237423795083e-01-1.195309273405199546e+00j)	 (1.029901439726858270e-01+1.719467559550418745e+00j)	 (6.770095017677864035e-01-3.247976567339531329e+00j)	 (1.598718120031138668e+01+1.196528427632565794e+01j)	 (8.690358184542847919e-01+4.667761239843539300e+00j)	 (2.369754950491434808e+00-1.964920862169501703e+01j)	 (1.606286600531797726e+00+2.835283075492410987e+01j)	 (-2.344247043926391783e+01+1.057004283186598030e+02j)	 (-2.746248093799940615e-01-6.383134904440578339e+01j)	 (3.781866311432681016e+01-9.564654361361756685e+01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (9.495457297089274218e-02-4.081358583946195218e-01j)	 (2.221957692036841348e+00+2.079974396900602596e+00j)	 (1.289879617382217181e-01+6.021359919309159370e-01j)	 (1.018504634970365252e-01-1.167906982577567643e+00j)	 (1.021970201120170896e-01+1.751189885255197032e+00j)	 (1.024070128245928996e-01-1.166200415110179245e+00j)	 (1.030070306875706665e-01+1.748583803114059920e+00j)	 (6.685909213975612664e-01-3.167570882075725791e+00j)	 (1.758715988011713804e+01+1.186151577766507081e+01j)	 (8.848809182783622385e-01+4.749759173001309343e+00j)	 (2.393831057015145092e+00-1.904003391716261362e+01j)	 (1.620935764314780148e+00+2.908531041727421496e+01j)	 (-2.582729855262150309e+01+1.093996244885913285e+02j)	 (7.032767262974324307e-01-6.197239969527888803e+01j)	 (3.027250417229924651e+01-8.765066271623875593e+01j)
