f	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.029946005813745614e+03+3.461033420757812564e+02j)	 (-4.648762127400870668e+03-3.072756980444972896e+02j)	 (-2.183578817511060777e+02+1.501277758299295328e+01j)	 (-1.909814560387495135e+02-1.299553861803997101e+01j)	 (-1.119278433899989800e+01-5.406042294746325894e+01j)	 (2.603854263051043616e-01-1.252655266595785188e-01j)	 (-2.559670843030337761e-01+1.335236440854043471e-01j)	 (1.018837297048460627e-01-1.067908428060903615e-02j)	 (-1.033740413334551661e-01+8.333383450846583787e-03j)	 (2.488994653823055347e-02-2.312400879266693788e-03j)	 (-2.381214024155214187e-02+1.494217526753600532e-03j)	 (1.635595157744459613e-02+2.516713173887287231e-03j)	 (-1.649683255364321754e-02-2.550735194760429727e-03j)	 (-7.445437603995299150e-03+3.886361821068072542e-03j)	 (3.760281411397707542e-04+1.717426458421411704e-03j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.237966017381646452e+03+3.667198786849462522e+02j)	 (-4.474829498954229166e+03-2.888832450372705694e+02j)	 (-2.364766558986306961e+02+1.539583520165400898e+01j)	 (-1.784584257814670707e+02-1.106386536885320204e+01j)	 (6.062206724874827479e+00-2.623956558040559273e+01j)	 (2.099059748731446073e-01-2.020847183071528830e-01j)	 (-1.922747747951206732e-01+1.987395342510532570e-01j)	 (9.746235813904956247e-02-1.957291656525363133e-02j)	 (-1.000417637653497338e-01+1.476275106060286058e-02j)	 (2.338545736439277475e-02-5.233234981298278549e-03j)	 (-1.926034571128465780e-02+6.499461670409842221e-04j)	 (1.482766016100388329e-02+4.827841036297159973e-03j)	 (-1.493127557176408479e-02-5.055044785673093281e-03j)	 (-1.984612928293921080e-02+1.469287020450531916e-02j)	 (-1.329867772636099616e-03+3.595313342253076729e-03j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.460233894960113503e+03+3.880301243650526430e+02j)	 (-4.310197022973728053e+03-2.705080748609022407e+02j)	 (-2.575070004746882546e+02+1.646721116403281115e+01j)	 (-1.667707083375913157e+02-9.595312521664631333e+00j)	 (9.509938709914031563e+00-1.728555315571669837e+01j)	 (1.621988310556523594e-01-2.528327485993847601e-01j)	 (-1.381760379701235941e-01+2.317620121973263114e-01j)	 (9.271704254667614831e-02-2.693576090341309043e-02j)	 (-9.588086136133164294e-02+1.879653879330537777e-02j)	 (2.237693852049886523e-02-7.226295422873859828e-03j)	 (-2.098584312272430002e-02+1.283666183135727216e-03j)	 (1.319288986614687055e-02+6.603058588548841798e-03j)	 (-1.269492486255985840e-02-6.316680667020822988e-03j)	 (-2.897486541800105633e-02+2.687638416576737521e-02j)	 (-3.729895843442070525e-03+6.067269265683574234e-03j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.698418023400990023e+03+4.108414731519596899e+02j)	 (-4.153382181908700659e+03-2.529086876940458239e+02j)	 (-2.816890638071528201e+02+1.816975287497632863e+01j)	 (-1.561046469512982071e+02-8.526725745544458945e+00j)	 (1.077514257511967877e+01-1.285858281189368135e+01j)	 (1.168026125823985462e-01-2.863294502135760866e-01j)	 (-9.246359001188228510e-02+2.473085716526073896e-01j)	 (8.783947256702004380e-02-3.315553964239861123e-02j)	 (-9.247165461511004658e-02+2.177779874849139485e-02j)	 (2.160592441465764013e-02-8.873365409540010657e-03j)	 (-2.042871871999404898e-02+2.989466000303901087e-03j)	 (1.208701448880786233e-02+8.082718066086449701e-03j)	 (-1.107038164336355233e-02-6.834227255615934679e-03j)	 (-4.084371567931413538e-02+4.015778683102546459e-02j)	 (-6.535174482965078017e-03+9.531374384012563511e-03j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.953938906271286214e+03+4.354997652777788062e+02j)	 (-4.004167143583489633e+03-2.363433346414550158e+02j)	 (-3.096369699829654678e+02+2.038971470336872471e+01j)	 (-1.464351171343617466e+02-7.691277203321704725e+00j)	 (1.142331681004214694e+01-1.026759965250323248e+01j)	 (7.605323436676869608e-02-3.081088460355179137e-01j)	 (-5.480687864593775799e-02+2.509988571435187166e-01j)	 (8.375557159870067325e-02-3.871396137748953775e-02j)	 (-8.951297618031715808e-02+2.461604102833724050e-02j)	 (2.089144217065498285e-02-1.041089800502598486e-02j)	 (-1.922579990148979082e-02+3.296195965960958384e-03j)	 (1.146079560956085250e-02+9.462305698922379021e-03j)	 (-1.010582952475376842e-02-6.942372533961896006e-03j)	 (-5.351159582293820577e-02+5.551558829644728799e-02j)	 (-8.529299449798142044e-03+1.405398917194830566e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.228178756698919642e+03+4.631303965101161566e+02j)	 (-3.861737589221575945e+03-2.214352130761708679e+02j)	 (-3.423060819418985830e+02+2.324486739470904340e+01j)	 (-1.376577126053929589e+02-7.050087621622326495e+00j)	 (1.184818090640032651e+01-8.528492689872154031e+00j)	 (4.303662295027893547e-02-3.194043959614175088e-01j)	 (-2.730914949790852822e-02+2.464396365656363330e-01j)	 (7.902994631653571800e-02-4.310424958761251840e-02j)	 (-8.690530797016778053e-02+2.766564408404987088e-02j)	 (1.996143598270754341e-02-1.181832680552297871e-02j)	 (-1.910888042896350877e-02+3.320911815923145195e-03j)	 (1.147223305486955516e-02+1.070968099169601964e-02j)	 (-9.442229551890949507e-03-6.612658309556631621e-03j)	 (-6.646225394344604243e-02+7.313449638104400907e-02j)	 (-8.851376874226312211e-03+1.844714353766357257e-02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.522101556925998011e+03+4.942435679980311534e+02j)	 (-3.726003472824497749e+03-2.075536238633328310e+02j)	 (-3.810599534009439253e+02+2.676875912418643466e+01j)	 (-1.296423496510475388e+02-6.510785373835512146e+00j)	 (1.209179687132220060e+01-7.293288961632375944e+00j)	 (1.299744211882747358e-02-3.235958020610906760e-01j)	 (-8.556002446417082172e-03+2.366431453129748952e-01j)	 (7.255022199827096396e-02-4.829965803316206563e-02j)	 (-8.383077863686554110e-02+3.028296715954012161e-02j)	 (1.876427047178833019e-02-1.329278501322229099e-02j)	 (-1.942180589546061917e-02+3.337574356860727003e-03j)	 (1.226413690207044625e-02+1.203827411043818969e-02j)	 (-9.094304689895331070e-03-5.584214267504244988e-03j)	 (-7.802852083375272363e-02+9.210822465121895619e-02j)	 (-8.396764747013188424e-03+2.142834924007154876e-02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.837970203250091799e+03+5.292495926213462099e+02j)	 (-3.596824022539361067e+03-1.956100638599239119e+02j)	 (-4.277632490406852526e+02+3.109718869780827788e+01j)	 (-1.223422378913520276e+02-6.031035263082997311e+00j)	 (1.232349849992620605e+01-6.385874782416429696e+00j)	 (-7.804395257842600131e-03-3.285953080342963739e-01j)	 (1.738027732962311349e-03+2.275135480173047786e-01j)	 (6.656063866373689020e-02-5.146806457062697016e-02j)	 (-8.037760910677767268e-02+3.336299743419577496e-02j)	 (1.746385465639982773e-02-1.429184889760989376e-02j)	 (-1.978748039297439573e-02+3.950392480232746417e-03j)	 (1.360707726005739963e-02+1.249730747882692172e-02j)	 (-8.538543041005052653e-03-4.487573603711905897e-03j)	 (-8.979968121776105150e-02+1.129665654338473657e-01j)	 (-8.271131900811580853e-03+2.332897559126387646e-02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (-7.177249309481808268e+03+5.690954533455276305e+02j)	 (-3.473741866763647067e+03-1.850117188045055343e+02j)	 (-4.852966546411701643e+02+3.655243850526906613e+01j)	 (-1.156144468601675044e+02-5.608658661020966107e+00j)	 (1.249403157887876681e+01-5.670663025149582204e+00j)	 (-2.650955308499264307e-02-3.322856243388970787e-01j)	 (6.182097748645152928e-03+2.186014057295049273e-01j)	 (5.925449468716505880e-02-5.376405631241453625e-02j)	 (-7.649967858965736611e-02+3.535544625544165959e-02j)	 (1.604555655717780638e-02-1.516415300275106466e-02j)	 (-2.054587175681411165e-02+4.671053965061570251e-03j)	 (1.539005849013253512e-02+1.205342232315038432e-02j)	 (-7.567798655110167215e-03-3.177877511009183711e-03j)	 (-1.011189114927774496e-01+1.358693566928706187e-01j)	 (-8.890192193776886784e-03+2.465265701992470221e-02j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (-7.541553057618668390e+03+6.139158716650538281e+02j)	 (-3.357058784862055290e+03-1.757659093842962648e+02j)	 (-5.577820395249375451e+02+4.350999953478754634e+01j)	 (-1.094162148041873905e+02-5.214954762990401171e+00j)	 (1.265391301729007267e+01-5.110728961082320332e+00j)	 (-4.377792956331910679e-02-3.389407649709312298e-01j)	 (8.966084919653208654e-03+2.111871692250984478e-01j)	 (5.242959624683356246e-02-5.483091168585846331e-02j)	 (-7.229132766280370326e-02+3.685361598563739738e-02j)	 (1.472426847596509415e-02-1.580089093575597070e-02j)	 (-2.116957799916553695e-02+6.049092245924776040e-03j)	 (1.655273331916766108e-02+1.061884004655054559e-02j)	 (-6.419868500770581701e-03-2.220847411233871794e-03j)	 (-1.129498186225243311e-01+1.613626510771160039e-01j)	 (-1.008130967280794488e-02+2.581670288646209163e-02j)
