f	Passivity_index
1.000000000000000000e+00	2.643032602123782893e-07
2.000000000000000000e+00	4.097575860966384680e-08
3.000000000000000000e+00	2.597891555117749551e-07
4.000000000000000000e+00	2.593388442599715973e-07
5.000000000000000000e+00	2.556491977580049025e-07
6.000000000000000000e+00	2.552187812094399112e-07
7.000000000000000000e+00	2.533281265586651704e-07
8.000000000000000000e+00	2.508337576222390851e-07
9.000000000000000000e+00	2.489683324040446913e-07
1.000000000000000000e+01	2.465511156434767047e-07
1.100000000000000000e+01	2.448077023527786960e-07
1.200000000000000000e+01	2.445786982213892386e-07
1.300000000000000000e+01	2.412077528179647605e-07
1.400000000000000000e+01	2.411188668281065721e-07
1.500000000000000000e+01	2.396739518488598520e-07
1.600000000000000000e+01	2.376993154969502276e-07
1.700000000000000000e+01	2.364147796478786488e-07
1.800000000000000000e+01	2.346952792558985840e-07
1.900000000000000000e+01	2.337499471131421662e-07
2.000000000000000000e+01	2.343970140715064443e-07
2.100000000000000000e+01	2.320609696270006504e-07
2.200000000000000000e+01	2.330896597553611507e-07
2.300000000000000000e+01	2.329291246212155854e-07
2.400000000000000000e+01	2.323773053077283782e-07
2.500000000000000000e+01	2.326388077921129299e-07
2.600000000000000000e+01	2.326398309924726760e-07
2.700000000000000000e+01	2.335644317885128319e-07
2.800000000000000000e+01	2.361954777452431070e-07
2.900000000000000000e+01	2.360318924530730109e-07
3.000000000000000000e+01	2.393068276244781848e-07
3.100000000000000000e+01	2.415290482936793001e-07
3.200000000000000000e+01	2.434215368633613124e-07
3.300000000000000000e+01	2.461060975649035322e-07
3.400000000000000000e+01	2.484979753744087275e-07
3.500000000000000000e+01	2.516554521338996410e-07
3.600000000000000000e+01	2.561826364315500930e-07
3.700000000000000000e+01	2.575210206716980669e-07
3.800000000000000000e+01	2.615934495589884014e-07
3.900000000000000000e+01	2.637911471443945403e-07
4.000000000000000000e+01	2.645301619557358108e-07
4.100000000000000000e+01	2.646901556585521316e-07
4.200000000000000000e+01	2.631623591282016820e-07
4.300000000000000000e+01	2.612055019387858652e-07
4.400000000000000000e+01	2.602543529501474845e-07
4.500000000000000000e+01	2.576786298096158673e-07
4.600000000000000000e+01	2.619698134894838951e-07
4.700000000000000000e+01	2.689018141793260814e-07
4.800000000000000000e+01	2.662954192559910926e-07
4.900000000000000000e+01	2.381105192252621747e-07
5.100000000000000000e+01	-3.489024366745775187e-07
5.200000000000000000e+01	2.656647365439244691e-07
5.300000000000000000e+01	2.691797078287607276e-07
5.400000000000000000e+01	2.604904263822527164e-07
5.500000000000000000e+01	2.590900482899465657e-07
5.600000000000000000e+01	2.601416193796502738e-07
5.700000000000000000e+01	2.618491157486790793e-07
5.800000000000000000e+01	2.637223628004722081e-07
5.900000000000000000e+01	2.641210737537892177e-07
6.000000000000000000e+01	2.639487376313111278e-07
6.100000000000000000e+01	2.639717146147817254e-07
6.200000000000000000e+01	2.602181493275340277e-07
6.300000000000000000e+01	2.588661921824649705e-07
6.400000000000000000e+01	2.559593267146765986e-07
6.500000000000000000e+01	2.522720477390829747e-07
6.600000000000000000e+01	2.490414522308882492e-07
6.700000000000000000e+01	2.455297567599528952e-07
6.800000000000000000e+01	2.428572207369037015e-07
6.900000000000000000e+01	2.416936786774157544e-07
7.000000000000000000e+01	2.379314496372344029e-07
7.100000000000000000e+01	2.373820906592358530e-07
7.200000000000000000e+01	2.359544032315585609e-07
7.300000000000000000e+01	2.342085822157131085e-07
7.400000000000000000e+01	2.331852712272475944e-07
7.500000000000000000e+01	2.320658840150795003e-07
7.600000000000000000e+01	2.318472777767385006e-07
7.700000000000000000e+01	2.330849580767037358e-07
7.800000000000000000e+01	2.317248611693096215e-07
7.900000000000000000e+01	2.334149089002722103e-07
8.000000000000000000e+01	2.341487382134158442e-07
8.100000000000000000e+01	2.344240139856595004e-07
8.200000000000000000e+01	2.352429513043358593e-07
8.300000000000000000e+01	2.358444911550137114e-07
8.400000000000000000e+01	2.371969618258763081e-07
8.500000000000000000e+01	2.398213078859781085e-07
8.600000000000000000e+01	2.397586996383049871e-07
8.700000000000000000e+01	2.425611845357716091e-07
8.800000000000000000e+01	2.443222754090476163e-07
8.900000000000000000e+01	2.455054819238903858e-07
9.000000000000000000e+01	2.470965940109952969e-07
9.100000000000000000e+01	2.483967017881036720e-07
9.200000000000000000e+01	2.503547115145868138e-07
9.300000000000000000e+01	2.534652411643373629e-07
9.400000000000000000e+01	2.538593529183404722e-07
9.500000000000000000e+01	2.569997039208970456e-07
9.600000000000000000e+01	2.590717372000009473e-07
9.700000000000000000e+01	2.605070992294371443e-07
9.800000000000000000e+01	2.622657017086866338e-07
9.900000000000000000e+01	2.636758212703793992e-07
1.000000000000000000e+02	2.657564398243880692e-07
1.020000000000000000e+02	2.709448932543238436e-07
1.030000000000000000e+02	2.712524310170912465e-07
1.040000000000000000e+02	2.744608259773644896e-07
1.050000000000000000e+02	2.765189170012644938e-07
1.060000000000000000e+02	2.778565863642114402e-07
1.070000000000000000e+02	2.795013369397381197e-07
1.080000000000000000e+02	2.808026802262706182e-07
1.090000000000000000e+02	2.827749779699999878e-07
1.100000000000000000e+02	2.859087178782190611e-07
1.120000000000000000e+02	2.878211477361106716e-07
1.130000000000000000e+02	2.908703812063073836e-07
1.140000000000000000e+02	2.927698574438383867e-07
1.150000000000000000e+02	2.939220003586130800e-07
1.160000000000000000e+02	2.953405031036620836e-07
1.170000000000000000e+02	2.963561384164744613e-07
1.190000000000000000e+02	2.997948856256376975e-07
1.200000000000000000e+02	3.029423829237907518e-07
1.210000000000000000e+02	3.025762751715856221e-07
1.220000000000000000e+02	3.056617315995652618e-07
1.230000000000000000e+02	3.074116937580055211e-07
1.250000000000000000e+02	3.097612324617202649e-07
1.260000000000000000e+02	3.109501503583104248e-07
1.270000000000000000e+02	3.118803714091642216e-07
1.280000000000000000e+02	3.134733276345087401e-07
1.290000000000000000e+02	3.161432467694243936e-07
1.310000000000000000e+02	3.173300243763871677e-07
1.320000000000000000e+02	3.199208499535801940e-07
1.330000000000000000e+02	3.214570689149176878e-07
1.340000000000000000e+02	3.222544864226032507e-07
1.360000000000000000e+02	3.245742559166378570e-07
1.370000000000000000e+02	3.253429586245607067e-07
1.380000000000000000e+02	3.267730927920964551e-07
1.390000000000000000e+02	3.292392811104053857e-07
1.410000000000000000e+02	3.301362392764397695e-07
1.420000000000000000e+02	3.325339421880865575e-07
1.430000000000000000e+02	3.339286156880715230e-07
1.440000000000000000e+02	3.345916197078523880e-07
1.460000000000000000e+02	3.365931320176622293e-07
1.470000000000000000e+02	3.371749452950296081e-07
1.480000000000000000e+02	3.385044604115726731e-07
1.490000000000000000e+02	3.409637261278086628e-07
1.510000000000000000e+02	3.414491455460530233e-07
1.520000000000000000e+02	3.438468168877134410e-07
1.530000000000000000e+02	3.451614293892680172e-07
1.550000000000000000e+02	3.467107077742354776e-07
1.560000000000000000e+02	3.473964098278609362e-07
1.570000000000000000e+02	3.478263031343505373e-07
1.590000000000000000e+02	3.501129966719088508e-07
1.600000000000000000e+02	3.525798559858464551e-07
1.610000000000000000e+02	3.517166531719694041e-07
1.620000000000000000e+02	3.541469801751942944e-07
1.640000000000000000e+02	3.563941527166591220e-07
1.650000000000000000e+02	3.567585951354322155e-07
1.660000000000000000e+02	3.573262419618553641e-07
1.680000000000000000e+02	3.586520879498442701e-07
1.690000000000000000e+02	3.598604535827945043e-07
1.710000000000000000e+02	3.631424247827219307e-07
1.720000000000000000e+02	3.622636464207931107e-07
1.730000000000000000e+02	3.645755539821584869e-07
1.750000000000000000e+02	3.667103200625011605e-07
1.760000000000000000e+02	3.670358877522333827e-07
1.770000000000000000e+02	3.675193603998965952e-07
1.790000000000000000e+02	3.687299573311587505e-07
1.800000000000000000e+02	3.699077080463816239e-07
1.810000000000000000e+02	3.722322448309392477e-07
1.830000000000000000e+02	3.721571375939995452e-07
1.840000000000000000e+02	3.744377259264887299e-07
1.860000000000000000e+02	3.765157623489348702e-07
1.870000000000000000e+02	3.767953652438070591e-07
1.880000000000000000e+02	3.772172254509631248e-07
1.900000000000000000e+02	3.783806684130543117e-07
1.910000000000000000e+02	3.795379432288791271e-07
1.920000000000000000e+02	3.817826208664566265e-07
1.940000000000000000e+02	3.817036120186948741e-07
1.950000000000000000e+02	3.839075082014855413e-07
1.970000000000000000e+02	3.859505453026927328e-07
1.980000000000000000e+02	3.862290298409161085e-07
1.990000000000000000e+02	3.866490125170407702e-07
2.010000000000000000e+02	3.878935920802784688e-07
2.020000000000000000e+02	3.889989182619526632e-07
2.040000000000000000e+02	3.917731961815857254e-07
2.050000000000000000e+02	3.911851363458668811e-07
2.070000000000000000e+02	3.939338308959903971e-07
2.080000000000000000e+02	3.950778279051313277e-07
2.090000000000000000e+02	3.954665715173087320e-07
2.110000000000000000e+02	3.966956264504038014e-07
2.120000000000000000e+02	3.969966215973245039e-07
2.140000000000000000e+02	3.990059054839953068e-07
2.150000000000000000e+02	4.011668809349698396e-07
2.170000000000000000e+02	4.011075126215403334e-07
2.180000000000000000e+02	4.032346308305492147e-07
2.200000000000000000e+02	4.052943697718934134e-07
2.210000000000000000e+02	4.055907898102039788e-07
2.220000000000000000e+02	4.059455658268218523e-07
2.240000000000000000e+02	4.071751730538986490e-07
2.250000000000000000e+02	4.083269139012679139e-07
2.270000000000000000e+02	4.111310797223003042e-07
2.280000000000000000e+02	4.104917659834969582e-07
2.300000000000000000e+02	4.132777885786482040e-07
2.310000000000000000e+02	4.144794423150954926e-07
2.330000000000000000e+02	4.157228647600097676e-07
2.340000000000000000e+02	4.161048999377638445e-07
2.360000000000000000e+02	4.173864286842646280e-07
2.370000000000000000e+02	4.185575249429919619e-07
2.390000000000000000e+02	4.213270057323846189e-07
2.400000000000000000e+02	4.207750357504344798e-07
2.420000000000000000e+02	4.235299435849804746e-07
2.430000000000000000e+02	4.247547060696741903e-07
2.450000000000000000e+02	4.260613234474964261e-07
2.460000000000000000e+02	4.264555138352804685e-07
2.480000000000000000e+02	4.278039206773703799e-07
2.490000000000000000e+02	4.290003818916956139e-07
2.510000000000000000e+02	4.317490848872509160e-07
2.520000000000000000e+02	4.312926178706142484e-07
2.540000000000000000e+02	4.340298915217345010e-07
2.550000000000000000e+02	4.352830291085977171e-07
2.570000000000000000e+02	4.366662574865641864e-07
2.580000000000000000e+02	4.370810827871609538e-07
2.600000000000000000e+02	4.385092827888631349e-07
