f	Passivity_index
1.000000000000000000e+00	-3.160341784446824877e-03
2.000000000000000000e+00	-3.476960053538757055e-03
3.000000000000000000e+00	-3.865388893698863161e-03
4.000000000000000000e+00	-4.094403987273605681e-03
5.000000000000000000e+00	-4.224667832912463485e-03
6.000000000000000000e+00	-4.274626865782456264e-03
7.000000000000000000e+00	-4.280058093220700903e-03
8.000000000000000000e+00	-4.291437713899868417e-03
9.000000000000000000e+00	-4.273342060800800445e-03
1.000000000000000000e+01	-4.264988072841400385e-03
1.100000000000000000e+01	-4.252816081810885732e-03
1.200000000000000000e+01	-4.236912668173089570e-03
1.300000000000000000e+01	-4.216400788008284849e-03
1.400000000000000000e+01	-4.190869673026986417e-03
1.500000000000000000e+01	-4.160805128495989082e-03
1.600000000000000000e+01	-4.127535958598345552e-03
1.700000000000000000e+01	-4.091513661376769070e-03
1.800000000000000000e+01	-4.053940946104538263e-03
1.900000000000000000e+01	-4.015195717915480585e-03
2.000000000000000000e+01	-3.976388179794592380e-03
2.100000000000000000e+01	-3.938112850994953014e-03
2.200000000000000000e+01	-3.899852335918171844e-03
2.300000000000000000e+01	-3.862049184399124219e-03
2.400000000000000000e+01	-3.824064164141150173e-03
2.500000000000000000e+01	-3.784525321912206915e-03
2.600000000000000000e+01	-3.740156199085260987e-03
2.700000000000000000e+01	-3.686419082614071641e-03
2.800000000000000000e+01	-3.615529584295450270e-03
2.900000000000000000e+01	-3.515755358834359977e-03
3.000000000000000000e+01	-3.372393597480015555e-03
3.100000000000000000e+01	-3.173108954057577737e-03
3.200000000000000000e+01	-2.918772431882624748e-03
3.300000000000000000e+01	-2.644195016669519289e-03
3.400000000000000000e+01	-2.414723219772038371e-03
3.500000000000000000e+01	-2.284215043676859902e-03
3.600000000000000000e+01	-2.202455232064657285e-03
3.700000000000000000e+01	-2.044716814202184214e-03
3.800000000000000000e+01	-1.817457954449498789e-03
3.900000000000000000e+01	-1.605749134893541281e-03
4.000000000000000000e+01	-1.443979326501997713e-03
4.100000000000000000e+01	-1.326259731030172799e-03
4.200000000000000000e+01	-1.234773878071303808e-03
4.300000000000000000e+01	-1.161657426590753141e-03
4.400000000000000000e+01	-1.106350524134302668e-03
4.500000000000000000e+01	-1.054046711636717325e-03
4.600000000000000000e+01	-1.014027766498299321e-03
4.700000000000000000e+01	-9.738818300743004282e-04
4.800000000000000000e+01	-9.388626755868030235e-04
4.900000000000000000e+01	-9.073413748414222097e-04
5.100000000000000000e+01	-8.564526062894254081e-04
