f	Passivity_index
1.000000000000000000e+00	-1.535018935676546285e-02
2.000000000000000000e+00	-1.590295536040783192e-02
3.000000000000000000e+00	-1.665441539890135172e-02
4.000000000000000000e+00	-1.725138292985076843e-02
5.000000000000000000e+00	-1.756470458883648347e-02
6.000000000000000000e+00	-1.761976793230492569e-02
7.000000000000000000e+00	-1.746964924956583357e-02
8.000000000000000000e+00	-1.713510987761022314e-02
9.000000000000000000e+00	-1.668726806441941587e-02
1.000000000000000000e+01	-1.613486838100074497e-02
1.100000000000000000e+01	-1.550986511352209912e-02
1.200000000000000000e+01	-1.483191865753747708e-02
1.300000000000000000e+01	-1.411807703364072360e-02
1.400000000000000000e+01	-1.338186266105083691e-02
1.500000000000000000e+01	-1.263348217297483034e-02
1.600000000000000000e+01	-1.188273737569144929e-02
1.700000000000000000e+01	-1.113754733642558295e-02
1.800000000000000000e+01	-1.040369720134134979e-02
1.900000000000000000e+01	-9.686172368613540570e-03
2.000000000000000000e+01	-9.241704745026684334e-03
2.100000000000000000e+01	-9.280405965952866557e-03
2.200000000000000000e+01	-9.320234303257013408e-03
2.300000000000000000e+01	-9.359471102900309217e-03
2.400000000000000000e+01	-9.395174916682229316e-03
2.500000000000000000e+01	-9.422055940189346876e-03
2.600000000000000000e+01	-9.431165651843780376e-03
2.700000000000000000e+01	-9.406660610709450740e-03
2.800000000000000000e+01	-9.320810879459353118e-03
2.900000000000000000e+01	-9.125879070293900844e-03
3.000000000000000000e+01	-8.977064523825777770e-03
3.100000000000000000e+01	-9.316766201136375547e-03
3.200000000000000000e+01	-9.726203384417951570e-03
3.300000000000000000e+01	-1.015076523898522827e-02
3.400000000000000000e+01	-1.047489434762748431e-02
3.500000000000000000e+01	-1.053452917831603809e-02
3.600000000000000000e+01	-1.024373970212575161e-02
3.700000000000000000e+01	-9.693757546654128976e-03
3.800000000000000000e+01	-9.071965163736076324e-03
3.900000000000000000e+01	-8.500205636597301176e-03
4.000000000000000000e+01	-8.016546697712919820e-03
4.100000000000000000e+01	-7.619831079496311964e-03
4.200000000000000000e+01	-7.294727536160124960e-03
4.300000000000000000e+01	-7.026784309707786655e-03
4.400000000000000000e+01	-6.802362364404469439e-03
4.500000000000000000e+01	-6.612262498244403028e-03
4.600000000000000000e+01	-6.449362070225184325e-03
4.700000000000000000e+01	-6.307564624013248938e-03
4.800000000000000000e+01	-6.183715293786334888e-03
4.900000000000000000e+01	-6.073873507122479892e-03
5.100000000000000000e+01	-5.888900386524577833e-03
5.200000000000000000e+01	-5.810438215081144969e-03
5.300000000000000000e+01	-5.739797224601976382e-03
5.400000000000000000e+01	-5.675862080270417317e-03
5.500000000000000000e+01	-5.716452719096868328e-03
5.600000000000000000e+01	-5.794133511927198471e-03
5.700000000000000000e+01	-5.870411980015899020e-03
5.800000000000000000e+01	-5.945498458437535778e-03
5.900000000000000000e+01	-6.018616102148994194e-03
6.000000000000000000e+01	-6.089138982155170576e-03
6.100000000000000000e+01	-6.155830795616237978e-03
6.200000000000000000e+01	-6.217961291041969318e-03
6.300000000000000000e+01	-6.274353267768971801e-03
6.400000000000000000e+01	-6.323456209791747211e-03
