Frequency [Hz]	0.0+det[I + L(s)]
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.451060338157653320e+12-4.991741957932442188e+13j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (8.860954978261355469e+12-2.485673792381678906e+13j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (1.168980143933339844e+13-1.697328944147252734e+13j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (1.284002989038114844e+13-1.315790683760122461e+13j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (1.365988914664663477e+13-1.110883417544122852e+13j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (1.451514528516599609e+13-9.710783895424828125e+12j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (1.517111930864739453e+13-8.750389704138265625e+12j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (1.625287860461858203e+13-8.112266016695026367e+12j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (1.746845058398784180e+13-7.607790375958282227e+12j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (1.910871779667908594e+13-7.326746306287053711e+12j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (2.129149414000921875e+13-7.208064076627777344e+12j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (2.429090886036719922e+13-7.255484503066554688e+12j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (2.860849784724798047e+13-7.494061219893734375e+12j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (3.530047338736027344e+13-8.017595816509942383e+12j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (4.696681921007757812e+13-9.092690453808212891e+12j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (7.216293974298189062e+13-1.179108011639817383e+13j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (1.654250904516104375e+14-2.588354627878252734e+13j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (-4.521566877363340625e+14-5.648164506113356250e+13j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (-9.408698276213431250e+13-3.854759184798278320e+12j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (-5.168676196878592969e+13-4.316813439263324707e+12j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (-3.540754872677728125e+13-5.054908158636195312e+12j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)	 (-2.685245214146526953e+13-5.752228731443958984e+12j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)	 (-2.162420187294165625e+13-6.442397956993928711e+12j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)	 (-1.813210340813648438e+13-7.181069569542943359e+12j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)	 (-1.567141476121117773e+13-8.019412504306477539e+12j)
 (2.600000000000000000e+01+0.000000000000000000e+00j)	 (-1.386802307127183203e+13-9.018624367640013672e+12j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)	 (-1.252857576061562891e+13-1.024715191539924023e+13j)
 (2.800000000000000000e+01+0.000000000000000000e+00j)	 (-1.157056668877457617e+13-1.181479331026936719e+13j)
 (2.900000000000000000e+01+0.000000000000000000e+00j)	 (-1.095380581989746094e+13-1.391730827482928906e+13j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)	 (-1.077230287575279492e+13-1.678706382766279492e+13j)
 (3.100000000000000000e+01+0.000000000000000000e+00j)	 (-1.126667316372789062e+13-2.092111941982181641e+13j)
 (3.200000000000000000e+01+0.000000000000000000e+00j)	 (-1.324673862476929297e+13-2.709388308115389453e+13j)
 (3.300000000000000000e+01+0.000000000000000000e+00j)	 (-1.894584795266620312e+13-3.627475862991588281e+13j)
 (3.400000000000000000e+01+0.000000000000000000e+00j)	 (-3.412150307900503906e+13-4.828121937565889844e+13j)
 (3.500000000000000000e+01+0.000000000000000000e+00j)	 (-6.946728702338221875e+13-5.273015358763822656e+13j)
 (3.600000000000000000e+01+0.000000000000000000e+00j)	 (-1.152972403811097188e+14-1.460788537610415820e+13j)
 (3.700000000000000000e+01+0.000000000000000000e+00j)	 (-1.006306441830557969e+14+5.840327102881189844e+13j)
 (3.800000000000000000e+01+0.000000000000000000e+00j)	 (-4.497317623564042969e+13+7.481347932074376562e+13j)
 (3.900000000000000000e+01+0.000000000000000000e+00j)	 (-1.686659972366287695e+13+5.881021099921619531e+13j)
 (4.000000000000000000e+01+0.000000000000000000e+00j)	 (-8.208262723373665039e+12+4.476996576064789062e+13j)
 (4.100000000000000000e+01+0.000000000000000000e+00j)	 (-6.216787086439044922e+12+3.624529650092235938e+13j)
 (4.200000000000000000e+01+0.000000000000000000e+00j)	 (-6.365118763570755859e+12+3.194325158370890234e+13j)
 (4.300000000000000000e+01+0.000000000000000000e+00j)	 (-7.137926989928881836e+12+3.032342634178975781e+13j)
 (4.400000000000000000e+01+0.000000000000000000e+00j)	 (-7.545823716245099609e+12+3.102714791488880078e+13j)
 (4.500000000000000000e+01+0.000000000000000000e+00j)	 (-7.570686362603297852e+12+3.433539477875716797e+13j)
 (4.600000000000000000e+01+0.000000000000000000e+00j)	 (-5.325939030322119141e+12+3.999457290174307812e+13j)
 (4.700000000000000000e+01+0.000000000000000000e+00j)	 (1.311014565000802979e+12+4.800228163693293750e+13j)
 (4.800000000000000000e+01+0.000000000000000000e+00j)	 (1.635017297575481250e+13+5.528746792102576562e+13j)
 (4.900000000000000000e+01+0.000000000000000000e+00j)	 (3.997021263770014062e+13+5.485634738485782812e+13j)
 (5.100000000000000000e+01+0.000000000000000000e+00j)	 (4.974156388379053906e+13-2.087411093508680469e+13j)
 (5.200000000000000000e+01+0.000000000000000000e+00j)	 (2.657707563408157422e+13-2.580311654371994922e+13j)
 (5.300000000000000000e+01+0.000000000000000000e+00j)	 (1.175488442178887891e+13-2.162019759626701562e+13j)
 (5.400000000000000000e+01+0.000000000000000000e+00j)	 (4.259707872105937988e+12-1.508327395418646484e+13j)
 (5.500000000000000000e+01+0.000000000000000000e+00j)	 (1.216821841369944092e+12-1.011770114771987695e+13j)
 (5.600000000000000000e+01+0.000000000000000000e+00j)	 (-6.740051962517681885e+10-6.549816166417365234e+12j)
 (5.700000000000000000e+01+0.000000000000000000e+00j)	 (-4.696153458411270142e+11-4.096108907987792969e+12j)
 (5.800000000000000000e+01+0.000000000000000000e+00j)	 (-5.245815978927829590e+11-2.442252534021067871e+12j)
 (5.900000000000000000e+01+0.000000000000000000e+00j)	 (-5.127683999281011353e+11-1.285739170722683350e+12j)
 (6.000000000000000000e+01+0.000000000000000000e+00j)	 (-4.740916891237813721e+11-4.522944768179320068e+11j)
 (6.100000000000000000e+01+0.000000000000000000e+00j)	 (-4.383963483944506226e+11+1.811465345795657043e+11j)
 (6.200000000000000000e+01+0.000000000000000000e+00j)	 (-4.414461355979480591e+11+6.792129692492558594e+11j)
 (6.300000000000000000e+01+0.000000000000000000e+00j)	 (-4.660498823858969727e+11+1.091733873230192261e+12j)
 (6.400000000000000000e+01+0.000000000000000000e+00j)	 (-5.319707618938004761e+11+1.449253474805714844e+12j)
 (6.500000000000000000e+01+0.000000000000000000e+00j)	 (-6.399458662321268311e+11+1.786010974258812500e+12j)
 (6.600000000000000000e+01+0.000000000000000000e+00j)	 (-7.918465034802254639e+11+2.124710405845800781e+12j)
 (6.700000000000000000e+01+0.000000000000000000e+00j)	 (-1.002498347803791870e+12+2.478748316225886719e+12j)
 (6.800000000000000000e+01+0.000000000000000000e+00j)	 (-1.281966488411625000e+12+2.871777351279849609e+12j)
 (6.900000000000000000e+01+0.000000000000000000e+00j)	 (-1.643678370371669678e+12+3.339014479882956055e+12j)
 (7.000000000000000000e+01+0.000000000000000000e+00j)	 (-2.137840452730328613e+12+3.902711709325216797e+12j)
 (7.100000000000000000e+01+0.000000000000000000e+00j)	 (-2.792710517535993652e+12+4.626783461681731445e+12j)
 (7.200000000000000000e+01+0.000000000000000000e+00j)	 (-3.679467456809317871e+12+5.579256051046535156e+12j)
 (7.300000000000000000e+01+0.000000000000000000e+00j)	 (-4.913158639838488281e+12+6.891474783025940430e+12j)
 (7.400000000000000000e+01+0.000000000000000000e+00j)	 (-6.642524875131390625e+12+8.782227210516825195e+12j)
 (7.500000000000000000e+01+0.000000000000000000e+00j)	 (-9.212416296600492188e+12+1.165153623515942188e+13j)
 (7.600000000000000000e+01+0.000000000000000000e+00j)	 (-1.310393765169536719e+13+1.621886654938025781e+13j)
 (7.700000000000000000e+01+0.000000000000000000e+00j)	 (-1.892328977699262891e+13+2.417879528795107812e+13j)
 (7.800000000000000000e+01+0.000000000000000000e+00j)	 (-2.843151645509260938e+13+3.887436488885056250e+13j)
 (7.900000000000000000e+01+0.000000000000000000e+00j)	 (-4.397029422841668750e+13+6.910584369005588281e+13j)
 (8.000000000000000000e+01+0.000000000000000000e+00j)	 (-7.043248440247856250e+13+1.419408572906233438e+14j)
 (8.100000000000000000e+01+0.000000000000000000e+00j)	 (-1.118908564461856406e+14+3.766167249135649375e+14j)
 (8.200000000000000000e+01+0.000000000000000000e+00j)	 (1.008870634543306719e+14+2.496011806079771500e+15j)
 (8.300000000000000000e+01+0.000000000000000000e+00j)	 (-2.113648836322657500e+14-1.245429753376922000e+15j)
 (8.400000000000000000e+01+0.000000000000000000e+00j)	 (-4.592046792630353750e+14-6.528161174288823750e+14j)
 (8.500000000000000000e+01+0.000000000000000000e+00j)	 (-5.300995428149650000e+14-2.423193247744637812e+14j)
 (8.600000000000000000e+01+0.000000000000000000e+00j)	 (-5.223638237140884375e+14+7.640594461836982812e+13j)
 (8.700000000000000000e+01+0.000000000000000000e+00j)	 (-2.782658218518031250e+14+3.228855522779461875e+14j)
 (8.800000000000000000e+01+0.000000000000000000e+00j)	 (-2.202894161546584375e+13+2.668290738400192812e+14j)
 (8.900000000000000000e+01+0.000000000000000000e+00j)	 (5.808963420243092969e+13+1.392865636836221094e+14j)
 (9.000000000000000000e+01+0.000000000000000000e+00j)	 (7.030566650269767969e+13+5.489114492626232812e+13j)
 (9.100000000000000000e+01+0.000000000000000000e+00j)	 (5.051190767109887500e+13+1.961345017516566016e+13j)
 (9.200000000000000000e+01+0.000000000000000000e+00j)	 (3.324435949715935938e+13+4.990776709423145508e+12j)
 (9.300000000000000000e+01+0.000000000000000000e+00j)	 (2.144555634590129688e+13-3.822571682481690063e+11j)
 (9.400000000000000000e+01+0.000000000000000000e+00j)	 (1.391591176360496484e+13-2.065902031440254395e+12j)
 (9.500000000000000000e+01+0.000000000000000000e+00j)	 (9.274051958560853516e+12-2.396633340994462891e+12j)
 (9.600000000000000000e+01+0.000000000000000000e+00j)	 (6.310785793521597656e+12-2.150876834641940918e+12j)
 (9.700000000000000000e+01+0.000000000000000000e+00j)	 (4.400208522889322266e+12-1.804698101283943848e+12j)
 (9.800000000000000000e+01+0.000000000000000000e+00j)	 (3.124588359036541016e+12-1.468290410293520996e+12j)
 (1.000000000000000000e+02+0.000000000000000000e+00j)	 (1.686079390932838379e+12-9.358050409938359375e+11j)
 (1.010000000000000000e+02+0.000000000000000000e+00j)	 (1.271671055024015381e+12-7.448737667051730957e+11j)
 (1.020000000000000000e+02+0.000000000000000000e+00j)	 (9.743201718891851807e+11-5.951890523886292725e+11j)
 (1.030000000000000000e+02+0.000000000000000000e+00j)	 (7.574274718698746338e+11-4.766083768856818848e+11j)
 (1.040000000000000000e+02+0.000000000000000000e+00j)	 (5.955307242064451904e+11-3.830910358556876831e+11j)
 (1.050000000000000000e+02+0.000000000000000000e+00j)	 (4.732767883268651123e+11-3.093108904883457031e+11j)
 (1.060000000000000000e+02+0.000000000000000000e+00j)	 (3.806025813708193359e+11-2.509901701386047668e+11j)
 (1.070000000000000000e+02+0.000000000000000000e+00j)	 (3.085744651705410156e+11-2.044683218723163757e+11j)
 (1.080000000000000000e+02+0.000000000000000000e+00j)	 (2.523475595679481201e+11-1.672413056517214050e+11j)
 (1.100000000000000000e+02+0.000000000000000000e+00j)	 (1.724993272403209839e+11-1.131536118060806122e+11j)
 (1.110000000000000000e+02+0.000000000000000000e+00j)	 (1.439915638924365845e+11-9.358210994502993774e+10j)
 (1.120000000000000000e+02+0.000000000000000000e+00j)	 (1.209265502029588013e+11-7.759227722568795776e+10j)
 (1.130000000000000000e+02+0.000000000000000000e+00j)	 (1.020636877683931427e+11-6.454371075683602905e+10j)
 (1.140000000000000000e+02+0.000000000000000000e+00j)	 (8.655834628547956848e+10-5.378596148378504181e+10j)
 (1.150000000000000000e+02+0.000000000000000000e+00j)	 (7.375214831580953979e+10-4.493179685193807220e+10j)
 (1.160000000000000000e+02+0.000000000000000000e+00j)	 (6.309521057112918854e+10-3.760540302334376526e+10j)
 (1.180000000000000000e+02+0.000000000000000000e+00j)	 (4.669552094351979828e+10-2.644529153330302811e+10j)
 (1.190000000000000000e+02+0.000000000000000000e+00j)	 (4.037634243710479736e+10-2.220675829872648621e+10j)
 (1.200000000000000000e+02+0.000000000000000000e+00j)	 (3.501623253799175262e+10-1.866230471890494537e+10j)
 (1.210000000000000000e+02+0.000000000000000000e+00j)	 (3.045793286566907120e+10-1.568308354962268829e+10j)
 (1.220000000000000000e+02+0.000000000000000000e+00j)	 (2.655915920942296600e+10-1.317838951044401550e+10j)
 (1.240000000000000000e+02+0.000000000000000000e+00j)	 (2.034597570452137756e+10-9.280906288259458542e+09j)
 (1.250000000000000000e+02+0.000000000000000000e+00j)	 (1.786681923216593170e+10-7.772223626734729767e+09j)
 (1.260000000000000000e+02+0.000000000000000000e+00j)	 (1.572203648831568336e+10-6.494778075461855888e+09j)
 (1.270000000000000000e+02+0.000000000000000000e+00j)	 (1.386147693490411568e+10-5.411213287217929840e+09j)
 (1.280000000000000000e+02+0.000000000000000000e+00j)	 (1.224221448169736671e+10-4.490103715986442566e+09j)
 (1.300000000000000000e+02+0.000000000000000000e+00j)	 (9.596128268128047943e+09-3.044756877715612411e+09j)
 (1.310000000000000000e+02+0.000000000000000000e+00j)	 (8.516009427935216904e+09-2.480253489098333836e+09j)
 (1.320000000000000000e+02+0.000000000000000000e+00j)	 (7.567338938153585434e+09-2.000345614329833746e+09j)
 (1.330000000000000000e+02+0.000000000000000000e+00j)	 (6.732672868455258369e+09-1.592431820945788622e+09j)
 (1.340000000000000000e+02+0.000000000000000000e+00j)	 (5.997720294787926674e+09-1.246280776653957844e+09j)
 (1.360000000000000000e+02+0.000000000000000000e+00j)	 (4.775166391863170624e+09-7.036020616146000624e+08j)
 (1.370000000000000000e+02+0.000000000000000000e+00j)	 (4.267275325205788612e+09-4.928993323315960765e+08j)
 (1.380000000000000000e+02+0.000000000000000000e+00j)	 (3.816745487107113838e+09-3.149101477609113455e+08j)
 (1.390000000000000000e+02+0.000000000000000000e+00j)	 (3.416482878349645615e+09-1.652478836588698924e+08j)
 (1.410000000000000000e+02+0.000000000000000000e+00j)	 (2.743755406663676262e+09+6.533457568982408941e+07j)
 (1.420000000000000000e+02+0.000000000000000000e+00j)	 (2.461310882953869820e+09+1.524528289671810865e+08j)
 (1.430000000000000000e+02+0.000000000000000000e+00j)	 (2.209208161342380047e+09+2.247065040935682654e+08j)
 (1.450000000000000000e+02+0.000000000000000000e+00j)	 (1.782405818328796864e+09+3.314814458774924278e+08j)
 (1.460000000000000000e+02+0.000000000000000000e+00j)	 (1.601991710623185158e+09+3.696564796400401592e+08j)
 (1.470000000000000000e+02+0.000000000000000000e+00j)	 (1.450003468959349871e+09+3.847624888208829165e+08j)
