f	max_sigma_G1	max_sigma_G2	max_sigma_G1_G2
1.000000000000000000e+00	1.557365875148791565e+04	6.482529994495409564e-01	7.138903857724213594e+03
2.000000000000000000e+00	1.589811531639789246e+04	6.616988214090223641e-01	7.438772888739252267e+03
3.000000000000000000e+00	1.623613078853739353e+04	6.757016224045939712e-01	7.757681424536596751e+03
4.000000000000000000e+00	1.658935829613433816e+04	6.903262143612693968e-01	8.098002823529504894e+03
5.000000000000000000e+00	1.695813300794606766e+04	7.055951730861468318e-01	8.461111301320925122e+03
6.000000000000000000e+00	1.734388192239288765e+04	7.215538549328932572e-01	8.849302385467139175e+03
7.000000000000000000e+00	1.774702055376155113e+04	7.382304529381293889e-01	9.264273445420994904e+03
8.000000000000000000e+00	1.816969245596614201e+04	7.557072388503610627e-01	9.709458841870611650e+03
9.000000000000000000e+00	1.861370904343036455e+04	7.740534581360798416e-01	1.018819823361041745e+04
1.000000000000000000e+01	1.907926661792251252e+04	7.932851013064431411e-01	1.070246535030716768e+04
1.100000000000000000e+01	1.956836762417528007e+04	8.134761338711481438e-01	1.125619485404652551e+04
1.200000000000000000e+01	2.008398677299414703e+04	8.347384924566052522e-01	1.185473419606487732e+04
1.300000000000000000e+01	2.062727789632772328e+04	8.571462725892382561e-01	1.250222924049439644e+04
1.400000000000000000e+01	2.120110700312611880e+04	8.807763597648974319e-01	1.320426125476171728e+04
1.500000000000000000e+01	2.180693296027687029e+04	9.057194510601358495e-01	1.396617905208987577e+04
1.600000000000000000e+01	2.244893407539343389e+04	9.321311359633602800e-01	1.479658207747151027e+04
1.700000000000000000e+01	2.757113162484149143e+04	9.601574797179850407e-01	1.570453297767890399e+04
1.800000000000000000e+01	7.562949702934344532e+04	9.898770102088273459e-01	3.744924290293124795e+04
1.900000000000000000e+01	2.462465710663887876e+04	1.021452752986363954e+00	1.778590094522172149e+04
2.000000000000000000e+01	2.544719951404811582e+04	1.055124743071461202e+00	1.898588940205573817e+04
2.100000000000000000e+01	2.632618720629023301e+04	1.091110519073307916e+00	2.031157151051442634e+04
2.200000000000000000e+01	2.726859824281517649e+04	1.129586882958118377e+00	2.178056388524875729e+04
2.300000000000000000e+01	2.827953661666978223e+04	1.170828722483016948e+00	2.341273867714981679e+04
2.400000000000000000e+01	2.936916497555991373e+04	1.215213859305802169e+00	2.523659012367979813e+04
2.500000000000000000e+01	3.054797167620324035e+04	1.263133641800817664e+00	2.728462521539131194e+04
2.600000000000000000e+01	3.182333229430086794e+04	1.314888785269132221e+00	2.958835869471798287e+04
2.700000000000000000e+01	3.320870969471860735e+04	1.370946107974013506e+00	3.219279348773567472e+04
2.800000000000000000e+01	3.472228243280433526e+04	1.431984849014838357e+00	3.515872442508301174e+04
2.900000000000000000e+01	3.637934358575489023e+04	1.498763616849469793e+00	3.855445202462512680e+04
3.000000000000000000e+01	3.820315403882882674e+04	1.571866247610469003e+00	4.246212450529392663e+04
3.100000000000000000e+01	4.021607189320007456e+04	1.652322723728937737e+00	4.698746679936093278e+04
3.200000000000000000e+01	4.245400112980887934e+04	1.741431487021872337e+00	5.227731985120487661e+04
3.300000000000000000e+01	4.495879036742181779e+04	1.840685443589188619e+00	5.851723849796533614e+04
3.400000000000000000e+01	4.777207079252227413e+04	1.951563752657530904e+00	6.592469478106367751e+04
3.500000000000000000e+01	5.095701640093424794e+04	2.076053636477385833e+00	7.480584896372996445e+04
3.600000000000000000e+01	5.460046683750228840e+04	2.217090660935816526e+00	8.559986322500520328e+04
3.700000000000000000e+01	5.880028267892281292e+04	2.378736456212585004e+00	9.890483571086449956e+04
