f	1	2
 (1.000000000000000056e-01+0.000000000000000000e+00j)	 (3.957475798811133499e-15+6.283185308660345089e-07j)	 (1.004585727821750396e+02-2.009171455344033408e+00j)
 (2.000000000000000111e-01+0.000000000000000000e+00j)	 (1.579489289459591551e-14+1.256637063510235120e-06j)	 (1.003382150671604336e+02-4.013528603008676754e+00j)
 (2.999999999999999889e-01+0.000000000000000000e+00j)	 (3.553516084458172899e-14+1.884955598723295865e-06j)	 (1.001382584807732599e+02-6.008295508452161648e+00j)
 (4.000000000000000222e-01+0.000000000000000000e+00j)	 (6.316733852768358421e-14+2.513274138820841134e-06j)	 (9.985965442295447758e+01-7.988772354070901471e+00j)
 (5.000000000000000000e-01+0.000000000000000000e+00j)	 (9.869971581203596554e-14+3.141592684588937195e-06j)	 (9.950371902107309552e+01-9.950371902057993267e+00j)
 (5.999999999999999778e-01+0.000000000000000000e+00j)	 (1.421318149644268452e-13+3.769911237782961788e-06j)	 (9.907211771619977014e+01-1.188865412562955903e+01j)
 (6.999999999999999556e-01+0.000000000000000000e+00j)	 (1.934467779426294009e-13+4.398229800217063396e-06j)	 (9.856684602905173165e+01-1.379935844442121784e+01j)
 (8.000000000000000444e-01+0.000000000000000000e+00j)	 (2.526698554874894124e-13+5.026548372638334821e-06j)	 (9.799020691430783359e+01-1.567843310595365303e+01j)
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (3.947892131295149674e-13+6.283185555261262706e-06j)	 (9.663341943385871957e+01-1.932668388687510941e+01j)
 (1.199999999999999956e+00+0.000000000000000000e+00j)	 (5.684935590991148375e-13+7.539822797453558835e-06j)	 (9.502529898925287455e+01-2.280607175803621445e+01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (8.882754569421268480e-13+9.424778798151683609e-06j)	 (9.220069377142384326e+01-2.766020813205109263e+01j)
 (1.800000000000000044e+00+0.000000000000000000e+00j)	 (1.279106067245497549e-12+1.130973499997763687e-05j)	 (8.896844565365167057e+01-3.202864043651855042e+01j)
 (2.200000000000000178e+00+0.000000000000000000e+00j)	 (1.910760575748785618e-12+1.382301031795717147e-05j)	 (8.419801961223242870e+01-3.704712863186443172e+01j)
 (2.700000000000000178e+00+0.000000000000000000e+00j)	 (2.877980003957144628e-12+1.696460521341517269e-05j)	 (7.780950465074096201e+01-4.201713251550587103e+01j)
 (3.399999999999999911e+00+0.000000000000000000e+00j)	 (4.563713821682104181e-12+2.136283979714611667e-05j)	 (6.872179718372103707e+01-4.673082209226929251e+01j)
 (4.099999999999999645e+00+0.000000000000000000e+00j)	 (6.636335432591627945e-12+2.576107686110800640e-05j)	 (6.009253539421926860e+01-4.927587903431984984e+01j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (9.869633191170210924e-12+3.141595755249115943e-05j)	 (5.024937808915871074e+01-5.024937810561043960e+01j)
 (6.099999999999999645e+00+0.000000000000000000e+00j)	 (1.468997090210846316e-11+3.832748669533415442e-05j)	 (4.038689766615190990e+01-4.927201517682487264e+01j)
 (7.400000000000000355e+00+0.000000000000000000e+00j)	 (2.161847947909249616e-11+4.649567182272425030e-05j)	 (3.150036237209468837e+01-4.662053634425548410e+01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (3.197772677000191569e-11+5.654884865420827634e-05j)	 (2.370253680364045579e+01-4.266456629212056839e+01j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (4.776934519539762873e-11+6.911536864550522669e-05j)	 (1.720869108664336267e+01-3.785912045093415657e+01j)
 (1.340000000000000036e+01+0.000000000000000000e+00j)	 (7.088846025219925513e-11+8.419528015385129222e-05j)	 (1.228230785522134916e+01-3.291658512972185235e+01j)
 (1.630000000000000071e+01+0.000000000000000000e+00j)	 (1.048924141118026331e-10+1.024169951189362313e-04j)	 (8.643121157341154159e+00-2.817657507141922224e+01j)
 (1.980000000000000071e+01+0.000000000000000000e+00j)	 (1.547759873349887588e-10+1.244089952165479851e-04j)	 (6.024527337702690666e+00-2.385712838036056382e+01j)
 (2.410000000000000142e+01+0.000000000000000000e+00j)	 (2.293053713060121372e-10+1.514282392280955590e-04j)	 (4.147288536770922462e+00-1.998993090002619155e+01j)
 (2.930000000000000071e+01+0.000000000000000000e+00j)	 (3.389412481228763532e-10+1.841035711860692227e-04j)	 (2.843799986555915815e+00-1.666466810947797228e+01j)
 (3.570000000000000284e+01+0.000000000000000000e+00j)	 (5.031991408113180536e-10+2.243210059051057865e-04j)	 (1.933426823314540854e+00-1.380466774998822821e+01j)
 (4.339999999999999858e+01+0.000000000000000000e+00j)	 (7.437103214449566148e-10+2.727105278357911983e-04j)	 (1.316421166934818920e+00-1.142653601221147674e+01j)
 (5.279999999999999716e+01+0.000000000000000000e+00j)	 (1.100837509514695376e-09+3.317887128925627060e-04j)	 (8.932142327955709948e-01-9.432342644351827232e+00j)
 (6.429999999999999716e+01+0.000000000000000000e+00j)	 (1.632764374616731657e-09+4.040747915828082340e-04j)	 (6.040328582430095627e-01-7.767862979630312914e+00j)
 (7.820000000000000284e+01+0.000000000000000000e+00j)	 (2.415366481025478697e-09+4.914637797536571852e-04j)	 (4.091808304817218800e-01-6.399588703728057659e+00j)
 (9.520000000000000284e+01+0.000000000000000000e+00j)	 (3.580507359906117793e-09+5.983734073132369836e-04j)	 (2.764587642258034550e-01-5.263775498640256068e+00j)
 (1.157999999999999972e+02+0.000000000000000000e+00j)	 (5.299525104220775401e-09+7.279783725291854527e-04j)	 (1.870141678684943132e-01-4.331248892144546225e+00j)
 (1.409000000000000057e+02+0.000000000000000000e+00j)	 (7.849879313637358221e-09+8.859954469597507761e-04j)	 (1.263955935869915115e-01-3.561828757814554436e+00j)
 (1.714000000000000057e+02+0.000000000000000000e+00j)	 (1.162491213535595756e-08+1.078188857283080134e-03j)	 (8.544945693576892765e-02-2.929208516183229083e+00j)
 (2.016999999999999886e+02+0.000000000000000000e+00j)	 (1.611269398497630084e-08+1.269357867662792563e-03j)	 (6.171939191034536004e-02-2.489761602600487844e+00j)
 (2.085000000000000000e+02+0.000000000000000000e+00j)	 (1.722123608358677786e-08+1.312297073098936439e-03j)	 (5.776149141191203040e-02-2.408655569794595941e+00j)
 (2.535999999999999943e+02+0.000000000000000000e+00j)	 (2.551920276616139130e-08+1.597473091380501985e-03j)	 (3.905104629070971917e-02-1.980670744154195084e+00j)
 (3.085000000000000000e+02+0.000000000000000000e+00j)	 (3.785653155904288884e-08+1.945675501430496959e-03j)	 (2.639217638761830881e-02-1.628399322555196038e+00j)
 (3.753000000000000114e+02+0.000000000000000000e+00j)	 (5.622918564197735778e-08+2.371269399276218926e-03j)	 (1.783466184938247573e-02-1.338672199663451190e+00j)
