f	CL
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (7.355696174332282400e-01-1.877019741612489245e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (6.980128443055441112e-01-1.610877291154090285e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (6.938427167946430441e-01-1.459597044580547287e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (7.066405631544915300e-01-1.401630150953706577e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (7.324604789624358236e-01-1.422786038164750300e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (7.706673117486608771e-01-1.522532840230078621e-01j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (8.232502281936353583e-01-1.711846998798781383e-01j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (8.941312601925570647e-01-2.012083321801036440e-01j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (9.864874456534959979e-01-2.483143895167492510e-01j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (1.119087052515524983e+00-3.302243820794258933e-01j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (1.292655630749446560e+00-4.686016525856068204e-01j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (1.540909065141022660e+00-7.285916328726707025e-01j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (1.840581123936776864e+00-1.297691796908408524e+00j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (1.786462542605316228e+00-2.563503185106774218e+00j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.443093201087029265e-01-3.697852704533354462e+00j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (-1.765526869488765804e+00-2.242535079870520143e+00j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.614061440041350437e+00-1.057476133037588140e+00j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (-1.264845936203752075e+00-5.500179077750987355e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (-9.923705442769374940e-01-3.264661970072325059e-01j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (-8.040199812880848285e-01-2.126062464060229917e-01j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (-6.674289981709968789e-01-1.466157673208967338e-01j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (-5.647420360423681673e-01-1.064269137154961742e-01j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (-4.850265254839639106e-01-8.024170455949537761e-02j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (-4.225710506128610988e-01-6.073577468809323449e-02j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (-3.737649015619313730e-01-4.869539673782397049e-02j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (-3.329257283863298333e-01-3.888888182094749763e-02j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (-2.988478770469928381e-01-3.217486294947546899e-02j)
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (-2.704799839086258761e-01-2.678836478593200204e-02j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (-2.461524099575852498e-01-2.245309838518499274e-02j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (-2.251281584215217013e-01-1.908045898754819059e-02j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (-2.067688678097876209e-01-1.639397068823363057e-02j)
 (1.650000000000000000e+01+0.000000000000000000e+00j)	 (-1.906771605757958676e-01-1.400337474445209965e-02j)
